,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
1798,TUBA3E,RFTN2,SLC4A7,CASP10,HES1,ILKAP,TMEM156,PGRMC2,DPH3,BDH2,DZIP3,HSD17B11,ENOPH1,CCDC50
1799,CCDC115,MARS2,CMC1,CASP8,ATP13A3,HES6,KLHL5,JADE1,OXNAD1,TET2,TRAT1,SPP1,SEC31A,OPA1
1800,IMP4,SATB2,AZI2,TRAK2,LSG1,PER2,RFC1,SCLT1,RFTN1,PPA2,CD96,PPM1K,THAP9-AS1,HES1
1801,PTPN18,C2orf69,RBMS3,STRADB,FAM43A,TRAF3IP1,RPL9,ELF2,PLCL2,AIMP1,ABHD10,HERC6,COPS4,ATP13A3
1802,FAM168B,TYW5,TGFBR2,TMEM237,XXYLT1,ASB1,LIAS,NDUFC1,TBC1D5,PAPSS1,C3orf52,HERC5,MRPS18C,LINC00884
1803,PLEKHB2,MAIP1,STT3B,ALS2,ACAP2,HDAC4,UGDH,NAA15,SATB1,HADH,GCSAM,PYURF,GPAT3,LSG1
1804,MZT2A,SPATS2L,OSBPL10,FZD7,PPP1R2,NDUFA10,SMIM14,AC097376.2,RAB5A,RPL34,ATG3,HERC3,AFF1,FAM43A
1805,TUBA3D,KCTD18,GPD1L,SUMO1,APOD,COPS9,UBE2K,SCOC,KAT2B,OSTC,SLC35A5,GPRIN3,KLHL8,ACAP2
1806,CCDC74A,SGO2,CMTM8,NOP58,MUC20-OT1,GPC1,PDS5A,ELMOD2,SGO1,SEC24B,CCDC80,SMARCAD1,HSD17B11,PPP1R2
1807,LINC01087,AOX1,CMTM7,AC064836.3,TNK2,ANKMY1,N4BP2,ZNF330,UBE2E2,MCUB,GTPBP8,PDLIM5,NUDT9,APOD
1808,NCKAP5,BZW1,CMTM6,BMPR2,TFRC,DUSP28,RHOH,INPP4B,UBE2E1,GAR1,NEPRO,RAP1GDS1,SPP1,MUC20-OT1
1809,MGAT5,CLK1,DYNC1LI1,FAM117B,PCYT1A,RNPEPL1,RBM47,USP38,NKIRAS1,TIFA,SPICE1,TSPAN5,PPM1K,TNK2
1810,CCNT2,PPIL3,CNOT10,ICA1L,TCTEX1D2,CAPN10,TMEM33,SMARCA5,RPL15,LARP7,USF3,EIF4E,HERC5,TFRC
1811,RAB3GAP1,NIF3L1,GLB1,WDR12,UBXN7,GPR35,SLC30A9,ANAPC10,NR1D2,CAMK2D,NAA50,METAP1,PYURF,PCYT1A
1812,ZRANB3,ORC2,CRTAP,CARF,RNF168,MTERF4,ATP8A1,ABCE1,TOP2B,SNHG8,ATP6V1A,ADH5,HERC3,UBXN7
