,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
1,AL669831.5,SAMD11,AL669831.5,AL669831.5,NOC2L,AL669831.5,AL669831.5,NOC2L,AL669831.5,NOC2L,NOC2L,NOC2L,NOC2L,AL669831.5
2,LINC00115,NOC2L,LINC00115,LINC00115,HES4,NOC2L,NOC2L,ISG15,LINC00115,PLEKHN1,PLEKHN1,HES4,HES4,NOC2L
3,FAM41C,HES4,NOC2L,NOC2L,ISG15,HES4,HES4,TNFRSF18,FAM41C,HES4,HES4,ISG15,ISG15,HES4
4,SAMD11,ISG15,AL645608.8,HES4,TNFRSF18,ISG15,ISG15,TNFRSF4,NOC2L,ISG15,ISG15,AGRN,TNFRSF18,ISG15
5,NOC2L,AGRN,HES4,ISG15,TNFRSF4,AGRN,TNFRSF18,SDF4,HES4,TTLL10,TNFRSF18,TNFRSF18,TNFRSF4,C1orf159
6,KLHL17,C1orf159,ISG15,AGRN,SDF4,C1orf159,SDF4,UBE2J2,ISG15,TNFRSF18,TNFRSF4,TNFRSF4,SDF4,SDF4
7,PLEKHN1,TNFRSF18,AGRN,C1orf159,UBE2J2,TNFRSF18,B3GALT6,PUSL1,AGRN,TNFRSF4,SDF4,SDF4,UBE2J2,B3GALT6
8,PERM1,TNFRSF4,SDF4,TNFRSF18,ACAP3,TNFRSF4,UBE2J2,INTS11,C1orf159,SDF4,UBE2J2,UBE2J2,ACAP3,UBE2J2
9,HES4,SDF4,B3GALT6,TNFRSF4,PUSL1,SDF4,PUSL1,AURKAIP1,TNFRSF18,B3GALT6,ACAP3,ACAP3,INTS11,ACAP3
10,ISG15,B3GALT6,UBE2J2,SDF4,INTS11,B3GALT6,INTS11,CCNL2,TNFRSF4,UBE2J2,PUSL1,PUSL1,AURKAIP1,INTS11
11,AGRN,C1QTNF12,ACAP3,B3GALT6,CPTP,UBE2J2,CPTP,MRPL20,SDF4,INTS11,INTS11,INTS11,CCNL2,AURKAIP1
12,RNF223,UBE2J2,PUSL1,UBE2J2,AURKAIP1,ACAP3,AURKAIP1,SSU72,UBE2J2,AURKAIP1,CPTP,AURKAIP1,MRPL20,CCNL2
13,C1orf159,ACAP3,INTS11,ACAP3,CCNL2,PUSL1,CCNL2,AL645728.1,ACAP3,CCNL2,TAS1R3,CCNL2,ATAD3B,MRPL20
14,AL390719.2,PUSL1,CPTP,PUSL1,MRPL20,INTS11,MRPL20,MIB2,PUSL1,MRPL20,DVL1,MRPL20,ATAD3A,ATAD3B
15,TNFRSF18,INTS11,DVL1,INTS11,ATAD3B,CPTP,ATAD3B,CDK11B,INTS11,SSU72,AURKAIP1,SSU72,SSU72,ATAD3A
16,SDF4,CPTP,MXRA8,CPTP,ATAD3A,DVL1,ATAD3A,SLC35E2B,CPTP,AL645728.1,CCNL2,AL645728.1,AL645728.1,SSU72
17,B3GALT6,DVL1,AURKAIP1,DVL1,SSU72,AURKAIP1,SSU72,CDK11A,AURKAIP1,MIB2,MRPL20,MIB2,MIB2,AL645728.1
18,UBE2J2,MXRA8,CCNL2,MXRA8,AL645728.1,CCNL2,AL645728.1,NADK,CCNL2,MMP23B,ATAD3C,CDK11B,CDK11B,AL691432.2
19,ACAP3,AURKAIP1,MRPL20,AURKAIP1,MIB2,MRPL20,MIB2,GNB1,MRPL20,CDK11B,ATAD3B,CDK11A,SLC35E2B,CDK11B
20,PUSL1,CCNL2,ATAD3B,CCNL2,CDK11B,VWA1,CDK11B,PRKCZ,ANKRD65,SLC35E2B,ATAD3A,GNB1,CDK11A,CDK11A
21,INTS11,MRPL20,ATAD3A,MRPL20,SLC35E2B,ATAD3B,SLC35E2B,FAAP20,ATAD3C,CDK11A,SSU72,PRKCZ,GNB1,NADK
22,CPTP,ANKRD65,SSU72,ANKRD65,CDK11A,ATAD3A,CDK11A,SKI,ATAD3B,GNB1,AL645728.1,FAAP20,FAAP20,GNB1
23,DVL1,VWA1,AL645728.1,VWA1,NADK,SSU72,NADK,RER1,ATAD3A,PRKCZ,MIB2,SKI,SKI,FAAP20
24,MXRA8,ATAD3B,AL691432.2,ATAD3C,GNB1,AL645728.1,GNB1,PLCH2,SSU72,FAAP20,CDK11B,RER1,RER1,SKI
25,AURKAIP1,ATAD3A,MIB2,ATAD3B,PRKCZ,FNDC10,FAAP20,AL139246.5,AL645728.1,SKI,SLC35E2B,PLCH2,TNFRSF14-AS1,RER1
26,CCNL2,SSU72,CDK11B,ATAD3A,FAAP20,MIB2,SKI,TNFRSF14-AS1,AL691432.2,RER1,CDK11A,AL139246.5,TNFRSF14,PEX10
27,MRPL20,AL645728.1,CDK11A,SSU72,SKI,CDK11B,RER1,TNFRSF14,MIB2,PLCH2,NADK,TNFRSF14-AS1,TPRG1L,AL139246.5
28,ANKRD65,AL691432.2,NADK,AL645728.1,RER1,SLC35E2B,AL139246.5,WRAP73,MMP23B,AL139246.5,GNB1,TNFRSF14,WRAP73,TNFRSF14
29,VWA1,MIB2,GNB1,AL691432.2,AL139246.5,CDK11A,TNFRSF14-AS1,LRRC47,CDK11B,TNFRSF14-AS1,PRKCZ,WRAP73,SMIM1,LRRC47
30,ATAD3C,MMP23B,GABRD,MIB2,TNFRSF14,SLC35E2A,TNFRSF14,CEP104,SLC35E2B,TNFRSF14,FAAP20,SMIM1,LRRC47,CEP104
31,ATAD3B,CDK11B,PRKCZ,CDK11B,FAM213B,NADK,FAM213B,C1orf174,CDK11A,WRAP73,SKI,LRRC47,CEP104,KCNAB2
32,ATAD3A,SLC35E2B,FAAP20,SLC35E2B,TPRG1L,GNB1,TPRG1L,KCNAB2,SLC35E2A,SMIM1,RER1,CEP104,C1orf174,RPL22
33,SSU72,CDK11A,SKI,CDK11A,WRAP73,FAAP20,WRAP73,RPL22,NADK,LRRC47,PEX10,C1orf174,RPL22,ZBTB48
34,AL645728.1,SLC35E2A,RER1,SLC35E2A,LRRC47,SKI,LRRC47,TNFRSF25,GNB1,CEP104,AL139246.5,KCNAB2,ACOT7,KLHL21
35,FNDC10,NADK,PEX10,NADK,CEP104,RER1,CEP104,CAMTA1,PRKCZ,C1orf174,TNFRSF14,RPL22,ZBTB48,DNAJC11
36,AL691432.2,GNB1,PANK4,GNB1,C1orf174,PEX10,C1orf174,VAMP3,FAAP20,KCNAB2,TPRG1L,ACOT7,CAMTA1,CAMTA1
37,MIB2,PRKCZ,AL139246.5,GABRD,KCNAB2,AL139246.5,KCNAB2,TNFRSF9,SKI,RPL22,WRAP73,NOL9,VAMP3,VAMP3
38,CDK11B,FAAP20,TNFRSF14,PRKCZ,RPL22,TNFRSF14-AS1,RPL22,PARK7,RER1,ACOT7,SMIM1,ZBTB48,UTS2,TNFRSF9
39,SLC35E2B,SKI,LINC00982,FAAP20,ICMT,TNFRSF14,ICMT,RERE,PEX10,TNFRSF25,LRRC47,THAP3,TNFRSF9,PARK7
40,CDK11A,MORN1,PRDM16,SKI,ACOT7,FAM213B,NOL9,ENO1,AL139246.5,ZBTB48,CEP104,CAMTA1,PARK7,RERE
41,SLC35E2A,RER1,TPRG1L,RER1,TNFRSF25,MEGF6,ZBTB48,H6PD,TNFRSF14-AS1,THAP3,C1orf174,VAMP3,ERRFI1,ENO1
42,NADK,PEX10,WRAP73,PEX10,NOL9,TPRG1L,KLHL21,SPSB1,TNFRSF14,CAMTA1,KCNAB2,UTS2,RERE,SLC25A33
43,GNB1,PANK4,LRRC47,PANK4,ZBTB48,WRAP73,THAP3,PIK3CD,FAM213B,VAMP3,RPL22,TNFRSF9,ENO1,PIK3CD
44,TMEM52,TNFRSF14,CEP104,HES5,KLHL21,SMIM1,CAMTA1,CLSTN1,TPRG1L,UTS2,RNF207,PARK7,H6PD,CLSTN1
45,PRKCZ,FAM213B,C1orf174,AL139246.5,THAP3,LRRC47,PARK7,CTNNBIP1,WRAP73,TNFRSF9,NOL9,RERE,SPSB1,CTNNBIP1
46,FAAP20,MEGF6,AJAP1,TNFRSF14-AS1,CAMTA1,CEP104,ERRFI1,LZIC,LRRC47,PARK7,ZBTB48,ENO1,SLC25A33,LZIC
47,SKI,TPRG1L,NPHP4,TNFRSF14,VAMP3,C1orf174,RERE,UBE4B,CEP104,RERE,KLHL21,H6PD,PIK3CD,RBP7
48,MORN1,WRAP73,RPL22,FAM213B,UTS2,KCNAB2,ENO1,KIF1B,C1orf174,ENO1,PHF13,SPSB1,CLSTN1,UBE4B
49,RER1,SMIM1,ICMT,PRDM16,TNFRSF9,RPL22,H6PD,DFFA,KCNAB2,H6PD,THAP3,SLC25A33,LZIC,KIF1B
50,PEX10,LRRC47,ACOT7,MEGF6,PARK7,ICMT,SLC25A33,CASZ1,RPL22,SPSB1,DNAJC11,PIK3CD,UBE4B,PGD
51,PANK4,CEP104,NOL9,TPRG1L,ERRFI1,ACOT7,PIK3CD,TARDBP,ICMT,SLC25A33,CAMTA1,CLSTN1,PGD,DFFA
52,AL139246.5,C1orf174,KLHL21,WRAP73,RERE,NOL9,CLSTN1,SRM,ACOT7,PIK3CD,VAMP3,CTNNBIP1,DFFA,TARDBP
53,TNFRSF14-AS1,NPHP4,PHF13,LRRC47,ENO1,ZBTB48,LZIC,EXOSC10,NOL9,CLSTN1,TNFRSF9,LZIC,PEX14,SRM
54,TNFRSF14,RPL22,THAP3,CEP104,H6PD,KLHL21,UBE4B,UBIAD1,ZBTB48,CTNNBIP1,PARK7,UBE4B,TARDBP,EXOSC10
55,FAM213B,RNF207,DNAJC11,C1orf174,SPSB1,PHF13,PGD,FBXO44,KLHL21,LZIC,ERRFI1,KIF1B,SRM,UBIAD1
56,MMEL1,ICMT,CAMTA1,NPHP4,SLC25A33,THAP3,DFFA,MAD2L2,PHF13,UBE4B,RERE,PGD,EXOSC10,FBXO6
57,ARHGEF16,GPR153,VAMP3,KCNAB2,PIK3CD,DNAJC11,PEX14,AGTRAP,THAP3,PGD,ENO1,DFFA,UBIAD1,MAD2L2
58,MEGF6,ACOT7,PER3,RPL22,CLSTN1,CAMTA1,TARDBP,MTHFR,DNAJC11,DFFA,SLC2A5,TARDBP,MAD2L2,AGTRAP
59,TPRG1L,NOL9,PARK7,RNF207,CTNNBIP1,VAMP3,SRM,KIAA2013,CAMTA1,PEX14,SPSB1,SRM,AGTRAP,MTHFR
60,WRAP73,ZBTB48,AL034417.3,ICMT,LZIC,PER3,EXOSC10,MIIP,VAMP3,TARDBP,SLC25A33,EXOSC10,MTHFR,KIAA2013
61,SMIM1,KLHL21,ERRFI1,ACOT7,UBE4B,UTS2,MTOR,TNFRSF1B,PER3,SRM,PIK3CD-AS2,FBXO2,KIAA2013,PLOD1
62,LRRC47,PHF13,AL034417.2,TNFRSF25,KIF1B,TNFRSF9,UBIAD1,VPS13D,UTS2,EXOSC10,CLSTN1,FBXO44,MFN2,MFN2
63,CEP104,THAP3,RERE,PLEKHG5,PGD,PARK7,FBXO44,DHRS3,TNFRSF9,FBXO2,CTNNBIP1,FBXO6,MIIP,MIIP
64,DFFB,DNAJC11,ENO1,NOL9,DFFA,ERRFI1,FBXO6,PRDM2,PARK7,FBXO44,UBE4B,MAD2L2,VPS13D,TNFRSF8
65,C1orf174,CAMTA1,H6PD,ZBTB48,PEX14,RERE,MAD2L2,EFHD2,ERRFI1,FBXO6,KIF1B,DRAXIN,PRDM2,TNFRSF1B
66,NPHP4,VAMP3,SPSB1,KLHL21,CASZ1,ENO1,MTHFR,DNAJC16,RERE,MAD2L2,PGD,AGTRAP,KAZN,VPS13D
67,RPL22,PER3,SLC25A33,PHF13,TARDBP,SLC2A5,CLCN6,DDI2,ENO1,DRAXIN,CENPS,MTHFR,EFHD2,PRDM2
68,RNF207,TNFRSF9,TMEM201,THAP3,SRM,GPR157,KIAA2013,PLEKHM2,GPR157,AGTRAP,DFFA,KIAA2013,DNAJC16,EFHD2
69,ICMT,PARK7,CLSTN1,DNAJC11,EXOSC10,MIR34AHG,MFN2,AL450998.2,H6PD,MTHFR,PEX14,MIIP,DDI2,DNAJC16
70,GPR153,AL034417.3,CTNNBIP1,CAMTA1,MTOR,H6PD,MIIP,SPEN,SLC25A33,KIAA2013,CASZ1,TNFRSF1B,PLEKHM2,DDI2
71,ACOT7,ERRFI1,LZIC,VAMP3,UBIAD1,SPSB1,TNFRSF1B,ZBTB17,TMEM201,MIIP,TARDBP,VPS13D,FBLIM1,AL450998.2
72,HES2,RERE,RBP7,PER3,FBXO2,SLC25A33,VPS13D,FBXO42,PIK3CD,TNFRSF1B,SRM,PRDM2,AL450998.2,SPEN
73,ESPN,ENO1,UBE4B,TNFRSF9,FBXO44,PIK3CD,PRDM2,SZRD1,CLSTN1,VPS13D,EXOSC10,EFHD2,SPEN,ZBTB17
74,TNFRSF25,GPR157,KIF1B,PARK7,MAD2L2,CLSTN1,EFHD2,NECAP2,CTNNBIP1,DHRS3,MTOR,DDI2,ZBTB17,EPHA2
75,PLEKHG5,H6PD,PGD,AL034417.3,AGTRAP,CTNNBIP1,DNAJC16,BX284668.6,LZIC,PRDM2,UBIAD1,PLEKHM2,SRARP,SZRD1
76,NOL9,SPSB1,DFFA,ERRFI1,MTHFR,LZIC,DDI2,SDHB,UBE4B,EFHD2,FBXO2,AL450998.2,FBXO42,NECAP2
77,ZBTB48,SLC25A33,PEX14,RERE,KIAA2013,NMNAT1,PLEKHM2,RCC2,KIF1B,DDI2,FBXO44,SPEN,SZRD1,BX284668.5
78,KLHL21,TMEM201,CASZ1,ENO1,MIIP,RBP7,AL450998.2,UBR4,PGD,AL450998.2,FBXO6,FBXO42,NECAP2,SDHB
79,PHF13,PIK3CD,TARDBP,GPR157,TNFRSF1B,UBE4B,SPEN,EMC1,DFFA,SPEN,MAD2L2,SZRD1,CROCC,PADI2
80,THAP3,PIK3CD-AS2,SRM,H6PD,VPS13D,KIF1B,ZBTB17,MRTO4,CASZ1,FBXO42,AGTRAP,NECAP2,BX284668.5,PADI4
81,DNAJC11,CLSTN1,EXOSC10,SPSB1,DHRS3,PGD,FBXO42,AKR7A2,TARDBP,SZRD1,MTHFR,SDHB,SDHB,RCC2
82,CAMTA1,CTNNBIP1,MTOR,SLC25A33,PRDM2,DFFA,SZRD1,CAPZB,SRM,NECAP2,KIAA2013,RCC2,PADI4,ARHGEF10L
83,VAMP3,LZIC,UBIAD1,TMEM201,EFHD2,PEX14,NECAP2,MINOS1,EXOSC10,SDHB,PLOD1,UBR4,RCC2,UBR4
84,PER3,NMNAT1,MAD2L2,PIK3CD,DNAJC16,CASZ1,BX284668.5,NBL1,MTOR,RCC2,MIIP,EMC1,UBR4,EMC1
85,PARK7,RBP7,AGTRAP,CLSTN1,DDI2,TARDBP,SDHB,DDOST,UBIAD1,UBR4,TNFRSF1B,MRTO4,EMC1,MRTO4
86,AL034417.3,UBE4B,MTHFR,CTNNBIP1,PLEKHM2,SRM,RCC2,HP1BP3,FBXO44,MRTO4,VPS13D,AKR7A2,MRTO4,AKR7A2
87,ERRFI1,KIF1B,CLCN6,LZIC,AL450998.2,EXOSC10,UBR4,EIF4G3,FBXO6,AKR7A2,PRDM2,CAPZB,AKR7A2,CAPZB
88,AL034417.2,PGD,KIAA2013,NMNAT1,SPEN,MTOR,EMC1,ECE1,MAD2L2,CAPZB,TMEM51,MINOS1,CAPZB,MINOS1
89,RERE,CENPS,PLOD1,RBP7,ZBTB17,UBIAD1,MRTO4,USP48,AGTRAP,MINOS1,EFHD2,NBL1,MINOS1,TMCO4
90,ENO1,DFFA,MFN2,UBE4B,FBXO42,FBXO2,AKR7A2,CDC42,MTHFR,NBL1,CASP9,TMCO4,NBL1,CAMK2N1
91,GPR157,PEX14,MIIP,KIF1B,SZRD1,FBXO44,CAPZB,ZBTB40,CLCN6,MUL1,DNAJC16,CAMK2N1,TMCO4,MUL1
92,H6PD,CASZ1,TNFRSF1B,PGD,NECAP2,FBXO6,MINOS1,KDM1A,KIAA2013,DDOST,DDI2,DDOST,UBXN10-AS1,CDA
93,SPSB1,TARDBP,VPS13D,CENPS,ATP13A2,MAD2L2,OTUD3,LUZP1,PLOD1,HP1BP3,PLEKHM2,HP1BP3,CAMK2N1,PINK1
94,SLC25A33,SRM,DHRS3,DFFA,SDHB,AGTRAP,DDOST,HNRNPR,MFN2,EIF4G3,FBLIM1,EIF4G3,PINK1,DDOST
95,TMEM201,EXOSC10,PRDM2,PEX14,RCC2,MTHFR,HP1BP3,ID3,MIIP,ECE1,UQCRHL,ECE1,DDOST,HP1BP3
96,PIK3CD,MTOR,KAZN,CASZ1,IFFO2,CLCN6,EIF4G3,RPL11,TNFRSF1B,USP48,AL450998.2,USP48,HP1BP3,EIF4G3
97,PIK3CD-AS2,UBIAD1,TMEM51,TARDBP,UBR4,KIAA2013,ECE1,ELOA,VPS13D,CDC42,SPEN,CDC42,EIF4G3,ECE1
98,CLSTN1,FBXO2,EFHD2,SRM,EMC1,PLOD1,USP48,PITHD1,DHRS3,ZBTB40,ZBTB17,ZBTB40,ECE1,USP48
99,CTNNBIP1,FBXO44,CASP9,EXOSC10,MRTO4,MFN2,CDC42,LYPLA2,PRDM2,KDM1A,FBXO42,C1QA,USP48,CDC42
100,LZIC,FBXO6,DNAJC16,MTOR,AKR7A2,MIIP,ZBTB40,HMGCL,TMEM51,LUZP1,SZRD1,C1QB,HSPG2,C1QA
101,NMNAT1,MAD2L2,DDI2,UBIAD1,CAPZB,TNFRSF1B,KDM1A,PNRC2,EFHD2,HNRNPR,NECAP2,KDM1A,CDC42,C1QB
102,RBP7,AGTRAP,PLEKHM2,FBXO2,MINOS1,VPS13D,LUZP1,SRSF10,CASP9,ID3,ATP13A2,LUZP1,KDM1A,KDM1A
103,UBE4B,MTHFR,FBLIM1,FBXO44,NBL1,DHRS3,HNRNPR,NIPAL3,DNAJC16,RPL11,SDHB,HNRNPR,LUZP1,LUZP1
104,KIF1B,CLCN6,UQCRHL,MAD2L2,CAMK2N1,PDPN,ID3,RCAN3,DDI2,ELOA,RCC2,TCEA3,HNRNPR,HNRNPR
105,PGD,KIAA2013,AL450998.2,AGTRAP,MUL1,PRDM2,RPL11,SRRM1,PLEKHM2,PITHD1,IFFO2,ID3,ID3,ID3
106,CENPS,PLOD1,SPEN,MTHFR,PINK1,TMEM51,ELOA,RUNX3,FBLIM1,LYPLA2,UBR4,RPL11,RPL11,RPL11
107,DFFA,MFN2,ZBTB17,CLCN6,DDOST,FHAD1,PITHD1,SYF2,UQCRHL,GALE,EMC1,ELOA,ELOA,ELOA
108,PEX14,MIIP,HSPB7,KIAA2013,HP1BP3,EFHD2,LYPLA2,RSRP1,AL450998.2,HMGCL,MRTO4,PITHD1,PITHD1,PITHD1
109,CASZ1,TNFRSF8,EPHA2,PLOD1,EIF4G3,CASP9,HMGCL,TMEM50A,SPEN,FUCA1,AKR7A2,LYPLA2,LYPLA2,LYPLA2
110,TARDBP,TNFRSF1B,FBXO42,MFN2,ECE1,DNAJC16,CNR2,MACO1,ZBTB17,PNRC2,PQLC2,GALE,GALE,PNRC2
111,SRM,VPS13D,SZRD1,MIIP,USP48,DDI2,PNRC2,LDLRAP1,SRARP,SRSF10,CAPZB,HMGCL,HMGCL,SRSF10
112,EXOSC10,DHRS3,NECAP2,TNFRSF1B,CDC42,PLEKHM2,SRSF10,STMN1,EPHA2,NIPAL3,MINOS1,FUCA1,PNRC2,RCAN3
113,AL109811.2,PDPN,BX284668.5,VPS13D,ZBTB40,FBLIM1,IFNLR1,ZNF593,FBXO42,RCAN3,NBL1,PNRC2,SRSF10,AL445686.2
114,MTOR,PRDM2,ATP13A2,DHRS3,C1QA,UQCRHL,NIPAL3,SH3BGRL3,SZRD1,SRRM1,PLA2G2D,SRSF10,NIPAL3,SRRM1
115,UBIAD1,KAZN,SDHB,PDPN,KDM1A,AL450998.2,RCAN3,UBXN11,NECAP2,RUNX3,CAMK2N1,NIPAL3,RCAN3,CLIC4
116,FBXO2,TMEM51,RCC2,PRDM2,LUZP1,SPEN,AL445686.2,CD52,NBPF1,SYF2,MUL1,RCAN3,SRRM1,RUNX3
117,FBXO44,FHAD1,ARHGEF10L,KAZN,HNRNPR,ZBTB17,SRRM1,ZNF683,BX284668.5,RSRP1,PINK1,SRRM1,CLIC4,SYF2
118,FBXO6,EFHD2,IFFO2,TMEM51,ID3,SRARP,CLIC4,DHDDS,BX284668.6,TMEM50A,DDOST,RUNX3,RUNX3,RSRP1
119,MAD2L2,DNAJC16,UBR4,EFHD2,RPL11,FBXO42,RUNX3,HMGN2,ATP13A2,MACO1,HP1BP3,SYF2,SYF2,TMEM50A
120,AGTRAP,DDI2,AL035413.1,CASP9,ELOA,SZRD1,SYF2,RPS6KA1,SDHB,LDLRAP1,EIF4G3,RSRP1,RSRP1,SELENON
121,C1orf167,PLEKHM2,EMC1,DNAJC16,PITHD1,NECAP2,RSRP1,ARID1A,PADI2,MTFR1L,ECE1,TMEM50A,TMEM50A,MTFR1L
122,MTHFR,SLC25A34,MRTO4,DDI2,LYPLA2,NBPF1,TMEM50A,ZDHHC18,PADI4,STMN1,USP48,MACO1,MACO1,PAQR7
123,CLCN6,FBLIM1,AKR7A2,PLEKHM2,GALE,BX284668.5,MACO1,GPATCH3,RCC2,PAFAH2,CDC42,LDLRAP1,MTFR1L,STMN1
124,KIAA2013,UQCRHL,CAPZB,FBLIM1,HMGCL,ATP13A2,STMN1,NUDC,ARHGEF10L,ZNF593,ZBTB40,MTFR1L,PAQR7,PAFAH2
125,PLOD1,AL450998.2,MINOS1,UQCRHL,PNRC2,SDHB,ZNF593,WDTC1,ALDH4A1,SH3BGRL3,C1QA,STMN1,STMN1,PDIK1L
126,MFN2,SPEN,NBL1,AL450998.2,SRSF10,PADI2,SH3BGRL3,TMEM222,UBR4,CD52,C1QB,ZNF593,TRIM63,ZNF593
127,MIIP,ZBTB17,OTUD3,SPEN,NIPAL3,RCC2,UBXN11,SYTL1,EMC1,ZNF683,KDM1A,SH3BGRL3,PDIK1L,SH3BGRL3
128,TNFRSF1B,EPHA2,CAMK2N1,ZBTB17,RCAN3,ARHGEF10L,CD52,WASF2,MRTO4,DHDDS,LUZP1,UBXN11,ZNF593,UBXN11
129,VPS13D,ARHGEF19,MUL1,EPHA2,AL445686.2,IGSF21,DHDDS,IFI6,AKR7A3,HMGN2,HNRNPR,CD52,SH3BGRL3,CD52
130,DHRS3,FBXO42,PINK1,ARHGEF19,SRRM1,IFFO2,HMGN2,FAM76A,AKR7A2,RPS6KA1,ID3,ZNF683,UBXN11,DHDDS
131,PDPN,SZRD1,DDOST,FBXO42,RUNX3,UBR4,RPS6KA1,STX12,PQLC2,ARID1A,RPL11,HMGN2,CD52,HMGN2
132,PRDM2,NECAP2,HP1BP3,SZRD1,SYF2,EMC1,ARID1A,PPP1R8,CAPZB,PIGV,ELOA,RPS6KA1,HMGN2,RPS6KA1
133,KAZN,NBPF1,EIF4G3,NECAP2,RSRP1,MRTO4,ZDHHC18,RPA2,MINOS1,ZDHHC18,ELOA-AS1,ARID1A,RPS6KA1,ARID1A
134,TMEM51,CROCC,ECE1,NBPF1,TMEM50A,AKR7A3,GPN2,EYA3,TMCO4,NUDC,PITHD1,ZDHHC18,ARID1A,GPN2
135,EFHD2,BX284668.5,USP48,CROCC,MACO1,AKR7A2,GPATCH3,DNAJC8,CAMK2N1,SLC9A1,LYPLA2,SFN,NUDC,GPATCH3
136,CASP9,MFAP2,HSPG2,BX284668.5,LDLRAP1,PQLC2,NUDC,ATP5IF1,MUL1,TMEM222,GALE,NUDC,SLC9A1,NUDC
137,DNAJC16,ATP13A2,CDC42,BX284668.6,MTFR1L,CAPZB,WDTC1,SESN2,PINK1,SYTL1,HMGCL,TMEM222,WDTC1,SLC9A1
138,DDI2,SDHB,ZBTB40,MFAP2,STMN1,MINOS1,TMEM222,PHACTR4,DDOST,WASF2,FUCA1,SYTL1,TMEM222,WDTC1
139,PLEKHM2,RCC2,KDM1A,ATP13A2,ZNF593,NBL1,SYTL1,TRNAU1AP,HP1BP3,AHDC1,PNRC2,WASF2,WASF2,TMEM222
140,FBLIM1,ARHGEF10L,LUZP1,SDHB,SH3BGRL3,TMCO4,WASF2,SNHG12,EIF4G3,FGR,SRSF10,AHDC1,FGR,SYTL1
141,UQCRHL,IFFO2,LINC01355,RCC2,UBXN11,OTUD3,AHDC1,TAF12,ECE1,IFI6,IFNLR1,IFI6,IFI6,MAP3K6
142,AL450998.2,UBR4,HNRNPR,IFFO2,CD52,PLA2G2D,IFI6,GMEB1,USP48,FAM76A,NIPAL3,FAM76A,FAM76A,WASF2
143,SPEN,AL035413.1,TCEA3,UBR4,ZNF683,CAMK2N1,FAM76A,YTHDF2,HSPG2,STX12,RCAN3,STX12,STX12,FGR
144,ZBTB17,EMC1,ID3,AL035413.1,DHDDS,MUL1,STX12,EPB41,CDC42,PPP1R8,SRRM1,PPP1R8,PPP1R8,IFI6
145,SRARP,MRTO4,RPL11,EMC1,HMGN2,PINK1,PPP1R8,SRSF4,ZBTB40,THEMIS2,CLIC4,RPA2,THEMIS2,STX12
146,EPHA2,AKR7A2,ELOA,MRTO4,RPS6KA1,DDOST,THEMIS2,LAPTM5,C1QA,RPA2,RUNX3,EYA3,RPA2,PPP1R8
147,ARHGEF19,PQLC2,PITHD1,AKR7A2,ARID1A,HP1BP3,RPA2,PUM1,C1QC,EYA3,SYF2,DNAJC8,PTAFR,THEMIS2
148,FBXO42,CAPZB,LYPLA2,PQLC2,ZDHHC18,EIF4G3,XKR8,SNRNP40,C1QB,DNAJC8,RSRP1,ATP5IF1,DNAJC8,RPA2
149,SZRD1,MINOS1,GALE,CAPZB,GPN2,ECE1,EYA3,ZCCHC17,KDM1A,ATP5IF1,TMEM50A,PHACTR4,ATP5IF1,EYA3
150,NECAP2,NBL1,HMGCL,MINOS1,NUDC,USP48,PTAFR,PEF1,LUZP1,PHACTR4,MACO1,TRNAU1AP,PHACTR4,PTAFR
151,AL137802.2,TMCO4,FUCA1,NBL1,SLC9A1,HSPG2,DNAJC8,PTP4A2,HNRNPR,TRNAU1AP,LDLRAP1,SNHG12,TRNAU1AP,DNAJC8
152,NBPF1,OTUD3,PNRC2,TMCO4,WDTC1,CDC42,ATP5IF1,KHDRBS1,TCEA3,SNHG12,MTFR1L,TAF12,SNHG12,ATP5IF1
153,CROCC,PLA2G2A,SRSF10,OTUD3,TMEM222,ZBTB40,SESN2,KPNA6,ID3,TAF12,STMN1,AL360012.1,TAF12,AL353622.1
154,BX284668.5,PLA2G5,RCAN3,CAMK2N1,SYTL1,C1QA,PHACTR4,TXLNA,RPL11,AL360012.1,PDIK1L,GMEB1,AL360012.1,PHACTR4
155,BX284668.6,CAMK2N1,SRRM1,MUL1,WASF2,C1QC,RCC1,EIF3I,ELOA,GMEB1,ZNF593,YTHDF2,GMEB1,RCC1
156,ATP13A2,MUL1,CLIC4,CDA,AHDC1,C1QB,TRNAU1AP,LCK,ELOA-AS1,YTHDF2,CNKSR1,EPB41,YTHDF2,TRNAU1AP
157,SDHB,PINK1,SYF2,PINK1,IFI6,EPHB2,SNHG12,HDAC1,PITHD1,EPB41,SH3BGRL3,SRSF4,EPB41,SNHG12
158,PADI2,DDOST,RSRP1,DDOST,FAM76A,KDM1A,TAF12,MARCKSL1,LYPLA2,SRSF4,CD52,LAPTM5,SRSF4,TAF12
159,RCC2,HP1BP3,TMEM50A,KIF17,STX12,LUZP1,AL360012.1,BSDC1,GALE,LAPTM5,ZNF683,PUM1,MECR,AL360012.1
160,ARHGEF10L,EIF4G3,MACO1,HP1BP3,PPP1R8,LINC01355,GMEB1,ZBTB8OS,HMGCL,PUM1,DHDDS,SNRNP40,LAPTM5,GMEB1
