B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	NA	PFDN4	SNHG23	NA	NA	NA	NA	NA	GPRC5C	NA
NA	NA	NA	NA	NA	TCTEX1D2	LSM2	NA	NA	NA	NA	NA	H1F0	NA
NA	NA	NA	NA	NA	BUD31	PGK1	NA	NA	NA	NA	NA	TMEM18	NA
NA	NA	NA	NA	NA	FTL	LMAN1	NA	NA	NA	NA	NA	FNDC3B	NA
NA	NA	NA	NA	NA	ZC3H15	PLA2G2A	NA	NA	NA	NA	NA	CDK6	NA
NA	NA	NA	NA	NA	TECR	EIF1B	NA	NA	NA	NA	NA	NR1H2	NA
NA	NA	NA	NA	NA	NUTF2	GADD45GIP1	NA	NA	NA	NA	NA	MKL2	NA
NA	NA	NA	NA	NA	ZNF22	ADCK3	NA	NA	NA	NA	NA	PYCARD	NA
NA	NA	NA	NA	NA	NDUFA3	PLS3	NA	NA	NA	NA	NA	TXN	NA
NA	NA	NA	NA	NA	PTP4A1	ZNF593	NA	NA	NA	NA	NA	YWHAB	NA
NA	NA	NA	NA	NA	ACTR2	COX17	NA	NA	NA	NA	NA	TRIM47	NA
NA	NA	NA	NA	NA	SPCS1	PDLIM4	NA	NA	NA	NA	NA	PSIP1	NA
NA	NA	NA	NA	NA	LIMS1	ESD	NA	NA	NA	NA	NA	CAPZA1	NA
NA	NA	NA	NA	NA	BIRC5	HDAC2	NA	NA	NA	NA	NA	UQCR10	NA
NA	NA	NA	NA	NA	CHMP4A	FOSL2	NA	NA	NA	NA	NA	REV3L	NA
NA	NA	NA	NA	NA	PERP	METTL7A	NA	NA	NA	NA	NA	GPX8	NA
NA	NA	NA	NA	NA	MYEOV2	PGAP1	NA	NA	NA	NA	NA	COL12A1	NA
NA	NA	NA	NA	NA	PET100	TYRO3	NA	NA	NA	NA	NA	IDI1	NA
NA	NA	NA	NA	NA	S100A6	GPNMB	NA	NA	NA	NA	NA	NDUFC1	NA
NA	NA	NA	NA	NA	SDF2L1	MPC2	NA	NA	NA	NA	NA	SLC12A2	NA
NA	NA	NA	NA	NA	CHCHD3	PON2	NA	NA	NA	NA	NA	TNS1	NA
NA	NA	NA	NA	NA	FAU	LAPTM4B	NA	NA	NA	NA	NA	CKAP4	NA
NA	NA	NA	NA	NA	NDUFS5	RBM8A	NA	NA	NA	NA	NA	OTUD6B-AS1	NA
NA	NA	NA	NA	NA	TPPP3	FBN1	NA	NA	NA	NA	NA	PDIA6	NA
NA	NA	NA	NA	NA	RPL26L1	MYL6B	NA	NA	NA	NA	NA	PROSC	NA
NA	NA	NA	NA	NA	ATP1B1	COX7A1	NA	NA	NA	NA	NA	SSR4	NA
NA	NA	NA	NA	NA	COA6	UCHL1	NA	NA	NA	NA	NA	S100A13	NA
NA	NA	NA	NA	NA	HLA-DQA1	CAV1	NA	NA	NA	NA	NA	PPP1CB	NA
NA	NA	NA	NA	NA	DSE	NDUFAB1	NA	NA	NA	NA	NA	DENND5A	NA
NA	NA	NA	NA	NA	NDUFA11	LGALS3	NA	NA	NA	NA	NA	HSBP1	NA
NA	NA	NA	NA	NA	SPINT1	SHFM1	NA	NA	NA	NA	NA	PRKDC	NA
NA	NA	NA	NA	NA	EPHX1	PPIA	NA	NA	NA	NA	NA	PSMD5-AS1	NA
NA	NA	NA	NA	NA	RUVBL1	CDC42SE1	NA	NA	NA	NA	NA	RP11-792A8.4	NA
NA	NA	NA	NA	NA	AGR3	DRAP1	NA	NA	NA	NA	NA	QKI	NA
NA	NA	NA	NA	NA	SEPT2	VAMP2	NA	NA	NA	NA	NA	JAK1	NA
NA	NA	NA	NA	NA	CBX1	RGS2	NA	NA	NA	NA	NA	TSPAN4	NA
NA	NA	NA	NA	NA	HMGN3	SYF2	NA	NA	NA	NA	NA	PELO	NA
NA	NA	NA	NA	NA	HYAL2	EBF1	NA	NA	NA	NA	NA	PRDX4	NA
NA	NA	NA	NA	NA	NDUFA12	N4BP2L1	NA	NA	NA	NA	NA	TBC1D1	NA
NA	NA	NA	NA	NA	EIF4B	YWHAB	NA	NA	NA	NA	NA	HIST3H2A	NA
NA	NA	NA	NA	NA	TOMM22	TMEM176A	NA	NA	NA	NA	NA	LAMTOR2	NA
NA	NA	NA	NA	NA	RAB10	HSBP1	NA	NA	NA	NA	NA	CBX3	NA
NA	NA	NA	NA	NA	GNAS	ANGPTL2	NA	NA	NA	NA	NA	ACTA2	NA
NA	NA	NA	NA	NA	NR2F1	CYP1B1	NA	NA	NA	NA	NA	TMEM181	NA
NA	NA	NA	NA	NA	PPP1R2	HMGB2	NA	NA	NA	NA	NA	METTL7A	NA
NA	NA	NA	NA	NA	TCEB1	SRP9	NA	NA	NA	NA	NA	INPP4B	NA
NA	NA	NA	NA	NA	ZMAT3	NDUFA11	NA	NA	NA	NA	NA	STAT2	NA
NA	NA	NA	NA	NA	STAT3	CHL1	NA	NA	NA	NA	NA	HAX1	NA
NA	NA	NA	NA	NA	C6orf1	ATF3	NA	NA	NA	NA	NA	BOD1	NA
NA	NA	NA	NA	NA	MANF	SUMO1	NA	NA	NA	NA	NA	HYI	NA
NA	NA	NA	NA	NA	RPL38	LSM5	NA	NA	NA	NA	NA	FMO2	NA
NA	NA	NA	NA	NA	SLC5A3	RGCC	NA	NA	NA	NA	NA	TCEAL3	NA
NA	NA	NA	NA	NA	ARF1	HLA-C	NA	NA	NA	NA	NA	HES1	NA
NA	NA	NA	NA	NA	TMEM167A	TFPI2	NA	NA	NA	NA	NA	REXO2	NA
NA	NA	NA	NA	NA	MEA1	C1R	NA	NA	NA	NA	NA	CCDC80	NA
NA	NA	NA	NA	NA	PDIA6	USP53	NA	NA	NA	NA	NA	SCARB2	NA
NA	NA	NA	NA	NA	GATA6	GAS1	NA	NA	NA	NA	NA	NCK2	NA
NA	NA	NA	NA	NA	MNS1	FGF7	NA	NA	NA	NA	NA	PPIC	NA
NA	NA	NA	NA	NA	ARPC5	CTSL	NA	NA	NA	NA	NA	PLAGL1	NA
NA	NA	NA	NA	NA	BACE2	IFITM2	NA	NA	NA	NA	NA	SEC61A1	NA
NA	NA	NA	NA	NA	ARL4A	LHX9	NA	NA	NA	NA	NA	TMEM30A	NA
NA	NA	NA	NA	NA	UBE2I	SFRP2	NA	NA	NA	NA	NA	GPNMB	NA
NA	NA	NA	NA	NA	ERRFI1	CYBRD1	NA	NA	NA	NA	NA	DNAJC15	NA
NA	NA	NA	NA	NA	TSPYL2	CELF2	NA	NA	NA	NA	NA	PPP1R12A	NA
NA	NA	NA	NA	NA	AK2	N4BP2L2	NA	NA	NA	NA	NA	HSPA5	NA
NA	NA	NA	NA	NA	CETN2	MIR503HG	NA	NA	NA	NA	NA	STAT1	NA
NA	NA	NA	NA	NA	ZNF331	RPL22L1	NA	NA	NA	NA	NA	PRR16	NA
NA	NA	NA	NA	NA	VPS35	SLIT3	NA	NA	NA	NA	NA	HOXB-AS1	NA
NA	NA	NA	NA	NA	PRELID3B	MOB3B	NA	NA	NA	NA	NA	KAT5	NA
NA	NA	NA	NA	NA	CMSS1	DIO3OS	NA	NA	NA	NA	NA	PSME2	NA
NA	NA	NA	NA	NA	NAMPT	TGFB1I1	NA	NA	NA	NA	NA	SPINT2	NA
NA	NA	NA	NA	NA	CLDN11	RARRES1	NA	NA	NA	NA	NA	LASP1	NA
NA	NA	NA	NA	NA	FAM96B	KLF4	NA	NA	NA	NA	NA	GPC6	NA
NA	NA	NA	NA	NA	ERGIC3	PALLD	NA	NA	NA	NA	NA	IGFBP6	NA
NA	NA	NA	NA	NA	CUTA	TUBB6	NA	NA	NA	NA	NA	AFAP1L2	NA
NA	NA	NA	NA	NA	MTX2	UFC1	NA	NA	NA	NA	NA	PSMB3	NA
NA	NA	NA	NA	NA	C17orf89	HINT1	NA	NA	NA	NA	NA	ST5	NA
NA	NA	NA	NA	NA	COL1A2	CDKN1C	NA	NA	NA	NA	NA	HSPE1	NA
NA	NA	NA	NA	NA	MAL2	SERPINE2	NA	NA	NA	NA	NA	HLA-DPA1	NA
NA	NA	NA	NA	NA	ARMCX1	PLTP	NA	NA	NA	NA	NA	CHPF	NA
NA	NA	NA	NA	NA	EPB41L4A-AS1	LXN	NA	NA	NA	NA	NA	MEG3	NA
NA	NA	NA	NA	NA	CHRDL1	FMOD	NA	NA	NA	NA	NA	LYPLA1	NA
NA	NA	NA	NA	NA	IMPDH2	SNHG7	NA	NA	NA	NA	NA	RPL22L1	NA
NA	NA	NA	NA	NA	TIMM17A	POLR2J	NA	NA	NA	NA	NA	IGBP1	NA
NA	NA	NA	NA	NA	PSMD2	SLPI	NA	NA	NA	NA	NA	NBEAL1	NA
NA	NA	NA	NA	NA	PSENEN	PHPT1	NA	NA	NA	NA	NA	RHOBTB3	NA
NA	NA	NA	NA	NA	TCEA1	MYL9	NA	NA	NA	NA	NA	LAP3	NA
NA	NA	NA	NA	NA	SEC61B	ADAMTS4	NA	NA	NA	NA	NA	ARPC1B	NA
NA	NA	NA	NA	NA	MRPS21	UBE2L3	NA	NA	NA	NA	NA	SRPX	NA
NA	NA	NA	NA	NA	MRPL55	SMOC2	NA	NA	NA	NA	NA	C10orf10	NA
NA	NA	NA	NA	NA	PAPPA	SAT2	NA	NA	NA	NA	NA	ZNHIT1	NA
NA	NA	NA	NA	NA	ERGIC1	PDIA6	NA	NA	NA	NA	NA	PPP1CA	NA
NA	NA	NA	NA	NA	FDFT1	CD74	NA	NA	NA	NA	NA	LAMP2	NA
NA	NA	NA	NA	NA	STARD3NL	VKORC1	NA	NA	NA	NA	NA	CFD	NA
NA	NA	NA	NA	NA	UBB	SNRPB	NA	NA	NA	NA	NA	RPN2	NA
NA	NA	NA	NA	NA	CDK4	ATG3	NA	NA	NA	NA	NA	PGF	NA
NA	NA	NA	NA	NA	TUSC3	SNU13	NA	NA	NA	NA	NA	RBMS3	NA
NA	NA	NA	NA	NA	C1orf53	TSPAN4	NA	NA	NA	NA	NA	WFDC1	NA
NA	NA	NA	NA	NA	CDC42	FHL2	NA	NA	NA	NA	NA	MT-ND6	NA
NA	NA	NA	NA	NA	MRPL12	USMG5	NA	NA	NA	NA	NA	FAM213A	NA
NA	NA	NA	NA	NA	PCBP2	IGF1	NA	NA	NA	NA	NA	CYTH3	NA
NA	NA	NA	NA	NA	MRPS12	RHEB	NA	NA	NA	NA	NA	DPYSL2	NA
NA	NA	NA	NA	NA	OLA1	UBXN8	NA	NA	NA	NA	NA	PTK2	NA
NA	NA	NA	NA	NA	PCBP1	DKK1	NA	NA	NA	NA	NA	WRB	NA
NA	NA	NA	NA	NA	PFDN1	CXCL14	NA	NA	NA	NA	NA	EPAS1	NA
NA	NA	NA	NA	NA	C19orf48	PAMR1	NA	NA	NA	NA	NA	CANX	NA
NA	NA	NA	NA	NA	RPL8	TMEM176B	NA	NA	NA	NA	NA	NUDT5	NA
NA	NA	NA	NA	NA	MRPS16	S100A6	NA	NA	NA	NA	NA	COMT	NA
NA	NA	NA	NA	NA	TRIAP1	SCARA5	NA	NA	NA	NA	NA	ARHGEF25	NA
NA	NA	NA	NA	NA	LINC00467	CRIM1	NA	NA	NA	NA	NA	TMBIM6	NA
NA	NA	NA	NA	NA	ABI3BP	MYEOV2	NA	NA	NA	NA	NA	COPE	NA
NA	NA	NA	NA	NA	ATP5C1	SCPEP1	NA	NA	NA	NA	NA	RND3	NA
NA	NA	NA	NA	NA	PON2	EIF5A	NA	NA	NA	NA	NA	CAPZB	NA
NA	NA	NA	NA	NA	COX6C	PRNP	NA	NA	NA	NA	NA	MRPL36	NA
NA	NA	NA	NA	NA	UROS	B2M	NA	NA	NA	NA	NA	PCBP2	NA
NA	NA	NA	NA	NA	MTCH1	NHP2	NA	NA	NA	NA	NA	CARMN	NA
NA	NA	NA	NA	NA	YWHAB	HIST1H4C	NA	NA	NA	NA	NA	LRRFIP1	NA
NA	NA	NA	NA	NA	GFPT2	RANBP1	NA	NA	NA	NA	NA	MVP	NA
NA	NA	NA	NA	NA	PDGFRA	ARRDC3	NA	NA	NA	NA	NA	VCL	NA
NA	NA	NA	NA	NA	EIF3M	PLIN2	NA	NA	NA	NA	NA	MYADM	NA
NA	NA	NA	NA	NA	YWHAE	MT1A	NA	NA	NA	NA	NA	DNAJB2	NA
NA	NA	NA	NA	NA	CHMP2A	COX6A1	NA	NA	NA	NA	NA	PPP2R4	NA
NA	NA	NA	NA	NA	XRCC5	ECM2	NA	NA	NA	NA	NA	STAT3	NA
NA	NA	NA	NA	NA	TSPAN4	APOE	NA	NA	NA	NA	NA	CD151	NA
NA	NA	NA	NA	NA	MPLKIP	RGS16	NA	NA	NA	NA	NA	PRELID1	NA
NA	NA	NA	NA	NA	ST6GAL1	RPS27L	NA	NA	NA	NA	NA	TSPAN3	NA
NA	NA	NA	NA	NA	MRPL42	SERPINB6	NA	NA	NA	NA	NA	COX5A	NA
NA	NA	NA	NA	NA	TTC3	AOX1	NA	NA	NA	NA	NA	CTTN	NA
NA	NA	NA	NA	NA	PCOLCE2	G0S2	NA	NA	NA	NA	NA	ARHGEF40	NA
NA	NA	NA	NA	NA	PSME1	SAMHD1	NA	NA	NA	NA	NA	EIF3D	NA
NA	NA	NA	NA	NA	CDKAL1	CTNNAL1	NA	NA	NA	NA	NA	S100A4	NA
NA	NA	NA	NA	NA	CACYBP	ADH5	NA	NA	NA	NA	NA	SPPL2A	NA
NA	NA	NA	NA	NA	HNRNPDL	RPL13	NA	NA	NA	NA	NA	NPC2	NA
NA	NA	NA	NA	NA	YWHAQ	FAM213A	NA	NA	NA	NA	NA	PTGIR	NA
NA	NA	NA	NA	NA	RNF7	PRPS2	NA	NA	NA	NA	NA	FBXO32	NA
NA	NA	NA	NA	NA	COX7A2L	GADD45G	NA	NA	NA	NA	NA	KIAA0040	NA
NA	NA	NA	NA	NA	GOLIM4	MAP1LC3A	NA	NA	NA	NA	NA	ARF4	NA
NA	NA	NA	NA	NA	SF3B5	IFI6	NA	NA	NA	NA	NA	TM4SF1	NA
NA	NA	NA	NA	NA	THOC3	MT-ND5	NA	NA	NA	NA	NA	TAX1BP3	NA
NA	NA	NA	NA	NA	FBL	TRABD2A	NA	NA	NA	NA	NA	PSAP	NA
NA	NA	NA	NA	NA	POMP	LUC7L3	NA	NA	NA	NA	NA	P3H1	NA
NA	NA	NA	NA	NA	ATP5B	GYPC	NA	NA	NA	NA	NA	TBX2	NA
NA	NA	NA	NA	NA	GCHFR	NCOA7	NA	NA	NA	NA	NA	DNPH1	NA
NA	NA	NA	NA	NA	UFC1	SMARCA2	NA	NA	NA	NA	NA	SCOC	NA
NA	NA	NA	NA	NA	TBCA	YWHAE	NA	NA	NA	NA	NA	PMPCB	NA
NA	NA	NA	NA	NA	TIMM17B	SASH1	NA	NA	NA	NA	NA	GTF3A	NA
NA	NA	NA	NA	NA	ID2	RBMS3	NA	NA	NA	NA	NA	NDUFA11	NA
NA	NA	NA	NA	NA	HNRNPK	AC090498.1	NA	NA	NA	NA	NA	MAGED1	NA
NA	NA	NA	NA	NA	CCT2	CCNL1	NA	NA	NA	NA	NA	UTRN	NA
NA	NA	NA	NA	NA	CALR	IFNGR1	NA	NA	NA	NA	NA	MOB1A	NA
NA	NA	NA	NA	NA	SNF8	MZT2B	NA	NA	NA	NA	NA	AIP	NA
NA	NA	NA	NA	NA	RALA	VGLL3	NA	NA	NA	NA	NA	IER3	NA
NA	NA	NA	NA	NA	NDUFC2	APLP2	NA	NA	NA	NA	NA	MGLL	NA
NA	NA	NA	NA	NA	RPL36	MAFF	NA	NA	NA	NA	NA	LGALS3	NA
NA	NA	NA	NA	NA	MAFF	PLAT	NA	NA	NA	NA	NA	HSP90AA1	NA
NA	NA	NA	NA	NA	ERH	SNRPE	NA	NA	NA	NA	NA	APOL6	NA
NA	NA	NA	NA	NA	WBP5	CEBPB	NA	NA	NA	NA	NA	ATP5B	NA
NA	NA	NA	NA	NA	PDCD6	SPTBN1	NA	NA	NA	NA	NA	ATP1B3	NA
NA	NA	NA	NA	NA	YWHAZ	C1S	NA	NA	NA	NA	NA	SDCBP	NA
NA	NA	NA	NA	NA	RPL29	DES	NA	NA	NA	NA	NA	SCP2	NA
NA	NA	NA	NA	NA	TUFM	IGFBP7	NA	NA	NA	NA	NA	TPM3	NA
NA	NA	NA	NA	NA	HSPB2	EFEMP2	NA	NA	NA	NA	NA	ARHGAP1	NA
NA	NA	NA	NA	NA	TIMP2	JADE1	NA	NA	NA	NA	NA	VPS13D	NA
NA	NA	NA	NA	NA	RPS11	APOC1	NA	NA	NA	NA	NA	PLXND1	NA
NA	NA	NA	NA	NA	RBP7	CD302	NA	NA	NA	NA	NA	VKORC1	NA
NA	NA	NA	NA	NA	CXCL14	PTMS	NA	NA	NA	NA	NA	DAAM2	NA
NA	NA	NA	NA	NA	MDH2	TSC22D3	NA	NA	NA	NA	NA	FGF7	NA
NA	NA	NA	NA	NA	NDUFA1	UAP1	NA	NA	NA	NA	NA	SAT2	NA
NA	NA	NA	NA	NA	PSMB6	ENG	NA	NA	NA	NA	NA	UFSP2	NA
NA	NA	NA	NA	NA	IFI27	CRISPLD2	NA	NA	NA	NA	NA	TMTC3	NA
NA	NA	NA	NA	NA	DAP	LMO3	NA	NA	NA	NA	NA	SH3GLB1	NA
NA	NA	NA	NA	NA	BLOC1S1	LAMP5	NA	NA	NA	NA	NA	ZCCHC24	NA
NA	NA	NA	NA	NA	LUC7L3	HTRA1	NA	NA	NA	NA	NA	VASP	NA
NA	NA	NA	NA	NA	SSB	ISLR	NA	NA	NA	NA	NA	RANBP1	NA
NA	NA	NA	NA	NA	MZT2B	HSD17B11	NA	NA	NA	NA	NA	MDM2	NA
NA	NA	NA	NA	NA	COX6A1	HLA-DPB1	NA	NA	NA	NA	NA	TMEM123	NA
NA	NA	NA	NA	NA	MAF	CPVL	NA	NA	NA	NA	NA	TNFSF12	NA
NA	NA	NA	NA	NA	FKBP1A	LAMB2	NA	NA	NA	NA	NA	MXD4	NA
NA	NA	NA	NA	NA	TSPO	RNASE1	NA	NA	NA	NA	NA	RUFY3	NA
NA	NA	NA	NA	NA	RNF213	CPQ	NA	NA	NA	NA	NA	FKBP9	NA
NA	NA	NA	NA	NA	NDUFS7	TNFSF10	NA	NA	NA	NA	NA	ARF3	NA
NA	NA	NA	NA	NA	CRNDE	WT1	NA	NA	NA	NA	NA	GOLIM4	NA
NA	NA	NA	NA	NA	NDUFA5	TSPAN5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS3A	FOSB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RERG	CPXM1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FZD7	STOM	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TSEN15	SNHG9	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LAMTOR4	CXCL2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TAX1BP1	HLA-A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LDHA	ACAT1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SEMA5A	ANGPTL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTGIS	F3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SGOL2	TMEM109	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NGFRAP1	LRRN4CL	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP6V0B	ABI3BP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSPA8	CLK1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ADRM1	FGL2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WDR54	RAMP2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HPRT1	SPARCL1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ELAVL1	CST3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FLOT1	HBA1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTRF	C8orf4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFV3	ANGPTL4	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GIPC1	HSPA1A	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINA1	MFAP5	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD63	CXCL12	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NCL	NCALD	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C19orf70	LMCD1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C1QBP	HAS1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL10A	CILP	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LXN	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SRI	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MGMT	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDIA4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL33	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COTL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NAA50	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRDX5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RSL24D1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPTBN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HDLBP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LHFP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DAD1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AP1S2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NUDC	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM229B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SEPT11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DYNLRB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CKLF	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MSN	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TIMM8B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SMIM15	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CHCHD7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DCXR	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MZT2A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HNRNPR	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TP53	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACTR3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KRT19	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRRC59	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TGFBR2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SKA2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STK17A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NPM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DDX52	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CELF2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GLRX	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SRSF5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FUS	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM205	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UGP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AREG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TRAPPC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPA3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GSTK1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDCD5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRDX4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL3A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	METRN	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDKN1C	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD151	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GJA1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CALM2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGDIB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPI	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PEA15	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UBE2N	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FKBP10	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCL2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFA13	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDCD2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C12orf75	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	P3H4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF5A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC38A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RNASEH2A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTRHD1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIF1A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSAP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LINC01116	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL41	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MMD	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ID3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDCD10	NA	NA	NA	NA	NA	NA	NA	NA
