B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT	Pericyte	Plasma
NA	HBA1	SPARC	PLAUR	ZFP36	NR4A1	IGFBP2	CRIP1	NA	EIF3M	CXCR4	NA	RPL37A	NA
NA	RGCC	RPLP1	C1orf162	SPARC	PNRC1	BTG2	RNASE1	NA	RPS16	IGLC2	NA	RPL23A	NA
NA	RPL36A	XCL1	RHOB	IGHG3	MT1E	COL5A1	EEF1A1	NA	HERPUD1	PLAC8	NA	IGFBP7	NA
NA	IGLC3	ID2	RPS26	HBB	ADIRF	GUK1	JUNB	NA	HLA-DRA	FTH1	NA	PDK4	NA
NA	RPS21	ANXA1	H3F3A	PPP1R14A	TNNT1	RPL9	DCN	NA	HLA-B	SRGAP3	NA	MYH11	NA
NA	WFDC2	FN1	RPL34	PLA2G2A	CRABP2	ATP5E	CXCL2	NA	ANXA1	RPLP1	NA	DSTN	NA
NA	HMGN2	RPL28	FCGBP	RAMP3	HP	RPS29	RPS2	NA	C4orf3	LITAF	NA	MT-ATP6	NA
NA	GPR183	RPS29	C15orf48	COL4A2	C3	PODNL1	CLEC10A	NA	DUSP1	PRF1	NA	CYBA	NA
NA	RP11-347P5.1	ADIRF	PKM	HSPG2	GAS1	NR4A1	PSAP	NA	ALDH1A1	SPON2	NA	DUSP1	NA
NA	SPP1	CTHRC1	HLA-DRB5	CLDN5	EPCAM	SPRR2F	MARCO	NA	HLA-DRB5	RPL41	NA	GLUL	NA
NA	IGLC2	ZFP36L2	CD1C	ADH1B	MT1M	CFL1	TPI1	NA	TSC22D3	FCGR3A	NA	MT-ND1	NA
NA	IGHA1	GSN	CLEC10A	AQP7	MMP7	FOS	FOLR2	NA	SOCS3	IGHG4	NA	RPL24	NA
NA	FOS	TSC22D3	TAGLN	B2M	CLDN4	COL11A1	HP	NA	ITLN1	AC090498.1	NA	SERPINF1	NA
NA	RPLP1	XCL2	FCN1	PCDH17	CPE	RBP1	FN1	NA	PRELID1	CPNE7	NA	NDUFA4L2	NA
NA	PIK3R1	MT1X	IL1R2	VWA1	RARRES1	ARPC1B	WFDC2	NA	NA	WFDC2	NA	RPS3A	NA
NA	CYR61	GZMA	STK17B	DUSP23	DBI	MYL6	MAF	NA	NA	KLRG1	NA	RPL22	NA
NA	SRGN	FOS	CFP	COL1A1	PKM	RPL38	MT1X	NA	NA	CST7	NA	PLN	NA
NA	TPT1	CYBA	COL1A1	COL15A1	MT1X	THY1	MT1E	NA	NA	ETS1	NA	MYL9	NA
NA	RPL41	FTH1	LDHA	NEAT1	SMIM22	TPM4	FOSB	NA	NA	IGLC3	NA	RPS11	NA
NA	SRSF5	MDK	RPS28	MT1E	DCN	APOD	MT2A	NA	NA	MT2A	NA	LAMA4	NA
NA	PTGER4	CITED2	CD163	COL4A1	PAX8	RPS10	CITED2	NA	NA	ADRB2	NA	COL6A3	NA
NA	IGHG1	IGLC2	ACTA2	INSR	EMX2	PDK4	CST3	NA	NA	DUSP2	NA	HNRNPA1	NA
NA	SLPI	HCST	IGKC	SERPINH1	RPL34	S100A1	S100A4	NA	NA	PBXIP1	NA	IGFBP5	NA
NA	MCL1	AKIRIN2	ENO1	AQP1	TPT1	RPL36A	EMP3	NA	NA	GAPDH	NA	COL5A2	NA
NA	GZMB	GZMK	SDPR	FTH1	LYPD1	COL10A1	HBA1	NA	NA	ITGB2	NA	CSRP1	NA
NA	RPL17	RPS18	INSIG1	ENG	RPL9	NKD2	MRC1	NA	NA	HLA-C	NA	FN1	NA
NA	JUNB	AC092580.4	MAP3K8	RAB13	AOX1	CFD	AHNAK	NA	NA	DUSP1	NA	HIGD1B	NA
NA	MT-ND1	CTSW	JUNB	SDPR	IER2	ADIRF	CAPG	NA	NA	H3F3A	NA	MIR4435-2HG	NA
NA	BTN3A2	GPX3	SLC16A3	BST2	SAT1	MLLT11	JUND	NA	NA	MGP	NA	ARHGDIB	NA
NA	TNFAIP3	RPL41	IL4I1	NREP	HMGA1	RPL17	RPS19	NA	NA	CAPG	NA	RPL27A	NA
NA	LGALS3	MT1E	ALOX5AP	RBP7	MECOM	POSTN	TFRC	NA	NA	KLF3	NA	CCDC102B	NA
NA	TYROBP	FTL	RPL21	MIR4435-2HG	INMT	RPL41	CFP	NA	NA	ANXA1	NA	RPL30	NA
NA	IGHG4	SEPP1	CITED2	SLCO2A1	EFEMP1	CALU	HLA-DRB5	NA	NA	EEF1A1	NA	RPL5	NA
NA	KLF6	TPT1	ZFP36L2	APLNR	FOLR1	ABCA8	LDHA	NA	NA	FCRL6	NA	LINC00152	NA
NA	RPL39	LDHA	ALDOA	TMEM100	C1S	SLC12A8	ITGAM	NA	NA	EMP3	NA	RPL21	NA
NA	TRAT1	KLRD1	MT2A	RHOB	CLDN3	C7	RPL3	NA	NA	KLRD1	NA	H3F3A	NA
NA	ETS1	IFITM3	KLF4	FOS	TFPI2	SDC1	LILRB5	NA	NA	CD3D	NA	PLXDC1	NA
NA	MRPL51	GZMH	MT1M	BMPR2	C1R	RPS21	NR4A1	NA	NA	CD24	NA	TSC22D3	NA
NA	CNN2	RPLP0	CCND1	GNG11	MT-ND3	KRT8	C5AR1	NA	NA	LYAR	NA	BCAM	NA
NA	NA	ZFP36	RPS19	APOLD1	NFKBIA	NREP	MCL1	NA	NA	ZEB2	NA	NPM1	NA
