B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
NA	SUN2	NA	NA	LTC4S	ICAM3	RAD23B	PSMC6	NA	NA	NA	RASD2	NA
NA	HSPH1	NA	NA	UBE2K	ID1	RAN	PSMA3	NA	NA	NA	ARFGAP3	NA
NA	TMEM219	NA	NA	PLOD1	ID2	RANBP1	MARCKS	NA	NA	NA	PPIC	NA
NA	DCTN3	NA	NA	RPL7	ID3	RANBP2	COPA	NA	NA	NA	UBQLN1	NA
NA	ANP32A	NA	NA	ELN	ID4	RAP1A	HIGD2A	NA	NA	NA	TCF25	NA
NA	ZFAND5	NA	NA	DUSP1	IDH1	RAP1B	MPDU1	NA	NA	NA	TMEM165	NA
NA	SH2D1A	NA	NA	TRIB3	IDH2	RAPH1	SF3B4	NA	NA	NA	NDUFC1	NA
NA	ECH1	NA	NA	SMIM12	IER2	RARRES2	ADIPOR1	NA	NA	NA	WSB1	NA
NA	APOBEC3G	NA	NA	ABCF2.1	IER3	RASD1	TMOD3	NA	NA	NA	PDE5A	NA
NA	BTG3	NA	NA	VPS26A	IFFO2	RB1CC1	CAPZB	NA	NA	NA	EPB41L4A-AS1	NA
NA	SRSF1	NA	NA	MMADHC	IFI16	RBBP6	PTEN	NA	NA	NA	KDSR	NA
NA	YPEL3	NA	NA	PKP4	IFI27	RBM17	DDAH2	NA	NA	NA	NDUFS6	NA
NA	LSM4	NA	NA	DIMT1	IFI35	RBM25	IGHA1	NA	NA	NA	TMEM38B	NA
NA	NDUFS7	NA	NA	SLC39A14	IFI6	RBM28	TCEAL9	NA	NA	NA	PSMB4	NA
NA	BANF1	NA	NA	PSMB5	IFITM1	RBM39	C5AR2	NA	NA	NA	ARPC3	NA
NA	SLC9A3R1	NA	NA	RAPH1	IFITM2	RBM7	MTHFD2L	NA	NA	NA	GLRX3	NA
NA	LSM2	NA	NA	MMP15	IFITM3	RBM8A	CLTC	NA	NA	NA	PTS	NA
NA	PSIP1	NA	NA	ITGA2	IFNGR1	RBMS1	NSMAF	NA	NA	NA	KLF6	NA
NA	PIN1	NA	NA	NDUFC1	IFRD1	RBMX	ST13	NA	NA	NA	MYO1C	NA
NA	FKBP8	NA	NA	GNB1	IFRD2	RBPJ	COL4A3BP	NA	NA	NA	DPM1	NA
NA	H2AFY	NA	NA	TCF25	IFT122	RBPMS	ROMO1	NA	NA	NA	TRMT10C	NA
NA	FIS1	NA	NA	IGFBP5	IFT22	RCAN1	PIK3CB	NA	NA	NA	EMD	NA
NA	ATM	NA	NA	S100A13	IFT27	RCL1	VAMP5	NA	NA	NA	COL5A1	NA
NA	ZNF331	NA	NA	HERC2	IFT57	REEP5	NDUFA3	NA	NA	NA	FKBP2	NA
NA	PGLS	NA	NA	ERO1A	IGF2BP2	REL	ELF1	NA	NA	NA	CNN3	NA
NA	MRPS34	NA	NA	DHX9	IGFBP3	RELA	FDX1	NA	NA	NA	GBP2	NA
NA	DPP7	NA	NA	MAP1B	IGFBP5	RELB	CNPY3	NA	NA	NA	EDNRA	NA
NA	PPP1CC	NA	NA	EIF4A2	IGFBP7	RELT	TXNL1	NA	NA	NA	CD248	NA
NA	NA	NA	NA	PCNP	IGHG4	REXO2	CRIM1	NA	NA	NA	NOC2L	NA
NA	NA	NA	NA	NDRG1	IGKC	RFK	HSPA13	NA	NA	NA	CALM3	NA
NA	NA	NA	NA	AGO2	IL1R1	RHEB	H2AFY	NA	NA	NA	PPAN	NA
NA	NA	NA	NA	NABP1	IL32	RIF1	SEC62	NA	NA	NA	BUD23	NA
NA	NA	NA	NA	JCAD	IL4R	RIN2	SYTL3	NA	NA	NA	ILF3	NA
NA	NA	NA	NA	RB1CC1	IL6	RIOK1	SNRPG	NA	NA	NA	DDX27	NA
NA	NA	NA	NA	LRRFIP2	IL6R	RIPK2	ENY2	NA	NA	NA	POLR2I	NA
NA	NA	NA	NA	TBC1D15	IL6ST	RIPOR1	SRSF4	NA	NA	NA	TCIM	NA
NA	NA	NA	NA	RPS6KA2	ILF2	RLF	RAPGEF1	NA	NA	NA	RNF114	NA
NA	NA	NA	NA	PREX2	ILF3	RND3	YTHDF3	NA	NA	NA	HIGD2A	NA
NA	NA	NA	NA	DHX15	IMMP1L	RNF10	EIF2AK3	NA	NA	NA	RPL7A	NA
NA	NA	NA	NA	MSN	IMP4	RNF11	RPS23	NA	NA	NA	MACF1	NA
NA	NA	NA	NA	BYSL	INHBA	RNF114	HMGN3	NA	NA	NA	MRPL34	NA
NA	NA	NA	NA	SERP1	INPP1	RNF126	SMAD2	NA	NA	NA	GJC1	NA
NA	NA	NA	NA	POLE3	IPO5	RNF149	PSMB4	NA	NA	NA	RBM3	NA
NA	NA	NA	NA	CYB5A	IPO7	RNPS1	MAP4K5	NA	NA	NA	TAF9	NA
NA	NA	NA	NA	UGDH	IQANK1	RPF1	EIF3A	NA	NA	NA	TBX2-AS1	NA
NA	NA	NA	NA	SNRPF	IQCG	RPF2	LRRC59	NA	NA	NA	KLF4	NA
NA	NA	NA	NA	NME2	IRF1	RPIA	WDR83OS	NA	NA	NA	ENTPD1	NA
NA	NA	NA	NA	PLEKHB2	IRF2BPL	RPL10	F13A1	NA	NA	NA	THBD	NA
NA	NA	NA	NA	IFRD1	IRF6	RPL12	HECTD1	NA	NA	NA	PDIA3	NA
NA	NA	NA	NA	KRR1	IRS2	RPL22L1	NDUFB4	NA	NA	NA	TBX3	NA
NA	NA	NA	NA	NPC1	IRX3	RPL23	DOCK4	NA	NA	NA	ARPC1B	NA
NA	NA	NA	NA	RPS27A	ISCU	RPL24	ELK3	NA	NA	NA	C8orf59	NA
NA	NA	NA	NA	ARF6	ISG15	RPL28	JPT1	NA	NA	NA	CRIM1	NA
NA	NA	NA	NA	ROBO4	ISG20	RPL36AL	SEM1	NA	NA	NA	ARGLU1	NA
NA	NA	NA	NA	FRYL	ISOC2	RPL37A	TOM1	NA	NA	NA	YWHAB	NA
NA	NA	NA	NA	STAT1	ISYNA1	RPL39	CRY1	NA	NA	NA	LSM3	NA
NA	NA	NA	NA	HNRNPU	ITGA2	RPL4	NDUFS6	NA	NA	NA	RRP15	NA
NA	NA	NA	NA	SERPINB6	ITGA3	RPL41	MSR1	NA	NA	NA	HP1BP3	NA
NA	NA	NA	NA	UTP11	ITGA6	RPL5	TAGLN2	NA	NA	NA	TSC22D2	NA
NA	NA	NA	NA	ARID5A	ITGAV	RPL7L1	GSAP	NA	NA	NA	RNMT	NA
NA	NA	NA	NA	UBE2J1	ITGB1	RPL9	DUSP16	NA	NA	NA	ISG15	NA
NA	NA	NA	NA	PGAM1	ITGB6	RPS26	BRAF	NA	NA	NA	GART	NA
NA	NA	NA	NA	GADD45A	ITGB8	RPS27L	ZNF516	NA	NA	NA	SRP72	NA
NA	NA	NA	NA	VBP1	ITM2B	RPS6KA3	BLOC1S6	NA	NA	NA	PEG10	NA
NA	NA	NA	NA	SH3BGRL	ITSN2	RPS7	CD14	NA	NA	NA	RIOK1	NA
NA	NA	NA	NA	ARPC2	IVNS1ABP	RRAGA	PKNOX1	NA	NA	NA	BANF1	NA
NA	NA	NA	NA	HIPK2	JAK1	RRAS2	YTHDC1	NA	NA	NA	SGK1	NA
NA	NA	NA	NA	HNRNPD	JMJD1C	RRBP1	SNRPD2	NA	NA	NA	NDUFS8	NA
NA	NA	NA	NA	MZT2A	JMJD6	RRP1	CHSY1	NA	NA	NA	FXYD1	NA
NA	NA	NA	NA	F3	JOSD2	RRP12	PSMA6	NA	NA	NA	SEC62	NA
NA	NA	NA	NA	TAF9	JTB	RRP15	FOXN2	NA	NA	NA	PTBP1	NA
NA	NA	NA	NA	DBI	JUN	RRP7A	COX14	NA	NA	NA	PLS3	NA
NA	NA	NA	NA	DDX46	JUND	RRP9	FNBP1	NA	NA	NA	PET100	NA
NA	NA	NA	NA	COX7A1	JUP	RRS1	GLRX3	NA	NA	NA	TMEM14C	NA
NA	NA	NA	NA	GSTO1	KANK1	RSL1D1	KDM1A	NA	NA	NA	REX1BD	NA
NA	NA	NA	NA	CLIP1	KARS	RSL24D1	PTPN2	NA	NA	NA	TENT5A	NA
NA	NA	NA	NA	MAP4	KAT6B	RSPO3	MTMR9	NA	NA	NA	SEPT2	NA
NA	NA	NA	NA	TFG	KATNBL1	RSRC2	ATP6V0D1	NA	NA	NA	RAB13	NA
NA	NA	NA	NA	SRSF1	KCMF1	RTN4	EIF1AX	NA	NA	NA	KRT19	NA
NA	NA	NA	NA	PAPOLA	KCNE4	RTRAF	CCDC93	NA	NA	NA	CARS	NA
NA	NA	NA	NA	TGOLN2	KCNK15	RYBP	CD52	NA	NA	NA	THBS1	NA
NA	NA	NA	NA	IRF2BP2	KCNK6	S100A10	BRK1	NA	NA	NA	SCGB1D2	NA
NA	NA	NA	NA	ZC3H12A	KCNMA1	S100A6	PAPSS2	NA	NA	NA	CCDC85B	NA
NA	NA	NA	NA	MGST2	KCNN4	S1PR2	HCK	NA	NA	NA	BCLAF1	NA
NA	NA	NA	NA	ADAM10	KCTD9	SAA1	NRIP1	NA	NA	NA	BTBD7	NA
NA	NA	NA	NA	MAGED2	KDELR1	SACS	DRAP1	NA	NA	NA	NDUFAF4	NA
NA	NA	NA	NA	PSME3	KDM4B	SAFB	CST7	NA	NA	NA	ILK	NA
NA	NA	NA	NA	RRAGC	KDM6B	SAFB2	RAB5A	NA	NA	NA	POLR2F	NA
NA	NA	NA	NA	SELENOK	KDSR	SAMD4A	ATP5MD	NA	NA	NA	MRPL55	NA
NA	NA	NA	NA	EIF3B	KHDRBS3	SAMD4B	SGTB	NA	NA	NA	RARRES3	NA
NA	NA	NA	NA	RASSF1	KIAA0040	SAP18	IFITM2	NA	NA	NA	SNW1	NA
NA	NA	NA	NA	DAD1	KIAA1324	SAP30BP	OPN3	NA	NA	NA	IGFBP4	NA
NA	NA	NA	NA	ACVRL1	KIF1B	SARS	SUSD6	NA	NA	NA	KCTD20	NA
NA	NA	NA	NA	TRIOBP	KIF22	SAT1	FBP1	NA	NA	NA	RNASEH2C	NA
NA	NA	NA	NA	NDUFA1	KIF5B	SBDS	RPL23A	NA	NA	NA	DEPP1	NA
NA	NA	NA	NA	EMP2	KLC3	SCAF11	CLINT1	NA	NA	NA	EMILIN1	NA
NA	NA	NA	NA	MRPL33	KLF10	SCAF4	SLIRP	NA	NA	NA	PRMT9	NA
NA	NA	NA	NA	PPP4R2	KLF2	SCGB2A2	ETV3	NA	NA	NA	ANXA11	NA
NA	NA	NA	NA	ROMO1	KLF5	SCML1	GAB2	NA	NA	NA	PPM1G	NA
NA	NA	NA	NA	ISCA1	KLF6	SDC1	NDUFS7	NA	NA	NA	AP2S1	NA
NA	NA	NA	NA	BLOC1S6	KLF9	SDCBP	SKI	NA	NA	NA	NMB	NA
NA	NA	NA	NA	LARS	KLHDC9	SDHB	PSMC1	NA	NA	NA	HS3ST2	NA
NA	NA	NA	NA	GOLIM4	KLHL21	SEC61B	MARCH7	NA	NA	NA	YTHDF2	NA
NA	NA	NA	NA	GLIS3	KLK10	SEC63	POR	NA	NA	NA	BZW2	NA
NA	NA	NA	NA	ABHD17A	KLK5	SELENOH	GAPDH	NA	NA	NA	OLFML2B	NA
NA	NA	NA	NA	SLC38A1	KMT2A	SELENOK	PLEKHG2	NA	NA	NA	WDR46	NA
NA	NA	NA	NA	ARFGAP3	KNOP1	SELENOS	DNAJC3	NA	NA	NA	CHORDC1	NA
NA	NA	NA	NA	MOSMO	KPNA1	SELENOW	IPO5	NA	NA	NA	CHMP2B	NA
NA	NA	NA	NA	RTF1	KPNA2	SEM1	FAM129B	NA	NA	NA	TMEM258	NA
NA	NA	NA	NA	NENF	KPNA4	SEMA6A	BAG3	NA	NA	NA	TOPORS	NA
NA	NA	NA	NA	SEM1	KPNB1	SENP5	OSM	NA	NA	NA	NORAD	NA
NA	NA	NA	NA	NUCB1	KRAS	SEPT11	SH3GLB1	NA	NA	NA	KLHL23	NA
NA	NA	NA	NA	NDUFAF2	KRR1	SERBP1	GOLGB1	NA	NA	NA	RPL4	NA
NA	NA	NA	NA	VKORC1	KRT10	SERF2	OAS1	NA	NA	NA	ZBTB21	NA
NA	NA	NA	NA	IFNAR1	KRT14	SERPINE1	SMAP2	NA	NA	NA	KPNA4	NA
NA	NA	NA	NA	DAZAP2	KRT15	SERPINE2	HTRA1	NA	NA	NA	ATF3	NA
NA	NA	NA	NA	RAB13	KRT16	SERPINH1	GTPBP4	NA	NA	NA	FXR1	NA
NA	NA	NA	NA	TMEM255B	KRT17	SERTAD1	C9orf72	NA	NA	NA	ACSL3	NA
NA	NA	NA	NA	KLF6	KRT18	SET	ATP5MC1	NA	NA	NA	UTP6	NA
NA	NA	NA	NA	H3F3A	KRT19	SF1	AHI1	NA	NA	NA	SNHG12	NA
NA	NA	NA	NA	HLA-DMA	KRT23	SF3A3	AHSA1	NA	NA	NA	AK2	NA
NA	NA	NA	NA	TMEM165	KRT5	SF3B2	NLRP3	NA	NA	NA	OTUD4	NA
NA	NA	NA	NA	DDX6	KRT6B	SF3B4	S100A11	NA	NA	NA	LGI4	NA
NA	NA	NA	NA	IFI27	KRT7	SF3B6	BRD2	NA	NA	NA	ANKRD11	NA
NA	NA	NA	NA	AKR1C3	KRT8	SFPQ	METTL9	NA	NA	NA	IWS1	NA
NA	NA	NA	NA	PABPC4	KRT81	SFRP2	CHD1	NA	NA	NA	TSR1	NA
NA	NA	NA	NA	POLE4	KRTCAP2	SFRP4	CCL2	NA	NA	NA	LAMA5	NA
NA	NA	NA	NA	NDUFB4	KRTCAP3	SH3BGRL	MIR4435-2HG	NA	NA	NA	GCNA	NA
NA	NA	NA	NA	PRKAR1A	KTN1	SH3BGRL3	SAMD4B	NA	NA	NA	SARAF	NA
NA	NA	NA	NA	KCNN3	KYNU	SIVA1	PGD	NA	NA	NA	NFIC	NA
NA	NA	NA	NA	TOMM22	LAD1	SKP1	TIMP1	NA	NA	NA	CDH6	NA
NA	NA	NA	NA	MAPK1IP1L	LAGE3	SLBP	SMS	NA	NA	NA	PITHD1	NA
NA	NA	NA	NA	ATP5PD	LAMA3	SLC16A1	ASAP1	NA	NA	NA	PDGFA	NA
NA	NA	NA	NA	COL3A1	LAMA5	SLC19A2	TSTD1	NA	NA	NA	STARD7	NA
NA	NA	NA	NA	RABAC1	LAMB3	SLC1A5	RABGEF1	NA	NA	NA	GRWD1	NA
NA	NA	NA	NA	ODF2L	LAMC1	SLC25A3	PEBP1	NA	NA	NA	TNIP2	NA
NA	NA	NA	NA	C7	LAMC2	SLC25A32	NAGK	NA	NA	NA	DDX46	NA
NA	NA	NA	NA	SIVA1	LAMP2	SLC25A33	TMEM219	NA	NA	NA	LAMTOR2	NA
NA	NA	NA	NA	UCHL3	LAMTOR1	SLC25A5	MORC3	NA	NA	NA	GLUL	NA
NA	NA	NA	NA	SSU72	LAMTOR2	SLC35F2	NUCKS1	NA	NA	NA	SPRY2	NA
NA	NA	NA	NA	JMJD6	LAMTOR4	SLC39A14	RPL36A	NA	NA	NA	ATP5F1A	NA
NA	NA	NA	NA	LRP6	LARP1	SLC3A2	MAFK	NA	NA	NA	MPHOSPH8	NA
NA	NA	NA	NA	EEF2	LARP4	SLC43A3	WNK1	NA	NA	NA	LSM8	NA
NA	NA	NA	NA	DOCK6	LARS	SLC4A7	CYB5R3	NA	NA	NA	GABARAPL2	NA
NA	NA	NA	NA	RNF149	LATS2	SLC7A5	CCL8	NA	NA	NA	VAMP2	NA
NA	NA	NA	NA	COX17	LCMT1	SLC9B2	LINC01094	NA	NA	NA	SMIM26	NA
NA	NA	NA	NA	SF3A3	LCN2	SLIRP	LAMP1	NA	NA	NA	TOMM5	NA
NA	NA	NA	NA	WDR46	LDHA	SLTM	H2AFJ	NA	NA	NA	TBCB	NA
NA	NA	NA	NA	ZBTB43	LDHB	SMG1	ZC3H18	NA	NA	NA	MRPS6	NA
NA	NA	NA	NA	KDELR2	LDLR	SMIM3	C4orf48	NA	NA	NA	RPS24	NA
NA	NA	NA	NA	CHD1	LDLRAD4	SMNDC1	ERH	NA	NA	NA	TMEM230	NA
NA	NA	NA	NA	RAB5A	LGALS1	SMOX	LPCAT1	NA	NA	NA	PAPPA	NA
NA	NA	NA	NA	TBC1D1	LGALS3	SMS	PLXDC2	NA	NA	NA	ASAP1	NA
NA	NA	NA	NA	SZRD1	LGALS3BP	SNAI2	IRS2	NA	NA	NA	JTB	NA
NA	NA	NA	NA	PSMD3	LHFPL2	SNHG15	MT-ND2	NA	NA	NA	IQGAP1	NA
NA	NA	NA	NA	TSSC4	LHFPL6	SNRPA1	DUSP23	NA	NA	NA	SLC25A4	NA
NA	NA	NA	NA	CASKIN2	LIF	SNRPB	SLCO3A1	NA	NA	NA	TMEM70	NA
NA	NA	NA	NA	NCKAP1	LIFR	SNRPB2	SEC14L1	NA	NA	NA	ARIH1	NA
NA	NA	NA	NA	DUT	LIMA1	SNRPD1	HMGN1	NA	NA	NA	HIVEP2	NA
NA	NA	NA	NA	RWDD1	LIMS1	SNRPD2	CKB	NA	NA	NA	ZFHX3	NA
NA	NA	NA	NA	STX12	LINC00467	SNRPE	GABARAPL1	NA	NA	NA	GNAI3	NA
NA	NA	NA	NA	EMC10	LINC00623	SNRPF	SAR1B	NA	NA	NA	DAD1	NA
NA	NA	NA	NA	PSME1	LINC01116	SNRPG	FBRS	NA	NA	NA	PSMA7	NA
NA	NA	NA	NA	SWAP70	LITAF	SNU13	SCGB2A2	NA	NA	NA	NEXN	NA
NA	NA	NA	NA	SIGIRR	LLGL2	SNW1	TRAPPC1	NA	NA	NA	ZC3H12A	NA
NA	NA	NA	NA	DYNC1H1	LMNA	SNX9	OSBPL8	NA	NA	NA	RAB5A	NA
NA	NA	NA	NA	KIAA0355	LPIN1	SOAT1	SERP1	NA	NA	NA	PSMD1	NA
NA	NA	NA	NA	CBX3	LPP	SOCS2	EDF1	NA	NA	NA	RARRES2	NA
NA	NA	NA	NA	GPX4	LRBA	SOCS3	TMEM59	NA	NA	NA	GNAI2	NA
NA	NA	NA	NA	ZBTB16	LRRC26	SOD2	CSF1R	NA	NA	NA	C16orf72	NA
NA	NA	NA	NA	BCL10	LRRC59	SOD3	PHLDA2	NA	NA	NA	SAFB2	NA
NA	NA	NA	NA	GABPB1	LRRC8A	SON	HSBP1	NA	NA	NA	HSP90B1	NA
NA	NA	NA	NA	PPRC1	LRRFIP1	SPAG9	PNN	NA	NA	NA	LASP1	NA
NA	NA	NA	NA	CELF1	LRRFIP2	SPARC	ZNF654	NA	NA	NA	LAMTOR1	NA
NA	NA	NA	NA	SRPRB	LSM1	SPARCL1	HSP90B1	NA	NA	NA	PRMT2	NA
NA	NA	NA	NA	SURF4	LSM10	SPART	ARCN1	NA	NA	NA	ZNF644	NA
NA	NA	NA	NA	RBM22	LSM2	SPATS2L	LARP4	NA	NA	NA	POLR3E	NA
NA	NA	NA	NA	RIT1	LSM3	SPCS1	SBDS	NA	NA	NA	TNS2	NA
NA	NA	NA	NA	HMGN1	LSM4	SPHK1	EZH2	NA	NA	NA	PLAU	NA
NA	NA	NA	NA	NFKB2	LSM5	SPON2	UBALD2	NA	NA	NA	PSMD14	NA
NA	NA	NA	NA	UNC5B	LSM8	SPRY2	SLC43A2	NA	NA	NA	FAM208B	NA
NA	NA	NA	NA	EIF5B	LTBP3	SPSB1	PLEKHM1	NA	NA	NA	TAF13	NA
NA	NA	NA	NA	ZFAS1	LTBR	SPTSSA	MRAS	NA	NA	NA	GNPNAT1	NA
NA	NA	NA	NA	PLCB1	LTC4S	SQSTM1	NUFIP2	NA	NA	NA	RPL30	NA
NA	NA	NA	NA	FSTL1	LTF	SRFBP1	MCFD2	NA	NA	NA	SAFB	NA
NA	NA	NA	NA	WDR60	LTV1	SRGAP1	HMGA1	NA	NA	NA	SELENOH	NA
NA	NA	NA	NA	SMIM14	LUC7L3	SRM	PSMD2	NA	NA	NA	CNOT2	NA
NA	NA	NA	NA	MKL2	LUZP1	SRP19	HGS	NA	NA	NA	TUBB2B	NA
NA	NA	NA	NA	AKAP9	LY6E	SRP68	RNF24	NA	NA	NA	GOLT1B	NA
NA	NA	NA	NA	SF3B2	LY6K	SRP72	KRTCAP2	NA	NA	NA	ERP29	NA
NA	NA	NA	NA	UGCG	LYAR	SRPX	SERPING1	NA	NA	NA	JUND	NA
NA	NA	NA	NA	CNIH1	LYPLA1	SRRM2	TBC1D15	NA	NA	NA	NDUFC2	NA
NA	NA	NA	NA	FAM208B	MACF1	SRRT	KLF9	NA	NA	NA	CLU	NA
NA	NA	NA	NA	SPCS1	MACROD1	SRSF1	ZFR	NA	NA	NA	ZBTB16	NA
NA	NA	NA	NA	NHP2	MAEA	SRSF10	HINT1	NA	NA	NA	UFC1	NA
NA	NA	NA	NA	RRBP1	MAFF	SRSF11	HSPB1	NA	NA	NA	LGMN	NA
NA	NA	NA	NA	NRP1	MAFG	SRSF2	DHRS9	NA	NA	NA	ARL2	NA
NA	NA	NA	NA	TMEM123	MAGED1	SRSF3	DDT	NA	NA	NA	WASF2	NA
NA	NA	NA	NA	COA4	MAGED2	SRSF4	BAX	NA	NA	NA	TXNIP	NA
NA	NA	NA	NA	IFI27L2	MAGOH	SRSF5	PRR13	NA	NA	NA	PDE4B	NA
NA	NA	NA	NA	MYC	MAK16	SRSF6	C19orf70	NA	NA	NA	MYL12A	NA
NA	NA	NA	NA	SUGT1	MAL2	SRSF7	RASGRP3	NA	NA	NA	RCN1	NA
NA	NA	NA	NA	ACKR1	MALAT1	SRSF9	WAC	NA	NA	NA	KCNMB1	NA
NA	NA	NA	NA	ANKLE2	MALL	SS18L2	XAF1	NA	NA	NA	FHL2	NA
NA	NA	NA	NA	FXR1	MANF	SSB	THRAP3	NA	NA	NA	STX5	NA
NA	NA	NA	NA	PTPN12	MAOB	SSR2	PPIB	NA	NA	NA	IGKC	NA
NA	NA	NA	NA	TMBIM4	MAP1B	SSR3	PARK7	NA	NA	NA	SRL	NA
NA	NA	NA	NA	COPRS	MAP1LC3B	SSR4	IFIT2	NA	NA	NA	POLR2J	NA
NA	NA	NA	NA	LSM4	MAP2K3	SSU72	CTNNA1	NA	NA	NA	ZNF622	NA
NA	NA	NA	NA	NUTF2	MAP3K1	ST13	C9orf16	NA	NA	NA	SRP9	NA
NA	NA	NA	NA	MCFD2	MAP3K20	ST3GAL1	ANXA7	NA	NA	NA	CTHRC1	NA
NA	NA	NA	NA	TAX1BP3	MAP4	STARD7	NPLOC4	NA	NA	NA	LARS	NA
NA	NA	NA	NA	CANX	MAP4K4	STAT3	CISD3	NA	NA	NA	NCBP2	NA
NA	NA	NA	NA	RPSA	MAP4K5	STIP1	PSMB3	NA	NA	NA	HEXIM1	NA
NA	NA	NA	NA	CDC5L	MAP7D1	STK40	AGAP3	NA	NA	NA	SMARCA5	NA
NA	NA	NA	NA	SMIM26	MAPK1IP1L	STRAP	RPLP2	NA	NA	NA	RTL8C	NA
NA	NA	NA	NA	MLEC	MAPK3	STX4	HSP90AB1	NA	NA	NA	C9orf3	NA
NA	NA	NA	NA	UQCR10	MAPK6	SUB1	BCLAF1	NA	NA	NA	C6orf48	NA
NA	NA	NA	NA	FUNDC2	MAPK8	SULF1	SERPINB8	NA	NA	NA	ARIH2	NA
NA	NA	NA	NA	TBCD	MAPRE1	SULF2	SLK	NA	NA	NA	MPZL1	NA
NA	NA	NA	NA	RPL17	MAPT	SUPT16H	FCGBP	NA	NA	NA	PRPS1	NA
NA	NA	NA	NA	DDX10	MARCH5	SYNCRIP	MFHAS1	NA	NA	NA	ROMO1	NA
NA	NA	NA	NA	ATP5MD	MARCKS	SYNJ2	EMD	NA	NA	NA	LSM5	NA
NA	NA	NA	NA	MTRNR2L8	MARCKSL1	SYPL1	PPFIA1	NA	NA	NA	PLP2	NA
NA	NA	NA	NA	TCERG1	MARS	TAC1	LAMTOR5	NA	NA	NA	DAZAP1	NA
NA	NA	NA	NA	APBB2	MAST4	TAF13	TESK1	NA	NA	NA	CWC25	NA
NA	NA	NA	NA	TSR1	MAT2A	TAF1D	SQOR	NA	NA	NA	PAK2	NA
NA	NA	NA	NA	HSPA4	MAZ	TAF4B	MANF	NA	NA	NA	SERPINH1	NA
NA	NA	NA	NA	SEMA3F	MB	TAF7	HOOK3	NA	NA	NA	FSTL3	NA
NA	NA	NA	NA	SLC25A33	MBNL1	TAF9	NCOR2	NA	NA	NA	TNRC6B	NA
NA	NA	NA	NA	ATF6B	MBOAT7	TAGLN	DNAJC2	NA	NA	NA	SORBS3	NA
NA	NA	NA	NA	SDF4	MBP	TAGLN2	DYNLT1	NA	NA	NA	CHMP2A	NA
NA	NA	NA	NA	TFB2M	MCCC2	TARDBP	CCDC47	NA	NA	NA	ID2	NA
NA	NA	NA	NA	NOL11	MCFD2	TARS	HNRNPA1	NA	NA	NA	NOB1	NA
NA	NA	NA	NA	TTC3	MCRIP2	TAX1BP1	MPRIP	NA	NA	NA	POLR1C	NA
NA	NA	NA	NA	LAMTOR2	MCTS1	TBC1D15	PRKAG2-AS1	NA	NA	NA	RNF10	NA
NA	NA	NA	NA	NDUFA2	MDK	TBCA	ST3GAL2	NA	NA	NA	COL5A3	NA
NA	NA	NA	NA	AATF	MDM4	TBX3	C1orf54	NA	NA	NA	SPART	NA
NA	NA	NA	NA	NDUFA3	MDN1	TCEAL4	SRSF3	NA	NA	NA	POLE3	NA
NA	NA	NA	NA	RRP15	MEA1	TCERG1	CCT5	NA	NA	NA	LEPROT	NA
NA	NA	NA	NA	RRP9	MED10	TCF4	ATP6V1D	NA	NA	NA	NDUFA12	NA
NA	NA	NA	NA	SYNJ2	MED21	TCP1	NDUFB8	NA	NA	NA	ERGIC3	NA
NA	NA	NA	NA	RAB1A	MED28	TENT5A	FADS3	NA	NA	NA	HRH2	NA
NA	NA	NA	NA	MCAM	MEF2A	TERF2IP	LRP12	NA	NA	NA	VPS26A	NA
NA	NA	NA	NA	SPART	MEG3	TEX10	FXR1	NA	NA	NA	GNB2	NA
NA	NA	NA	NA	SNRPD2	MESP1	TEX30	LCOR	NA	NA	NA	DCP1A	NA
NA	NA	NA	NA	ZFAND2A	MET	TFAM	AAK1	NA	NA	NA	COPS3	NA
NA	NA	NA	NA	NDUFA13	METAP2	TFG	GSTO1	NA	NA	NA	SLU7	NA
NA	NA	NA	NA	AKR1C2	METRN	TFPI	NDUFA13	NA	NA	NA	GRB2	NA
NA	NA	NA	NA	GADD45GIP1	METTL26	TFPI2	MGP	NA	NA	NA	PCMT1	NA
NA	NA	NA	NA	DDIT4	MFGE8	TFRC	AC016831.5	NA	NA	NA	STOM	NA
NA	NA	NA	NA	ERN1	MFSD12	TGIF1	RPS28	NA	NA	NA	RPL23A	NA
NA	NA	NA	NA	UBE2S	MFSD2A	THAP2	SUPT5H	NA	NA	NA	EFHD1	NA
NA	NA	NA	NA	ZNF428	MFSD3	THBS2	TNF	NA	NA	NA	CHIC2	NA
NA	NA	NA	NA	SSR4	MGAT1	THY1	PPP1R2	NA	NA	NA	MED10	NA
NA	NA	NA	NA	BOD1	MGLL	TIMM10	N4BP1	NA	NA	NA	HSBP1	NA
NA	NA	NA	NA	SRP54	MGMT	TIMM17A	APRT	NA	NA	NA	SLC1A5	NA
NA	NA	NA	NA	CLSTN1	MGP	TIMP2	GADD45B	NA	NA	NA	BOP1	NA
NA	NA	NA	NA	RPF1	MGST1	TIMP3	XIAP	NA	NA	NA	CPE	NA
NA	NA	NA	NA	ERGIC3	MGST2	TIPARP	TSPYL2	NA	NA	NA	AL118516.1	NA
NA	NA	NA	NA	GIMAP1	MGST3	TKT	ARID4B	NA	NA	NA	NFKB2	NA
