B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
MT2A	SMIM3	HSPH1	VMO1	IFITM2	AC016831.7	ADAM12	CCR7	TPT1	ATP5F1E	NA	CRIP2	CTH
TUBB	MT-CO2	HSP90AA1	GPR157	IFITM3	AC020916.1	ADAMTS4	CXCL3	RGS1	FTL	NA	CTSL	MT-CO2
SNX9	CXCL8	CD52	RPL12	IGFBP4	AC027644.3	ADPRHL1	WTAP	JUNB	PPM1G	NA	CXCL2	MAP1LC3B
CXCL2	MT-ND4	PLCG2	MTRNR2L1	IGFBP7	AC093001.1	ADRM1	KYNU	MS4A2	TPT1	NA	CXCL3	HIPK2
ENO1	PFN1	GZMA	CST7	MGP	AC100810.1	AEBP1	SAMSN1	CLU	CFL1	NA	CXCL8	PEA15
TUBB4B	SRGN	CXCL1	PTMA	MMP2	AC244090.1	AEN	ATP5F1E	DUSP1	PDE3B	NA	CYCS	TXNRD1
TXN	NEAT1	GZMK	FTH1	MT2A	AC245297.3	AFF4	TPT1	CTSG	AC004687.1	NA	DDX21	EIF1
HLA-DPB1	FOS	MT-ATP6	CXCL8	NFKBIA	ACAA1	AGO2	SLC7A11	NEAT1	MT-CO3	NA	DSTN	TNFRSF18
TAGLN2	TUBB4B	FTH1	CYP1B1	NPDC1	ACADVL	AHCTF1	THBS1	GCLM	MT2A	NA	EDNRB	SLC3A2
CXCL3	MT-CO1	AC004832.6	HIPK2	NPM1	ACAT2	AHCYL1	IER3	CDC42EP3	RNF168	NA	EIF1	MIR155HG
YBX1	TRAC	MT-ND3	DUSP4	PECAM1	ACOT8	AHI1	IL1R1	S100A10	FGFBP2	NA	FN1	TUBA1B
JUNB	TUBB	RGS2	NCBP3	PLIN2	ACOT9	AHNAK	FTH1	MT-CYB	GZMA	NA	GEM	MAP3K8
HLA-DRB5	DUSP1	GADD45B	SLC41A2	RAMP2	ACP5	AHSA1	ITGB8	EGR1	SCAF11	NA	H3F3B	TUBB2B
ANXA2	SH3BGRL3	GABARAPL1	CD59	SERPINE1	ACSL3	AK2	IFI27	NAMPT	MT-CYB	NA	HMOX1	LGALSL
CYSTM1	CD8A	RPL10	MALT1	SOD2	ACSL4	AK6	IFI6	ID2	FTH1	NA	HSP90AA1	S100A10
RPL12	B2M	HSPA8	FURIN	SPARC	ACTA2	AKAP12	GCLM	RPL13	YBX1	NA	HSP90AB1	SERPINB9
ANKRD12	PABPC1	HCST	MYO1G	SQSTM1	ACTB	AKIRIN1	MTRNR2L12	CREM	EEF2	NA	HSPD1	CLECL1
ISG20	CORO1A	CORO1A	SERPINB1	TM4SF1	ACTG1	AKIRIN2	SPAG9	CD9	SH3BGRL3	NA	HSPE1	JUN
ACADVL	HSP90AA1	CXCL8	NINJ1	TMSB4X	ACTG2	AKR1C1	SQSTM1	TXNIP	RPS28	NA	IER3	EZR
ID3	JUN	MTRNR2L1	RNF145	TUBA1B	ACTN1	AKR1C2	CTSD	HSP90AA1	CNOT6L	NA	IFITM2	MZB1
PLP2	CXCL2	ST13	CFLAR	TXN	ACTN4	AL139393.2	NFKB1	RPS19	TRDC	NA	IFITM3	ANXA2
TRIR	SMCHD1	RPS15A	GNA12	TXNRD1	ACTR3	AL513283.1	MTRNR2L1	PRDX1	S100A4	NA	IGFBP7	MT-CO1
EIF5B	ACTG1	SH3BGRL3	RAB9A	VWF	ADAM9	ALKBH2	CXCL2	AL157895.1	CCSER2	NA	IL6	SLC7A5
TMSB10	MT-CO3	CACYBP	TANK	RAMP3	ADAMTS1	AMD1	GRN	CMA1	SERF2	NA	LGALS1	B2M
UBXN1	HCST	TOMM7	STK4	GUK1	ADAMTS9	AMOTL1	BASP1	B2M	HGSNAT	NA	MEF2C	BZW1
MYL6	EEF1A1	HLA-C	IL1R1	HEG1	ADAR	ANAPC11	CYBA	ATP1B3	AREG	NA	MT1A	VMP1
HLA-DPA1	FAM129A	ADAMTS9	THBS1	YBX1	ADIRF	ANAPC16	MAP4K4	RPL13A	JUN	NA	MT2A	HLA-B
CD37	KRT17	BAG3	RPL10A	CCDC85B	ADK	ANGPTL4	MMP19	SQSTM1	SP100	NA	MYL6	NEAT1
SLC3A2	PARP8	CXCL3	MXD1	VAMP5	ADPRHL2	ANKLE2	PID1	HLA-B	FOSB	NA	MYL9	FGL2
EEF1A1	AUTS2	ID3	RAB10	FN1	ADRM1	ANKRD11	NPC2	IER2	CXCR4	NA	NAMPT	RAB27A
EZR	FKBP5	FTL	MAP4K4	ADAMTS9	AEN	ANKRD12	VAMP8	MT-ND3	SYTL2	NA	NDUFA4L2	MT-ND4
SQSTM1	FOSB	DNAJB6	ZDHHC18	HSPD1	AES	ANP32B	NAMPT	RPL12	HLA-B	NA	NFKBIA	TUBB2A
RPS26	ATP5F1E	ATP5F1E	CTTNBP2NL	PNP	AFDN	ANTXR1	PDE4B	BTG1	ISG20	NA	NOTCH3	ARID5B
PAPOLA	PDE4D	DNAJB1	TALDO1	RAN	AFF3	ANXA2	TXN	HLA-E	ISCA1	NA	NPM1	GABARAPL1
