"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"14317";"GSM3516669";4;"Lung";3462;1087;0;"T";"Epithelial";"Epithelial"
"14318";"GSM3516669";5;"Lung";1832;532;0;"T";"Lymphocytes";"B"
"14319";"GSM3516669";4;"Lung";5765;1902;0;"T";"Epithelial";"Epithelial"
"14320";"GSM3516669";1;"Lung";5661;1544;0;"T";"Myeloids";"Macrophage"
"14321";"GSM3516669";11;"Lung";2101;885;0;"T";"Stromal";"Fibroblast"
"14322";"GSM3516669";1;"Lung";1633;663;0;"T";"Myeloids";"Macrophage"
"14323";"GSM3516669";4;"Lung";664;410;0;"T";"Epithelial";"Epithelial"
"14324";"GSM3516669";1;"Lung";5336;1489;0;"T";"Myeloids";"Macrophage"
"14325";"GSM3516669";1;"Lung";2231;852;0;"T";"Myeloids";"Macrophage"
"14326";"GSM3516669";4;"Lung";6303;1875;0;"T";"Epithelial";"Epithelial"
"14327";"GSM3516669";4;"Lung";3645;1033;0;"T";"Epithelial";"Epithelial"
"14328";"GSM3516669";1;"Lung";954;491;0;"T";"Myeloids";"Macrophage"
"14329";"GSM3516669";0;"Lung";1016;408;0;"T";"Lymphocytes";"CD4T"
"14330";"GSM3516669";8;"Lung";745;329;0;"T";"Myeloids";"Mast"
"14331";"GSM3516669";4;"Lung";15485;3258;0;"T";"Epithelial";"Epithelial"
"14332";"GSM3516669";11;"Lung";1313;586;0;"T";"Stromal";"Fibroblast"
"14333";"GSM3516669";1;"Lung";1091;505;0;"T";"Myeloids";"Macrophage"
"14334";"GSM3516669";4;"Lung";420;250;0;"T";"Epithelial";"Epithelial"
"14335";"GSM3516669";4;"Lung";12754;2790;0;"T";"Epithelial";"Epithelial"
"14336";"GSM3516669";1;"Lung";19382;3067;0;"T";"Myeloids";"Macrophage"
"14337";"GSM3516669";4;"Lung";15166;3115;0;"T";"Epithelial";"Epithelial"
"14338";"GSM3516669";7;"Lung";3047;1062;0;"T";"Myeloids";"Monocyte"
"14339";"GSM3516669";2;"Lung";489;225;0;"T";"Lymphocytes";"CD8T"
"14340";"GSM3516669";10;"Lung";1112;391;0;"T";"Myeloids";"Macrophage"
"14341";"GSM3516669";4;"Lung";12200;2812;0;"T";"Epithelial";"Epithelial"
"14342";"GSM3516669";4;"Lung";3741;1298;0;"T";"Epithelial";"Epithelial"
"14343";"GSM3516669";4;"Lung";9513;2438;0;"T";"Epithelial";"Epithelial"
"14344";"GSM3516669";9;"Lung";2566;838;0;"T";"Myeloids";"NKT"
"14345";"GSM3516669";3;"Lung";2164;816;0;"T";"Lymphocytes";"NK"
"14346";"GSM3516669";6;"Lung";1301;545;0;"T";"Lymphocytes";"CD4T"
"14347";"GSM3516669";1;"Lung";3182;868;0;"T";"Myeloids";"Macrophage"
"14348";"GSM3516669";4;"Lung";8048;2190;0;"T";"Epithelial";"Epithelial"
"14349";"GSM3516669";9;"Lung";15178;3012;0;"T";"Myeloids";"Macrophage"
