,CD8T,Epithelial,Fibroblast,Pericyte,Macrophage,Endothelial,CD4T,DC,B,NKT,Mast,Monocyte,NK,Plasma
30,WRAP73,ANKRD65,SSU72,MIB2,CDK11A,RP11-345P4.9,GNB1,MIB2,PLCH2,MIB2,CDK11B,FAAP20,SLC35E2B,CDK11B
31,LRRC47,VWA1,RP5-832C2.5,MMP23B,NADK,MIB2,PRKCZ,CDK11B,PANK4,MMP23B,CDK11A,SKI,CDK11A,SLC35E2B
32,CEP104,ATAD3C,C1orf233,CDK11B,GNB1,CDK11B,FAAP20,SLC35E2B,RP3-395M20.12,CDK11B,NADK,RER1,NADK,CDK11A
33,C1orf174,ATAD3B,RP11-345P4.9,SLC35E2B,FAAP20,SLC35E2B,SKI,CDK11A,RP3-395M20.8,SLC35E2B,GNB1,PEX10,GNB1,NADK
34,KCNAB2,ATAD3A,MIB2,CDK11A,SKI,CDK11A,RER1,NADK,TNFRSF14,CDK11A,PRKCZ,PANK4,PRKCZ,GNB1
35,RPL22,SSU72,MMP23B,NADK,RER1,NADK,PEX10,GNB1,TPRG1L,NADK,FAAP20,RP3-395M20.12,FAAP20,TMEM52
36,ICMT,RP5-832C2.5,CDK11B,GNB1,PEX10,GNB1,PANK4,PRKCZ,WRAP73,GNB1,SKI,TNFRSF14,SKI,FAAP20
37,TNFRSF25,C1orf233,SLC35E2B,GABRD,PANK4,CFAP74,RP3-395M20.12,FAAP20,TP73-AS1,PRKCZ,RER1,MEGF6,RER1,SKI
38,NOL9,RP11-345P4.9,CDK11A,FAAP20,RP3-395M20.12,GABRD,RP3-395M20.8,SKI,LRRC47,RP5-892K4.1,PEX10,TPRG1L,PEX10,RER1
39,ZBTB48,MIB2,SLC35E2,SKI,TNFRSF14,PRKCZ,TNFRSF14,RER1,CEP104,FAAP20,PANK4,WRAP73,PLCH2,PEX10
40,KLHL21,MMP23B,NADK,MORN1,FAM213B,FAAP20,FAM213B,PEX10,C1orf174,SKI,RP3-395M20.12,SMIM1,PANK4,PANK4
41,DNAJC11,CDK11B,GNB1,RER1,TPRG1L,SKI,TPRG1L,PANK4,KCNAB2,RER1,RP3-395M20.8,LRRC47,RP3-395M20.12,RP3-395M20.8
42,CAMTA1,SLC35E2B,PRKCZ,PEX10,WRAP73,MORN1,WRAP73,RP3-395M20.12,RPL22,PEX10,TNFRSF14,CEP104,RP3-395M20.8,TNFRSF14
43,VAMP3,CDK11A,FAAP20,PANK4,TP73-AS1,RER1,SMIM1,RP3-395M20.8,ICMT,PANK4,FAM213B,DFFB,TNFRSF14,FAM213B
44,TNFRSF9,SLC35E2,SKI,RP3-395M20.12,SMIM1,PEX10,LRRC47,TNFRSF14,NOL9,RP3-395M20.12,MMEL1,C1orf174,FAM213B,TPRG1L
45,PARK7,NADK,MORN1,TNFRSF14,LRRC47,PANK4,CEP104,FAM213B,THAP3,RP3-395M20.8,TPRG1L,KCNAB2,TPRG1L,WRAP73
46,ERRFI1,GNB1,RER1,FAM213B,CEP104,RP3-395M20.12,DFFB,TPRG1L,DNAJC11,TNFRSF14,WRAP73,RPL22,WRAP73,TP73
47,RERE,TMEM52,PEX10,LINC00982,C1orf174,TNFRSF14,C1orf174,WRAP73,CAMTA1,RP3-395M20.9,SMIM1,ICMT,TP73-AS1,SMIM1
48,ENO1,CFAP74,PANK4,PRDM16,KCNAB2,FAM213B,KCNAB2,TP73-AS1,VAMP3,FAM213B,LRRC47,NOL9,SMIM1,LRRC47
49,H6PD,PRKCZ,TNFRSF14,MEGF6,RPL22,LINC00982,RPL22,SMIM1,PARK7,TPRG1L,C1orf174,ZBTB48,LRRC47,CEP104
50,PIK3CD,FAAP20,FAM213B,TPRG1L,ICMT,PRDM16,RNF207,LRRC47,ERRFI1,WRAP73,KCNAB2,KLHL21,CEP104,C1orf174
51,CLSTN1,SKI,MMEL1,WRAP73,ACOT7,MEGF6,ICMT,CEP104,RERE,TP73-AS1,RPL22,THAP3,DFFB,NPHP4
52,CTNNBIP1,MORN1,MEGF6,TP73-AS1,NOL9,TPRG1L,ACOT7,DFFB,ENO1,SMIM1,GPR153,DNAJC11,C1orf174,KCNAB2
53,LZIC,RER1,TPRG1L,SMIM1,ZBTB48,WRAP73,TNFRSF25,C1orf174,SLC2A5,LRRC47,ACOT7,CAMTA1,KCNAB2,RPL22
54,RBP7,PEX10,WRAP73,LRRC47,KLHL21,TP73-AS1,NOL9,NPHP4,H6PD,CEP104,TNFRSF25,VAMP3,RPL22,RNF207
55,UBE4B,PANK4,TP73-AS1,CEP104,PHF13,LRRC47,ZBTB48,KCNAB2,SPSB1,DFFB,NOL9,PARK7,ICMT,ICMT
56,KIF1B,TNFRSF14,SMIM1,DFFB,THAP3,CEP104,KLHL21,RPL22,SLC25A33,C1orf174,ZBTB48,ERRFI1,ACOT7,TNFRSF25
57,PGD,FAM213B,LRRC47,C1orf174,DNAJC11,C1orf174,THAP3,RNF207,PIK3CD,KCNAB2,THAP3,RERE,TNFRSF25,NOL9
58,DFFA,MMEL1,CEP104,CHD5,CAMTA1,NPHP4,DNAJC11,ICMT,CLSTN1,RPL22,DNAJC11,ENO1,NOL9,KLHL21
59,PEX14,TTC34,DFFB,RPL22,VAMP3,KCNAB2,CAMTA1,ACOT7,CTNNBIP1,RNF207,CAMTA1,H6PD,ZBTB48,PHF13
60,TARDBP,ARHGEF16,C1orf174,RNF207,PER3,RPL22,VAMP3,TNFRSF25,LZIC,ICMT,VAMP3,SLC25A33,KLHL21,THAP3
61,SRM,MEGF6,NPHP4,ICMT,TNFRSF9,RNF207,TNFRSF9,NOL9,NMNAT1,ACOT7,PER3,PIK3CD,THAP3,DNAJC11
62,EXOSC10,TPRG1L,KCNAB2,GPR153,PARK7,ICMT,PARK7,ZBTB48,UBE4B,RP1-202O8.3,UTS2,CLSTN1,DNAJC11,CAMTA1
63,MTOR,WRAP73,RPL22,ACOT7,ERRFI1,ACOT7,ERRFI1,KLHL21,PGD,TNFRSF25,TNFRSF9,CTNNBIP1,CAMTA1,VAMP3
64,UBIAD1,TP73,RNF207,NOL9,RERE,TNFRSF25,RERE,PHF13,DFFA,NOL9,PARK7,LZIC,VAMP3,PARK7
65,FBXO2,TP73-AS1,ICMT,ZBTB48,ENO1,PLEKHG5,ENO1,THAP3,PEX14,ZBTB48,ERRFI1,NMNAT1,TNFRSF9,RERE
66,FBXO44,SMIM1,GPR153,KLHL21,SLC2A5,NOL9,H6PD,DNAJC11,CASZ1,KLHL21,RERE,RBP7,PARK7,ENO1
67,FBXO6,LRRC47,ACOT7,PHF13,GPR157,ZBTB48,SPSB1,CAMTA1,TARDBP,PHF13,ENO1,UBE4B,ERRFI1,SLC2A5
68,MAD2L2,CEP104,TNFRSF25,THAP3,H6PD,KLHL21,SLC25A33,VAMP3,SRM,THAP3,GPR157,KIF1B,RERE,H6PD
69,AGTRAP,DFFB,PLEKHG5,DNAJC11,SPSB1,PHF13,PIK3CD,PER3,EXOSC10,DNAJC11,H6PD,PGD,ENO1,SLC25A33
70,MTHFR,C1orf174,NOL9,CAMTA1,SLC25A33,THAP3,CLSTN1,TNFRSF9,UBIAD1,CAMTA1,SPSB1,DFFA,H6PD,PIK3CD
71,KIAA2013,NPHP4,ZBTB48,VAMP3,PIK3CD,DNAJC11,CTNNBIP1,PARK7,FBXO2,VAMP3,SLC25A33,PEX14,SLC25A33,PIK3CD-AS2
72,MIIP,KCNAB2,KLHL21,PER3,CLSTN1,CAMTA1,LZIC,ERRFI1,FBXO44,PER3,PIK3CD-AS2,TARDBP,PIK3CD,CLSTN1
73,TNFRSF1B,RPL22,PHF13,PARK7,CTNNBIP1,VAMP3,RBP7,RERE,FBXO6,TNFRSF9,CLSTN1,SRM,CLSTN1,CTNNBIP1
74,VPS13D,RNF207,THAP3,ERRFI1,LZIC,PER3,UBE4B,ENO1,MAD2L2,PARK7,CTNNBIP1,EXOSC10,CTNNBIP1,LZIC
75,DHRS3,ICMT,DNAJC11,RP11-431K24.1,NMNAT1,PARK7,KIF1B,GPR157,AGTRAP,ERRFI1,LZIC,MTOR,LZIC,UBE4B
76,PRDM2,GPR153,CAMTA1,SLC45A1,RBP7,ERRFI1,PGD,H6PD,MTHFR,RERE,NMNAT1,UBIAD1,NMNAT1,KIF1B
77,EFHD2,ACOT7,VAMP3,RERE,UBE4B,SLC45A1,APITD1,SPSB1,KIAA2013,ENO1,RBP7,FBXO44,RBP7,PGD
78,DNAJC16,HES2,PER3,ENO1,KIF1B,RERE,DFFA,SLC25A33,PLOD1,SLC2A5,UBE4B,FBXO6,UBE4B,APITD1
79,DDI2,ESPN,TNFRSF9,GPR157,PGD,ENO1,PEX14,PIK3CD,MIIP,GPR157,PGD,MAD2L2,KIF1B,DFFA
80,SPEN,TNFRSF25,PARK7,MIR34AHG,APITD1,GPR157,TARDBP,CLSTN1,TNFRSF1B,H6PD,DFFA,AGTRAP,PGD,PEX14
81,ZBTB17,PLEKHG5,ERRFI1,RP3-510D11.2,DFFA,MIR34AHG,SRM,CTNNBIP1,VPS13D,SPSB1,PEX14,MTHFR,APITD1,TARDBP
82,FBXO42,NOL9,RP11-431K24.1,H6PD,PEX14,RP3-510D11.2,EXOSC10,LZIC,DHRS3,SLC25A33,TARDBP,CLCN6,DFFA,SRM
83,SZRD1,ZBTB48,SLC45A1,SPSB1,TARDBP,H6PD,MTOR,NMNAT1,PRDM2,TMEM201,SRM,KIAA2013,PEX14,MTOR
84,NECAP2,KLHL21,RERE,SLC25A33,SRM,SPSB1,UBIAD1,RBP7,EFHD2,PIK3CD,EXOSC10,PLOD1,TARDBP,UBIAD1
85,RP11-108M9.4,PHF13,ENO1,PIK3CD-AS2,EXOSC10,SLC25A33,FBXO2,UBE4B,CASP9,CLSTN1,UBIAD1,MFN2,SRM,FBXO44
86,ATP13A2,THAP3,GPR157,CLSTN1,MTOR,TMEM201,FBXO44,KIF1B,DNAJC16,CTNNBIP1,MAD2L2,MIIP,EXOSC10,FBXO6
87,SDHB,DNAJC11,MIR34AHG,CTNNBIP1,UBIAD1,CLSTN1,FBXO6,PGD,DDI2,LZIC,AGTRAP,TNFRSF8,MTOR,MAD2L2
88,RCC2,CAMTA1,RP3-510D11.2,LZIC,FBXO2,CTNNBIP1,MAD2L2,APITD1,PLEKHM2,NMNAT1,C1orf167,TNFRSF1B,UBIAD1,DRAXIN
89,UBR4,VAMP3,H6PD,NMNAT1,FBXO44,LZIC,AGTRAP,DFFA,FBLIM1,RBP7,MTHFR,VPS13D,FBXO2,AGTRAP
90,EMC1,PER3,SPSB1,RBP7,FBXO6,NMNAT1,MTHFR,PEX14,UQCRHL,UBE4B,KIAA2013,DHRS3,FBXO44,MTHFR
91,MRTO4,PARK7,SLC25A33,UBE4B,MAD2L2,RBP7,KIAA2013,TARDBP,FLJ37453,KIF1B,PLOD1,PRDM2,FBXO6,KIAA2013
