,CD8T,Epithelial,Fibroblast,Pericyte,Macrophage,Endothelial,CD4T,DC,B,NKT,Mast,Monocyte,NK,Plasma
3739,ZBTB10,SNHG18,ELL2,BTN3A1,TPBG,C5orf45,DNAJC30,MAD2L1BP,FUNDC1,GCLC,SDHAF3,KMT2C,PCOLCE,EIF4H
3740,PAG1,FAM173B,CAST,BTN3A3,UBE3D,CTC-241N9.1,WBSCR22,MRPS18A,KDM6A,LRRC1,TECPR1,LINC01003,MOSPD3,LAT2
3741,FABP5,CCT5,ERAP1,BTN2A1,DOPEY1,TBC1D9B,ABHD11,VEGFA,KRBOX4,DST,BRI3,PAXIP1,GNB2,RFC2
3742,FABP4,CMBL,ERAP2,HCG11,PGM3,RNF130,CLDN3,C6orf223,SLC9A7,KIAA1586,TRRAP,AC144652.1,GIGYF1,CLIP2
3743,IMPA1,CTD-2256P15.2,LNPEP,CTA-14H9.5,RWDD2A,MAPK9,CLDN4,MRPL14,RP2,ZNF451,SMURF1,INSIG1,POP7,GTF2I
3744,ZFAND1,MARCH6,LIX1,HMGN4,ME1,CNOT6,LIMK1,TMEM63B,JADE3,BAG2,ARPC1A,AC009403.2,SLC12A9,NCF1
3745,C8orf59,ROPN1L,RIOK2,ABT1,CYB5R4,SCGB3A1,EIF4H,SLC29A1,NDUFB11,RAB23,ARPC1B,RBM33,TRIP6,GTF2IRD2
3746,WWP1,ANKRD33B,RGMB,ZNF322,CEP162,FLT4,LAT2,HSP90AB1,RBM10,PRIM2,PDAP1,LMBR1,SRRT,WBSCR16
3747,RMDN1,DAP,CHD1,ZNF184,SNX14,MGAT1,RFC2,SLC35B2,UBA1,LINC00680,BUD31,NOM1,TRIM56,GTF2IRD2B
3748,CPNE3,DNAH5,FAM174A,HIST1H2BN,SYNCRIP,LINC00847,GTF2I,NFKBIE,CDK16,PTP4A1,ATP5J2,UBE3C,AP1S1,TRIM73
3749,RIPK2,TRIO,ST8SIA4,RP1-313I6.12,ZNF292,ZFP62,NCF1,AARS2,USP11,PHF3,ZNF394,DNAJB6,PLOD3,POM121C
3750,OSGIN2,AC016549.1,PAM,ZSCAN16-AS1,SMIM8,BTNL9,GTF2IRD2,CDC5L,ARAF,LMBRD1,GS1-259H13.2,AC011899.9,ZNHIT1,HIP1
3751,NBN,FAM105A,GIN1,ZSCAN16,SLC35A1,CTC-338M12.5,WBSCR16,SUPT3H,TIMP1,FAM135A,ZSCAN25,ESYT2,CLDN15,RHBDD2
3752,DECR1,OTULIN,PPIP5K2,ZKSCAN8,RARS2,TRIM41,GTF2IRD2B,RUNX2,CFP,SMAP1,CYP3A5,WDR60,FIS1,POR
3753,TMEM64,ANKH,C5orf30,ZSCAN9,ORC3,GNB2L1,TRIM73,CLIC5,UXT,B3GAT2,TRIM4,PLCXD1,IFT22,TMEM120A
3754,OTUD6B-AS1,FBXL7,NUDT12,NKAPL,AKIRIN2,TRIM52,POM121C,ENPP4,ZNF182,OGFRL1,ZKSCAN1,GTPBP6,CUX1,STYXL1
3755,OTUD6B,ZNF622,EFNA5,ZSCAN26,RNGTT,DUSP22,HIP1,PLA2G7,FTSJ1,KHDC1,ZNF3,LINC00685,PRKRIP1,MDH2
3756,RBM12B,FAM134B,FBXL17,PGBD1,PNRC1,EXOC2,RHBDD2,TNFRSF21,PORCN,RP11-398K22.12,COPS6,CSF2RA,ORAI2,HSPB1
3757,PDP1,MYO10,LINC01023,ZSCAN31,PM20D2,RP11-532F6.3,POR,CD2AP,EBP,MB21D1,AP4M1,IL3RA,ALKBH4,YWHAG
3758,KIAA1429,BASP1,FER,TRIM27,UBE2J1,FOXC1,TMEM120A,MUT,RBM3,MTO1,TAF6,SLC25A6,LRWD1,FGL2
3759,INTS8,CDH6,PJA2,GABBR1,RRAGD,GMDS,STYXL1,CENPQ,WDR13,EEF1A1,LAMTOR4,ASMTL,POLR2J,GSAP
3760,NDUFAF6,DROSHA,MAN2A1,HLA-F,LYRM2,GMDS-AS1,MDH2,MCM3,WAS,SLC17A5,ZCWPW1,P2RY8,POLR2J3,PTPN12
3761,TP53INP1,C5orf22,SLC25A46,HLA-A,MDN1,WRNIP1,HSPB1,PAQR8,PCSK1N,CD109,MEPCE,AKAP17A,POLR2J2,APTR
3762,PLEKHF2,PDZD2,WDR36,ZNRD1-AS1,CASP8AP2,SERPINB1,YWHAG,EFHC1,TIMM17B,COX7A2,PPP1R35,DHRSX,FAM185A,RSBN1L
3763,UQCRB,GOLPH3,CAMK4,ZNRD1,MAP3K7,SERPINB9,DTX2,TRAM2,PQBP1,TMEM30A,TSC22D4,ZBED1,ARMC10,TMEM60
3764,MTERF3,CTD-2186M15.3,STARD4,PPP1R11,MANEA-AS1,SERPINB6,CCDC146,TMEM14A,PIM2,SENP6,AGFG2,CD99,NAPEPLD,PHTF2
3765,PTDSS1,MTMR12,STARD4-AS1,TRIM26,MANEA,LINC01011,FGL2,GSTA4,OTUD5,MYO6,SAP25,ARSD,PMPCB,GNAI1
3766,SDC2,ZFR,NREP,HCG18,UFL1,NQO2,GSAP,ICK,GRIPAP1,PHIP,LRCH4,PRKX,DNAJC2,CD36
3767,CPQ,SUB1,EPB41L4A,TRIM39,NDUFAF4,RIPK1,PTPN12,FBXO9,TFE3,HMGN3,PCOLCE,PUDP,PSMC2,SEMA3C
3768,MTDH,TARS,EPB41L4A-AS1,RPP21,MMS22L,BPHL,RSBN1L,ELOVL5,PRAF2,TTK,MOSPD3,STS,ORC5,AC005076.5
3769,LAPTM4B,ADAMTS12,APC,HLA-E,FBXL4,TUBB2A,TMEM60,GCLC,WDR45,BCKDHB,GNB2,PNPLA4,KMT2E-AS1,DMTF1
3770,RPL30,AMACR,SRP19,GNL1,PNISR,TUBB2B,PHTF2,LRRC1,GPKOW,FAM46A,GIGYF1,TBL1X,KMT2E,TMEM243
3771,HRSP12,C1QTNF3,REEP5,PRR3,USP45,PSMG4,DMTF1,DST,MAGIX,IBTK,POP7,WWC3,CTB-152G17.6,TP53TG1
3772,VPS13B,RAI14,DCP2,ABCF1,CCNC,SLC22A23,TMEM243,BEND6,PLP2,UBE3D,SLC12A9,HCCS,SRPK2,CROT
3773,COX6C,CTD-2517O10.6,MCC,PPP1R10,ASCC3,PXDC1,TP53TG1,KIAA1586,SYP,DOPEY1,SRRT,MSL3,RINT1,ABCB1
3774,POLR2K,RAD1,YTHDC2,MRPS18B,HACE1,FAM50B,CROT,ZNF451,CCDC22,PGM3,TRIM56,PRPS2,ATXN7L1,SLC25A40
3775,RNF19A,BRIX1,TRIM36,ATAT1,PREP,PRPF4B,ABCB1,BAG2,GSPT2,ME1,AP1S1,TLR7,SYPL1,DBF4
3776,ANKRD46,DNAJC21,PGGT1B,C6orf136,PRDM1,ECI2,SLC25A40,PRIM2,MAGED1,CYB5R4,PLOD3,TLR8,NAMPT,SRI
3777,PABPC1,SPEF2,CCDC112,DHX16,ATG5,CDYL,DBF4,LINC00680,TSPYL2,CEP162,ZNHIT1,TMSB4X,PIK3CG,GTPBP10
3778,YWHAZ,IL7R,FEM1C,PPP1R18,AIM1,RPP40,SRI,PTP4A1,KDM5C,SNX14,FIS1,RAB9A,HBP1,CDK14
3779,ZNF706,CAPSL,AC010226.4,NRM,RTN4IP1,PPP1R3G,GTPBP10,PHF3,SMC1A,SYNCRIP,IFT22,TRAPPC2,COG5,AKAP9
3780,NCALD,LMBRD2,TMED7,MDC1,QRSL1,LYRM4,MTERF1,LMBRD1,HSD17B10,ZNF292,CUX1,OFD1,DUS4L,KRIT1
3781,UBR5,SKP2,CDO1,TUBB,CD24,FARS2,AKAP9,FAM135A,HUWE1,SMIM8,PRKRIP1,GEMIN8,BCAP29,ANKIB1
3782,KLF10,NADK2,ATG12,FLOT1,C6orf203,NRN1,KRIT1,SDHAF4,TSR2,SLC35A1,ORAI2,MOSPD2,CBLL1,GATAD1
3783,AZIN1,SLC1A3,AP3S1,IER3,PDSS2,LY86,ANKIB1,SMAP1,MAGED2,RARS2,LRWD1,PIGA,DLD,RBM48
3784,ATP6V1C1,NIPBL,CTD-2287O16.5,DDR1,SEC63,RREB1,GATAD1,B3GAT2,APEX2,ORC3,POLR2J,CA5B,LAMB1,FAM133B
3785,CTHRC1,C5orf42,COMMD10,VARS2,OSTM1,SSR1,PEX1,OGFRL1,FAM104B,AKIRIN2,POLR2J3,ZRSR2,PNPLA8,CDK6
3786,SLC25A32,NUP155,SEMA6A,CCHCR1,SNX3,RIOK1,RBM48,MB21D1,MAGEH1,RNGTT,UPK3BL,AP1S2,THAP5,SAMD9
3787,DCAF13,WDR70,DTWD2,TCF19,LACE1,RP3-512B11.3,FAM133B,MTO1,RRAGB,PNRC1,POLR2J2,SYAP1,DNAJB9,SAMD9L
3788,OXR1,EGFLAM,DMXL1,XXbac-BPG299F13.17,FOXO3,DSP,CDK6,EEF1A1,RP13-188A5.1,PM20D2,FAM185A,TXLNG,IMMP2L,GNG11
3789,EIF3E,LIFR,TNFAIP8,HLA-C,ARMC2,SNRNP48,SAMD9,SLC17A5,KLF8,UBE2J1,ARMC10,RBBP7,ZNF277,BET1
3790,EMC2,LIFR-AS1,HSD17B4,HLA-B,SESN1,BMP6,SAMD9L,CD109,UBQLN2,RRAGD,NAPEPLD,REPS2,IFRD1,COL1A2
3791,NUDCD1,OSMR-AS1,PRR16,XXbac-BPG181B23.7,CEP57L1,BLOC1S5,VPS50,COL12A1,LINC01420,LYRM2,PMPCB,PHKA2,TMEM168,SGCE
3792,ENY2,OSMR,SRFBP1,MICA,CD164,EEF1E1,GNG11,COX7A2,SPIN4,MDN1,DNAJC2,PDHA1,C7orf60,PON2
3793,EBAG9,RICTOR,LOX,DDX39B,SMPD2,SLC35B3,BET1,TMEM30A,ARHGEF9,CASP8AP2,PSMC2,SH3KBP1,LINC00998,PDK4
3794,TRPS1,FYB,SNCAIP,ATP6V1G2,MICAL1,GCNT2,COL1A2,SENP6,LAS1L,BACH2,ORC5,CXorf23,MDFIC,SLC25A13
3795,EIF3H,DAB2,SNX2,NFKBIL1,ZBTB24,PAK1IP1,CASD1,MYO6,MSN,MAP3K7,RP11-325F22.2,EIF1AX,TES,SHFM1
3796,UTP23,PTGER4,SNX24,LST1,AK9,TMEM14C,PON2,PHIP,VSIG4,MANEA-AS1,KMT2E-AS1,RPS6KA3,CAV2,SDHAF3
3797,RAD21,TTC33,PPIC,AIF1,FIG4,TMEM14B,PDK4,HMGN3,YIPF6,MANEA,KMT2E,MBTPS2,CAV1,ASNS
3798,MED30,PRKAA1,PRDM6,PRRC2A,CDC40,SMIM13,SLC25A13,BCKDHB,PJA1,UFL1,CTB-152G17.6,SMS,CAPZA2,TECPR1
3799,MAL2,RPL37,CEP120,BAG6,CDK19,NEDD9,SHFM1,FAM46A,IGBP1,NDUFAF4,SRPK2,PRDX4,ST7,BRI3
3800,TAF2,CARD6,CSNK1G3,C6orf47,AMD1,HIVEP1,SDHAF3,IBTK,PDZD11,MMS22L,PUS7,ACOT9,LSM8,TRRAP
3801,MRPL13,C7,ZNF608,GPANK1,GTF3C6,EDN1,ASNS,TPBG,SNX12,FBXL4,RINT1,SAT1,ING3,ARPC1A
3802,SNTB1,C6,GRAMD3,CSNK2B,RPF2,PHACTR1,TECPR1,UBE3D,IL2RG,COQ3,ATXN7L1,APOO,FAM3C,ARPC1B
3803,ZHX2,OXCT1,ALDH7A1,DDAH2,SLC16A10,TBC1D7,BRI3,DOPEY1,MED12,PNISR,SYPL1,KLHL15,NDUFA5,PDAP1
3804,DERL1,C5orf51,PHAX,CLIC1,KIAA1919,GFOD1,TRRAP,PGM3,RP5-1091N2.9,CCNC,NAMPT,EIF2S3,WASL,BUD31
3805,TBC1D31,FBXO4,LMNB1,VARS,REV3L,SIRT5,ARPC1A,RWDD2A,ZMYM3,ASCC3,CCDC71L,ZFX,POT1,CPSF4
3806,C8orf76,GHR,MARCH3,LSM2,TRAF3IP2-AS1,NOL7,ARPC1B,ME1,NONO,PREP,PIK3CG,PDK3,ZNF800,ATP5J2
3807,ZHX1,SEPP1,C5orf63,HSPA1A,TRAF3IP2,RANBP9,PDAP1,CYB5R4,TAF1,PRDM1,HBP1,CXorf21,GCC1,ZNF394
3808,ATAD2,CTD-2035E11.4,MEGF10,HSPA1B,FYN,MCUR1,BUD31,CEP162,OGT,ATG5,COG5,GK,ARF5,ZKSCAN5
3809,WDYHV1,ANXA2R,PRRC1,C6orf48,TUBE1,CD83,CPSF4,SNX14,CXCR3,AIM1,BCAP29,TAB3,SND1,ZNF655
3810,FBXO32,ZNF131,LINC01184,NEU1,FAM229B,JARID2,ATP5J2,SYNCRIP,NHSL2,QRSL1,AC002467.7,CYBB,SND1-IT1,TRIM4
3811,FAM91A1,HMGCS1,SLC12A2,EHMT2,LAMA4,DTNBP1,ZNF789,ZNF292,PIN4,CD24,CBLL1,DYNLT3,RBM28,ZKSCAN1
3812,RNF139-AS1,CCL28,FBN2,C2,MARCKS,MYLIP,ZNF394,SMIM8,RPS4X,C6orf203,DLD,SRPX,IMPDH1,ZNF3
3813,RNF139,C5orf28,SLC27A6,CFB,HDAC2,GMPR,FAM200A,SLC35A1,HDAC8,PDSS2,PNPLA8,RPGR,HILPDA,COPS6
3814,TATDN1,C5orf34,ISOC1,NELFE,RP3-399L15.3,ATXN1,ZNF655,RARS2,XIST,SCML4,THAP5,MID1IP1,METTL2B,MCM7
3815,NDUFB9,PAIP1,CHSY3,SKIV2L,NT5DC1,CAP2,ZSCAN25,ORC3,JPX,SEC63,DNAJB9,ATP6AP2,RP11-212P7.2,AP4M1
3816,SQLE,NNT-AS1,HINT1,DXO,TSPYL4,FAM8A1,CYP3A5,AKIRIN2,FTX,OSTM1,IMMP2L,CXorf38,CALU,TAF6
3817,KIAA0196,NNT,LYRM7,STK19,DSE,NUP153,TRIM4,RNGTT,RLIM,SNX3,ZNF277,MED14,ATP6V1F,CNPY4
3818,NSMCE2,RP11-53O19.1,CDC42SE2,TNXB,TSPYL1,RP11-500C11.3,ZKSCAN1,PNRC1,ABCB7,FOXO3,IFRD1,MED14OS,IRF5,LAMTOR4
3819,LINC00861,MRPS30,RAPGEF6,ATF6B,FAM26F,KIF13A,ZNF3,PM20D2,UPRT,SESN1,TMEM168,USP9X,TNPO3,C7orf43
3820,FAM84B,RP11-53O19.3,FNIP1,FKBPL,RWDD1,TPMT,COPS6,UBE2J1,PBDC1,CEP57L1,C7orf60,DDX3X,SMKR1,PILRB
3821,MYC,EMB,P4HA2,PRRT1,ZUFSP,KDM1B,MCM7,RRAGD,ATRX,CD164,GPR85,CASK,RP11-448A19.1,PPP1R35
3822,PVT1,PARP8,PDLIM4,PPT2,KPNA5,DEK,AP4M1,LYRM2,MAGT1,SMPD2,LINC00998,GPR34,NRF1,TSC22D4
3823,FAM49B,ITGA1,SLC22A5,EGFL8,DCBLD1,RNF144B,TAF6,MDN1,COX7B,MICAL1,TFEC,GPR82,UBE2H,LRCH4
3824,ASAP1,PELO,C5orf56,AGPAT1,GOPC,ID4,CNPY4,CASP8AP2,PGK1,ZBTB24,TES,FUNDC1,ZC3HC1,PCOLCE
3825,EFR3A,ITGA2,IRF1,RNF5,NUS1,E2F3,LAMTOR4,MAP3K7,TAF9B,AK9,CAPZA2,KDM6A,KLHDC10,MOSPD3
3826,TMEM71,MOCS2,RAD50,PBX2,CEP85L,CDKAL1,C7orf43,MANEA,CYSLTR1,FIG4,ST7,CHST7,TMEM209,GNB2
3827,PHF20L1,CTD-2366F13.1,KIF3A,GPSM3,MCM9,SOX4,STAG3,UFL1,P2RY10,CDC40,CTTNBP2,RP2,CEP41,GIGYF1
3828,SLA,FST,SEPT8,NOTCH4,ASF1A,CASC15,PILRB,NDUFAF4,ITM2A,CDK19,LSM8,NDUFB11,MEST,POP7
3829,NDRG1,NDUFS4,SHROOM1,HLA-DRA,MAN1A1,MRS2,MEPCE,MMS22L,BRWD3,AMD1,ING3,RBM10,COPG2,SLC12A9
3830,ST3GAL1,ARL15,UQCRQ,HLA-DRB5,GJA1,ALDH5A1,PPP1R35,FBXL4,HMGN5,GTF3C6,CPED1,UBA1,AC016831.7,TRIP6
3831,CHRAC1,SNX18,LEAP2,HLA-DRB1,HSF2,TDP2,TSC22D4,PNISR,SH3BGRL,RPF2,FAM3C,CDK16,RP11-138A9.1,SRRT
3832,AGO2,GZMK,AFF4,HLA-DQA1,SERINC1,ACOT13,AGFG2,USP45,APOOL,SLC16A10,AASS,USP11,RP11-138A9.2,UFSP1
3833,THEM6,GZMA,ZCCHC10,HLA-DQB1,PKIB,C6orf62,LRCH4,CCNC,ZNF711,KIAA1919,NDUFA5,LINC01560,LINC-PINT,TRIM56
3834,LY6E,GPX8,HSPA4,TAP2,SMPDL3A,GMNN,PCOLCE,ASCC3,CHM,REV3L,POT1,ARAF,MKLN1,AP1S1
3835,GLI4,CCNO,C5orf15,PSMB8,RNF217,FAM65B,MOSPD3,HACE1,DIAPH2,TRAF3IP2-AS1,ZNF800,SYN1,CHCHD3,PLOD3
3836,GSDMD,DHX29,VDAC1,PSMB8-AS1,TPD52L1,LRRC16A,GNB2,PREP,TSPAN6,TRAF3IP2,GCC1,TIMP1,EXOC4,ZNHIT1
3837,NAPRT,SKIV2L2,CTB-113I20.2,PSMB9,HDDC2,TRIM38,GIGYF1,PRDM1,TRMT2B,FYN,ARF5,CFP,SLC35B4,CLDN15
3838,EEF1D,PLPP1,TCF7,TAP1,NCOA7,HIST1H1C,POP7,ATG5,TIMM8A,TUBE1,SND1,ELK1,AKR1B1,FIS1
3839,TSTA3,SLC38A9,SKP1,HLA-DMB,HINT3,HFE,SLC12A9,AIM1,BTK,FAM229B,RBM28,UXT,BPGM,IFT22
3840,PUF60,IL6ST,PPP2CA,HLA-DMA,TRMT11,HIST1H4C,TRIP6,RTN4IP1,RPL36A,MARCKS,IMPDH1,FTSJ1,CALD1,CUX1
3841,PLEC,MAP3K1,CDKL3,BRD2,CENPW,HIST1H2AC,SRRT,QRSL1,GLA,HDAC2,METTL2B,EBP,C7orf49,PRKRIP1
3842,PARP10,SETD9,UBE2B,HLA-DPA1,RNF146,HIST1H2BD,TRIM56,CD24,HNRNPH2,NT5DC1,RP11-212P7.2,TBC1D25,TMEM140,ORAI2
3843,GRINA,MIER3,RP11-215P8.3,HLA-DPB1,ECHDC1,BTN3A2,AP1S1,C6orf203,ARMCX6,TSPYL4,RP11-274B21.10,RBM3,WDR91,ALKBH4
3844,EXOSC4,GPBP1,CDKN2AIPNL,RXRB,ARHGAP18,BTN2A2,PLOD3,PDSS2,ARMCX3,DSE,CALU,WDR13,CNOT4,LRWD1
3845,GPAA1,PLK2,JADE2,SLC39A7,L3MBTL3,BTN3A1,ZNHIT1,SEC63,ARMCX2,TSPYL1,CCDC136,WAS,NUP205,POLR2J
3846,CYC1,PDE4D,SAR1B,HSD17B8,EPB41L2,BTN3A3,CLDN15,OSTM1,ZMAT1,FAM26F,ATP6V1F,HDAC6,C7orf73,POLR2J3
3847,SHARPIN,PART1,SEC24A,RING1,AKAP7,BTN2A1,FIS1,SNX3,ARMCX5,RWDD1,IRF5,TIMM17B,MTPN,RASA4
3848,MAF1,DEPDC1B,CAMLG,VPS52,MED23,HCG11,IFT22,LACE1,BEX1,ZUFSP,TNPO3,PQBP1,AC090498.1,FAM185A
3849,BOP1,ELOVL7,DDX46,RPS18,CTGF,ABT1,CUX1,FOXO3,BEX4,KPNA5,AHCYL2,SLC35A2,CREB3L2,ARMC10
3850,HSF1,ERCC8,C5orf24,B3GALT4,STX7,ZNF322,PRKRIP1,SESN1,TCEAL8,DCBLD1,STRIP2,PIM2,TRIM24,NAPEPLD
3851,SLC52A2,NDUFAF2,TXNDC15,WDR46,VNN1,ZNF184,ORAI2,CEP57L1,BEX2,GOPC,NRF1,OTUD5,ZC3HAV1,PMPCB
3852,CPSF1,SMIM15,PCBD2,PFDN6,VNN2,RP1-313I6.12,ALKBH4,CD164,WBP5,NUS1,UBE2H,GRIPAP1,UBN2,DNAJC2
3853,SLC39A4,ZSWIM6,H2AFY,RGL2,SLC18B1,ZSCAN16-AS1,LRWD1,SMPD2,NGFRAP1,CEP85L,RP11-306G20.1,TFE3,C7orf55,PSMC2
3854,VPS28,KIF2A,CXCL14,TAPBP,RPS12,ZSCAN16,POLR2J,MICAL1,TCEAL4,MCM9,ZC3HC1,PRAF2,LUC7L2,ORC5
3855,CYHR1,DIMT1,TGFBI,ZBTB22,TBPL1,ZKSCAN8,POLR2J3,ZBTB24,TCEAL3,ASF1A,KLHDC10,WDR45,HIPK2,RP11-325F22.2
3856,PPP1R16A,IPO11,SMAD5,DAXX,SGK1,ZSCAN9,RASA4,AK9,TCEAL1,MAN1A1,TMEM209,GPKOW,TBXAS1,KMT2E-AS1
3857,LRRC14,RNF180,SPOCK1,PHF1,HBS1L,ZKSCAN4,POLR2J2,FIG4,MORF4L2,TBC1D32,MEST,PLP2,PARP12,KMT2E
3858,RPL8,SREK1IP1,KLHL3,CUTA,AHI1,NKAPL,FAM185A,CDC40,SLC25A53,GJA1,RP11-138A9.1,CCDC22,KDM7A,SRPK2
3859,ZNF7,CWC27,HNRNPA0,SYNGAP1,BCLAF1,ZSCAN26,ARMC10,DDO,ZCCHC18,HSF2,RP11-138A9.2,CLCN5,SLC37A3,RINT1
3860,COMMD5,ADAMTS6,FAM13B,BAK1,MAP7,PGBD1,NAPEPLD,CDK19,FAM199X,SERINC1,LINC-PINT,MAGED1,MKRN1,ATXN7L1
3861,C8orf33,CENPK,NME5,UQCC2,RP3-325F22.5,ZSCAN31,PMPCB,AMD1,MORC4,PKIB,MKLN1,TSPYL2,ADCK2,SYPL1
3862,WASH1,PPWD1,BRD8,IP6K3,MAP3K5,TRIM27,DNAJC2,GTF3C6,RBM41,SMPDL3A,CHCHD3,KDM5C,NDUFB2,NAMPT
3863,CBWD1,TRIM23,CDC23,LEMD2,PEX7,GABBR1,PSMC2,RPF2,PRPS1,HDDC2,EXOC4,IQSEC2,BRAF,CCDC71L
3864,DOCK8,TRAPPC13,FAM53C,HMGA1,IFNGR1,HLA-F,ORC5,SLC16A10,TSC22D3,NCOA7,RP11-38M8.1,SMC1A,MRPS33,PIK3CG
3865,SMARCA2,CTC-534A2.2,KDM3B,C6orf1,RP11-356I2.4,HLA-G,KMT2E-AS1,KIAA1919,PSMD10,HINT3,AKR1B1,HSD17B10,AGK,HBP1
3866,PUM3,SGTB,REEP2,NUDT3,TNFAIP3,HLA-A,KMT2E,REV3L,ATG4A,TRMT11,BPGM,HUWE1,RP5-894A10.2,BCAP29
3867,RFX3,NLN,EGR1,RPS10,PERP,ZNRD1-AS1,CTB-152G17.6,TRAF3IP2-AS1,NXT2,CENPW,CALD1,PHF8,KIAA1147,CBLL1
3868,CDC37L1,ERBB2IP,ETF1,C6orf106,HEBP2,ZNRD1,SRPK2,TRAF3IP2,ACSL4,RNF146,AGBL3,TSR2,SSBP1,DLD
3869,AK3,SREK1,HSPA9,RP11-140K17.3,NHSL1,PPP1R11,RINT1,FYN,TMEM164,ECHDC1,C7orf49,GNL3L,TRBV3-1,LAMB1
3870,RCL1,MAST4,CTNNA1,SNRPC,RP11-390P2.4,TRIM26,ATXN7L1,TUBE1,AMMECR1,THEMIS,CNOT4,MAGED2,TRBC1,PNPLA8
3871,PLGRKT,PIK3R1,SIL1,UHRF1BP1,CCDC28A,HCG18,SYPL1,FAM229B,ALG13,ARHGAP18,NUP205,APEX2,TRBC2,THAP5
3872,KIAA2026,SLC30A5,MATR3.1,TAF11,REPS1,TRIM39,NAMPT,LAMA4,PLS3,L3MBTL3,C7orf73,FAM104B,EPHB6,DNAJB9
3873,RANBP6,CCNB1,PAIP2,ANKS1A,ABRACL,RPP21,CCDC71L,MARCKS,DOCK11,SAMD3,MTPN,MAGEH1,GSTK1,IMMP2L
3874,UHRF2,CENPH,MZB1,SCUBE3,HECA,HLA-E,PIK3CG,HDAC2,IL13RA1,TMEM200A,AC090498.1,RRAGB,CASP2,ZNF277
3875,KDM4C,MRPS36,DNAJC18,ZNF76,TXLNB,GNL1,HBP1,RP3-399L15.3,PGRMC1,EPB41L2,CREB3L2,UBQLN2,AC093673.5,IFRD1
3876,TMEM261,CDK7,ECSCR.1,PPARD,CITED2,PRR3,COG5,NT5DC1,SLC25A43,AKAP7,TRIM24,LINC01420,ZYX,TMEM168
3877,NFIB,CCDC125,TMEM173,FANCE,RP3-460G2.2,ABCF1,DUS4L,DSE,SLC25A5,MED23,SVOPL,SPIN2B,EPHA1,LINC00998
3878,ZDHHC21,AK6,UBE2D2,RPL10A,VTA1,PPP1R10,BCAP29,TSPYL1,CXorf56,CTGF,KIAA1549,LAS1L,EPHA1-AS1,MDFIC
3879,TTC39B,TAF9,CXXC5,TEAD3,ADGRG6,MRPS18B,CBLL1,FAM26F,UBE2A,STX7,ZC3HAV1,MSN,TCAF1,TFEC
3880,SNAPC3,RAD17,NRG2,FKBP5,HIVEP2,ATAT1,DLD,RWDD1,NKRF,VNN1,UBN2,RP6-159A1.4,TPK1,TES
3881,PSIP1,MARVELD2,PURA,SRPK1,AIG1,C6orf136,LAMB1,ZUFSP,SEPT6,VNN2,C7orf55,VSIG4,CUL1,CAV2
3882,RRAGA,OCLN,IGIP,MAPK14,ADAT2,DHX16,PNPLA8,KPNA5,SOWAHD,SLC18B1,LUC7L2,YIPF6,EZH2,CAV1
3883,HAUS6,GTF2H2C,CYSTM1,BRPF3,PEX3,PPP1R18,THAP5,DCBLD1,RPL39,RPS12,HIPK2,STARD8,PDIA4,MET
3884,PLIN2,SMN2,PFDN1,ETV7,FUCA2,NRM,DNAJB9,GOPC,UPF3B,TCF21,TBXAS1,IGBP1,ZNF786,CAPZA2
3885,DENND4C,RP11-497H16.9,HBEGF,KCTD20,PHACTR2,MDC1,IMMP2L,NUS1,RNF113A,TBPL1,PARP12,PDZD11,ZNF212,ST7
3886,RPS6,SMN1,ANKHD1,STK38,LTV1,TUBB,LRRN3,CEP85L,NDUFA1,SGK1,KDM7A,SNX12,ZNF783,LSM8
3887,MLLT3,NAIP,SRA1,SRSF3,PLAGL1,FLOT1,ZNF277,MCM9,NKAP,HBS1L,MKRN1,FOXO4,ATP6V0E2,ING3
3888,HACD4,GTF2H2,EIF4EBP3,CDKN1A,SF3B5,IER3,IFRD1,ASF1A,ZBTB33,AHI1,ADCK2,IL2RG,LRRC61,FAM3C
3889,KLHL9,BDP1,APBB3,PPIL1,STX11,DDR1,TMEM168,MAN1A1,LAMP2,BCLAF1,NDUFB2,MED12,RARRES2,CADPS2
3890,MTAP,MCCC2,SLC35A4,C6orf89,UTRN,VARS2,C7orf60,TBC1D32,CUL4B,MAP7,BRAF,ZMYM3,REPIN1,NDUFA5
3891,CDKN2A,MAP1B,CD14,MTCH1,FBXO30,PSORS1C1,LINC00998,GJA1,MCTS1,RP3-325F22.5,MRPS33,NONO,RP11-511P7.5,WASL
3892,CAAP1,MRPS27,NDUFA2,PIM1,SHPRH,CCHCR1,MDFIC,HSF2,C1GALT1C1,MAP3K5,RP5-894A10.2,TAF1,LINC00996,ZNF800
3893,PLAA,PTCD2,TMCO6,TBC1D22B,RAB32,TCF19,TES,SERINC1,THOC2,PEX7,KIAA1147,OGT,GIMAP8,GCC1
3894,C9orf72,TNPO1,IK,RNF8,STXBP5,HLA-C,CAV1,PKIB,XIAP,IFNGR1,SSBP1,NHSL2,GIMAP7,ARF5
3895,DDX58,FCHO2,WDR55,CMTR1,SASH1,HLA-B,CAPZA2,SMPDL3A,STAG2,RP11-356I2.4,TAS2R4,PIN4,GIMAP4,SND1
3896,TOPORS,FOXD1,HARS,CCDC167,TAB2,MICA,ST7,RNF217,SASH3,TNFAIP3,MGAM,RPS4X,GIMAP6,SND1-IT1
