,NK,NKT,CD4T,CD8T,Endothelial,Epithelial,Macrophage,Monocyte,DC,B,Plasma,Mast,Fibroblast,Pericyte
3648,PILRA,SLC35A1,RSBN1L,NOM1,CLTB,PAPD4,MBOAT1,ZNF3,DOPEY1,AKR1B1,MICA,ACAA2,HSPA4,C6orf62
3649,ZCWPW1,RARS2,TMEM60,UBE3C,FAF2,MTX3,E2F3,COPS6,PGM3,BPGM,MICB,RAB27B,C5orf15,GMNN
3650,MEPCE,ORC3,PHTF2,DNAJB6,RNF44,SERINC5,CDKAL1,MCM7,ME1,CALD1,DDX39B,TCF4,VDAC1,FAM65B
3651,PPP1R35,AKIRIN2,CD36,PTPRN2,TSPAN17,ZFYVE16,SOX4,AP4M1,CYB5R4,C7orf49,NFKBIL1,TXNL1,CTB-113I20.2,LRRC16A
3652,TSC22D4,RNGTT,DMTF1,ESYT2,UIMC1,CTD-2015H6.3,DCDC2,TAF6,KIAA1009,TMEM140,LTA,NARS,TCF7,TRIM38
3653,AGFG2,PNRC1,TMEM243,WDR60,ZNF346,FAM151B,MRS2,CNPY4,SNX14,CNOT4,TNF,MALT1,SKP1,HIST1H1C
3654,LRCH4,PM20D2,TP53TG1,VIPR2,FGFR4,DHFR,ALDH5A1,LAMTOR4,SYNCRIP,C7orf73,LTB,SEC11C,PPP2CA,HFE
3655,MOSPD3,UBE2J1,CROT,GTPBP6,NSD1,MSH3,TDP2,PILRB,RP1-3J17.3,MTPN,LST1,LMAN1,CDKL3,HIST1H4C
3656,GNB2,RRAGD,ABCB1,LINC00685,RAB24,CKMT2-AS1,ACOT13,PILRA,ZNF292,AC015987.2,NCR3,PMAIP1,UBE2B,HIST1H2BC
3657,GIGYF1,LYRM2,SLC25A40,SLC25A6,MXD3,ZCCHC9,C6orf62,ZCWPW1,SMIM8,CREB3L2,AIF1,VPS4B,RP11-215P8.3,HIST1H2AC
3658,POP7,MDN1,DBF4,ASMTL,PRELID1,SSBP2,GMNN,MEPCE,SLC35A1,ZC3HAV1,PRRC2A,CD226,CDKN2AIPNL,HIST1H1E
3659,SLC12A9,BACH2,SRI,P2RY8,LMAN2,ATG10,FAM65B,PPP1R35,RARS2,C7orf55,BAG6,TIMM21,JADE2,HIST1H2BD
3660,TRIP6,MAP3K7,GTPBP10,AKAP17A,RGS14,RPS23,LRRC16A,TSC22D4,ORC3,C7orf55-LUC7L2,APOM,CYB5A,SAR1B,HIST1H4E
3661,SRRT,MANEA-AS1,MTERF,DHRSX,F12,ATP6AP1L,TRIM38,LRCH4,AKIRIN2,HIPK2,C6orf47,ZNF516,SEC24A,HIST1H4H
3662,TRIM56,MANEA,AKAP9,ZBED1,GRK6,TMEM167A,HIST1H1C,MOSPD3,RNGTT,TBXAS1,GPANK1,MBP,CAMLG,BTN3A2
3663,AP1S1,UFL1,KRIT1,CD99,PRR7,XRCC4,HFE,GNB2,PNRC1,PARP12,CSNK2B,PQLC1,DDX46,BTN2A2
3664,PLOD3,NDUFAF4,ANKIB1,ARSD,DBN1,VCAN,HIST1H4C,GIGYF1,PM20D2,KDM7A,LY6G5C,ADNP2,C5orf24,BTN3A1
3665,ZNHIT1,MMS22L,GATAD1,PRKX,PDLIM7,COX7C,HIST1H2BC,POP7,UBE2J1,JHDM1D-AS1,ABHD16A,ZCCHC3,TXNDC15,BTN3A3
3666,FIS1,FBXL4,PEX1,RP11-706O15.1,DOK3,RASA1,HIST1H2AC,SLC12A9,RRAGD,MKRN1,DDAH2,TRIB3,PCBD2,BTN2A1
3667,RABL5,COQ3,RBM48,HDHD1,DDX41,CCNH,HIST1H1E,TRIP6,LYRM2,ADCK2,CLIC1,RBCK1,H2AFY,HCG11
3668,CUX1,PNISR,FAM133B,PNPLA4,FAM193B,TMEM161B,HIST1H2BD,SRRT,MDN1,NDUFB2,VARS,TBC1D20,TGFBI,HMGN4
3669,PRKRIP1,USP45,CDK6,TBL1X,TMED9,TMEM161B-AS1,HIST1H3D,TRIM56,MAP3K7,BRAF,LSM2,CSNK2A1,VTRNA2-1,ABT1
3670,ORAI2,TSTD3,SAMD9,WWC3,B4GALT7,MEF2C,HIST1H4E,AP1S1,MANEA,MRPS33,HSPA1A,FAM110A,SMAD5,ZNF322
3671,ALKBH4,CCNC,SAMD9L,HCCS,N4BP3,CETN3,HIST1H2BG,PLOD3,UFL1,AGK,HSPA1B,FKBP1A,KLHL3,RP11-457M11.5
3672,LRWD1,ASCC3,CCDC132,MSL3,RMND5B,MBLAC2,HIST1H2AE,ZNHIT1,NDUFAF4,KIAA1147,C6orf48,NSFL1C,HNRNPA0,HIST1H2BJ
3673,POLR2J,PREP,GNG11,PRPS2,NHP2,POLR3G,HIST1H1D,FIS1,MMS22L,SSBP1,NEU1,SIRPB1,RP11-381K20.2,HIST1H2BK
3674,POLR2J3,PRDM1,BET1,TMSB4X,HNRNPAB,LYSMD3,HIST1H4H,CUX1,FBXL4,EPHB6,EHMT2,SNRPB,FAM13B,ZNF184
3675,POLR2J2,ATG5,CASD1,TCEANC,PHYKPL,LUCAT1,BTN3A2,PRKRIP1,COQ3,GSTK1,C2,NOP56,BRD8,HIST1H4J
3676,FAM185A,AIM1,PON2,RAB9A,COL23A1,ARRDC3,BTN2A2,ORAI2,PNISR,CASP2,CFB,IDH3B,KIF20A,RP1-313I6.12
3677,ARMC10,RTN4IP1,PDK4,TRAPPC2,CLK4,NR2F1,BTN3A1,ALKBH4,USP45,ZYX,NELFE,PTPRA,CDC23,ZSCAN16-AS1
3678,NAPEPLD,QRSL1,SLC25A13,OFD1,ZNF354A,FAM172A,BTN3A3,LRWD1,TSTD3,FAM115A,SKIV2L,UBOX5,FAM53C,ZSCAN16
3679,PMPCB,C6orf203,SHFM1,GPM6B,ZNF354B,POU5F2,BTN2A1,POLR2J,CCNC,TPK1,DXO,DDRGK1,KDM3B,ZKSCAN8
3680,DNAJC2,PDSS2,ACN9,GEMIN8,ZNF879,KIAA0825,HCG11,POLR2J3,ASCC3,CNTNAP2,STK19,ITPA,EGR1,ZSCAN9
3681,PSMC2,SCML4,ASNS,MOSPD2,ZNF354C,ANKRD32,HMGN4,RASA4,PREP,CUL1,ATF6B,C20orf27,ETF1,ZKSCAN4
3682,ORC5,SEC63,TECPR1,PIGA,RUFY1,MCTP1,ABT1,FAM185A,PRDM1,EZH2,FKBPL,RNF24,HSPA9,NKAPL
3683,RP11-325F22.2,OSTM1,BRI3,CA5B,HNRNPH1,TTC37,ZNF322,ARMC10,ATG5,PDIA4,PPT2,PRNP,CTNNA1,PGBD1
3684,KMT2E-AS1,SNX3,TRRAP,ZRSR2,CANX,ARSK,HIST1H2BJ,NAPEPLD,AIM1,ZNF786,AGPAT1,TMEM230,SIL1,ZSCAN31
3685,KMT2E,LACE1,ARPC1A,AP1S2,MAML1,RFESD,HIST1H2BK,PMPCB,RTN4IP1,ZNF212,RNF5,PCNA,MATR3,TRIM27
3686,CTB-152G17.6,FOXO3,ARPC1B,SYAP1,LTC4S,RHOBTB3,ZNF184,DNAJC2,QRSL1,ZNF783,AGER,CDS2,PAIP2,UBD
3687,SRPK2,ARMC2,PDAP1,TXLNG,MGAT4B,GLRX,HIST1H4J,PSMC2,C6orf203,ATP6V0E2,PBX2,GPCPD1,MZB1,GABBR1
3688,RINT1,SESN1,BUD31,RBBP7,SQSTM1,ELL2,HIST1H2AM,ORC5,PDSS2,LRRC61,GPSM3,TASP1,SPATA24,HLA-F
3689,ATXN7L1,CEP57L1,PTCD1,PDHA1,C5orf45,CAST,RP1-313I6.12,KMT2E-AS1,SCML4,RARRES2,NOTCH4,DSTN,DNAJC18,HLA-A
3690,SYPL1,CD164,CPSF4,SH3KBP1,TBC1D9B,ERAP1,ZNF165,KMT2E,SEC63,REPIN1,HLA-DRA,RRBP1,ECSCR,ZNRD1-AS1
3691,NAMPT,SMPD2,ATP5J2,EIF1AX,RNF130,CTD-2260A17.2,ZSCAN16-AS1,SRPK2,OSTM1,ZNF775,HLA-DRB5,LINC00493,TMEM173,ZNRD1
3692,PIK3CG,MICAL1,ZNF789,RPS6KA3,MAPK9,ERAP2,ZSCAN16,RINT1,SNX3,LINC00996,HLA-DRB1,NAA20,UBE2D2,PPP1R11
3693,HBP1,ZBTB24,ZNF394,SMS,CNOT6,LNPEP,ZKSCAN8,ATXN7L1,LACE1,GIMAP7,HLA-DQA1,XRN2,CXXC5,TRIM26
3694,COG5,AK9,FAM200A,PRDX4,SCGB3A1,RIOK2,ZSCAN9,SYPL1,FOXO3,GIMAP4,HLA-DQB1,CST3,LINC01024,HCG18
3695,DUS4L,FIG4,ZNF655,ACOT9,FLT4,CHD1,ZKSCAN4,NAMPT,SESN1,GIMAP6,HLA-DQA2,CST7,PURA,TRIM39
3696,BCAP29,CDC40,ZSCAN25,SAT1,MGAT1,FAM174A,NKAPL,RP11-22N19.2,CEP57L1,GIMAP2,HLA-DOB,APMAP,IGIP,RPP21
3697,AC002467.7,CDK19,CYP3A5,APOO,LINC00847,ST8SIA4,PGBD1,CCDC71L,CD164,GIMAP1,TAP2.1,ENTPD6,CYSTM1,HLA-E
3698,CBLL1,AMD1,TRIM4,KLHL15,ZFP62,PAM,TRIM27,PIK3CG,SMPD2,GIMAP5,PSMB8,PYGB,PFDN1,GNL1
3699,DLD,GTF3C6,AZGP1,EIF2S3,BTNL9,GIN1,UBD,PRKAR2B,MICAL1,TMEM176B,TAPSAR1,ABHD12,HBEGF,PRR3
3700,LAMB1,RPF2,ZKSCAN1,ZFX,CTC-338M12.5,PPIP5K2,GABBR1,HBP1,ZBTB24,TMEM176A,PSMB9,BCL2L1,ANKHD1,ABCF1
3701,PNPLA8,KIAA1919,ZNF3,PDK3,TRIM41,C5orf30,HLA-F,COG5,AK9,ABCB8,TAP1,C20orf112,SRA1,PPP1R10
3702,THAP5,REV3L,COPS6,CXorf21,GNB2L1,NUDT12,HLA-A,DUS4L,FIG4,CDK5,HLA-DMB,COMMD7,APBB3,MRPS18B
3703,DNAJB9,TRAF3IP2-AS1,MCM7,GK,TRIM52,EFNA5,ZNRD1-AS1,BCAP29,CDC40,SLC4A2,HLA-DMA,MAPRE1,SLC35A4,ATAT1
3704,IMMP2L,TRAF3IP2,AP4M1,TAB3,TRIM52-AS1,FBXL17,ZNRD1,AC002467.7,CDK19,FASTK,BRD2,CBFA2T2,CD14,C6orf136
3705,ZNF277,FYN,TAF6,CYBB,DUSP22,LINC01023,PPP1R11,CBLL1,AMD1,TMUB1,HLA-DOA,CHMP4B,NDUFA2,DHX16
3706,IFRD1,TUBE1,CNPY4,DYNLT3,IRF4,FER,TRIM26,DLD,GTF3C6,ABCF2,HLA-DPA1,RALY,TMCO6,PPP1R18
3707,TMEM168,MARCKS,LAMTOR4,RPGR,EXOC2,CTD-2587M2.1,HCG18,PNPLA8,RPF2,CHPF2,HLA-DPB1,EIF2S2,IK,NRM
3708,LINC00998,HDAC2,C7orf43,MID1IP1,RP11-532F6.3,PJA2,TRIM39,THAP5,KIAA1919,NUB1,RXRB,AHCY,WDR55,MDC1
3709,MDFIC,NT5DC1,STAG3,BCOR,FOXC1,MAN2A1,RPP21,DNAJB9,REV3L,RHEB,SLC39A7,DYNLRB1,HARS,TUBB
3710,TES,TSPYL4,PVRIG,ATP6AP2,GMDS,SLC25A46,HLA-E,IMMP2L,TRAF3IP2-AS1,PRKAG2,HSD17B8,MAP1LC3A,HARS2,FLOT1
3711,CAPZA2,DSE,PILRB,CXorf38,GMDS-AS1,WDR36,GNL1,ZNF277,FYN,GALNT11,RING1,MMP24-AS1,ZMAT2,XXbac-BPG252P9.10
3712,NAA38,TSPYL1,MEPCE,MED14,WRNIP1,CAMK4,PRR3,IFRD1,TUBE1,KMT2C,VPS52,ERGIC3,TAF7,IER3
3713,ING3,FAM26F,PPP1R35,USP9X,SERPINB1,STARD4,ABCF1,TMEM168,FAM229B,LINC01003,RPS18,RBM12,DIAPH1,DDR1
3714,FAM3C,RWDD1,TSC22D4,DDX3X,SERPINB9,STARD4-AS1,PPP1R10,C7orf60,MARCKS,PAXIP1-AS1,B3GALT4,ROMO1,HDAC3,GTF2H4
3715,NDUFA5,ZUFSP,AGFG2,CASK,SERPINB6,NREP,MRPS18B,LINC00998,HDAC2,INSIG1,WDR46,RBM39,RELL2,VARS2
3716,WASL,KPNA5,LRCH4,GPR82,LINC01011,EPB41L4A,ATAT1,MDFIC,RP3-399L15.3,AC009403.2,PFDN6,PHF20,FCHSD1,CCHCR1
3717,POT1,GOPC,MOSPD3,FUNDC1,NQO2,EPB41L4A-AS1,C6orf136,TFEC,NT5DC1,RBM33,RGL2,SCAND1,ARAP3,TCF19
3718,ZNF800,DCBLD1,GNB2,KDM6A,RIPK1,APC,DHX16,TES,TSPYL4,C7orf13,TAPBP,LINC00657,KIAA0141,XXbac-BPG299F13.17
3719,GCC1,NUS1,GIGYF1,RP6-99M1.2,BPHL,SRP19,PPP1R18,CAPZA2,DSE,LMBR1,ZBTB22,TGIF2,PCDH12,HLA-C
3720,ARF5,CEP85L,POP7,KRBOX4,TUBB2A,REEP5,NRM,NAA38,TSPYL1,NOM1,DAXX,C20orf24,RNF14,HLA-B
3721,SND1,ASF1A,SLC12A9,ZNF674-AS1,PSMG4,DCP2,MDC1,ING3,FAM26F,UBE3C,KIFC1,RPN2,GNPDA1,MICA
3722,RBM28,MAN1A1,TRIP6,CHST7,SLC22A23,MCC,TUBB,CPED1,RWDD1,DNAJB6,PHF1,SRC,NDFIP1,DDX39B
3723,IMPDH1,HSF2,SRRT,RP2,PXDC1,YTHDC2,XXbac-BPG252P9.9,FAM3C,ZUFSP,PTPRN2,CUTA,BLCAP,ARHGAP26,ATP6V1G2
3724,HILPDA,SERINC1,TRIM56,NDUFB11,FAM50B,PGGT1B,FLOT1,NDUFA5,KPNA5,ESYT2,SYNGAP1,CTNNBL1,NR3C1,NFKBIL1
3725,METTL2B,PKIB,AP1S1,RBM10,PRPF4B,CCDC112,XXbac-BPG252P9.10,WASL,GOPC,WDR60,BAK1,PPP1R16B,YIPF5,TNF
3726,CALU,SMPDL3A,PLOD3,UBA1,ECI2,FEM1C,IER3,RP11-390E23.6,DCBLD1,PLCXD1,ITPR3,MAFB,PRELID2,LTB
3727,ATP6V1F,RNF217,ZNHIT1,CDK16,CDYL,AC010226.4,DDR1,POT1,NUS1,GTPBP6,UQCC2,TOP1,SH3RF2,LST1
3728,TNPO3,HDDC2,FIS1,USP11,RPP40,TMED7,VARS2,ZNF800,CEP85L,LINC00685,LEMD2,SRSF6,LARS,NCR3
3729,SMKR1,NCOA7,RABL5,ARAF,LYRM4,CTC-505O3.3,CCHCR1,GCC1,MCM9,CSF2RA,HMGA1,TOX2,RBM27,AIF1
3730,RP11-448A19.1,HINT3,CUX1,TIMP1,FARS2,CDO1,TCF19,ARF5,ASF1A,IL3RA,C6orf1,TTPAL,TCERG1,PRRC2A
3731,NRF1,TRMT11,PRKRIP1,CFP,NRN1,ATG12,XXbac-BPG299F13.17,SND1,MAN1A1,SLC25A6,NUDT3,SERINC3,PPP2R2B,BAG6
3732,UBE2H,CENPW,ORAI2,ELK1,F13A1,AP3S1,HLA-C,RBM28,TBC1D32,ASMTL,RPS10,ADA,DPYSL3,APOM
3733,ZC3HC1,RNF146,ALKBH4,UXT,LY86,CTD-2287O16.5,HLA-B,IMPDH1,HSF2,P2RY8,C6orf106,YWHAB,SPINK1,C6orf47
3734,KLHDC10,ECHDC1,LRWD1,ZNF182,RREB1,COMMD10,MICA,HILPDA,SERINC1,AKAP17A,RP11-140K17.3,STK4,FBXO38,GPANK1
3735,TMEM209,THEMIS,POLR2J,SLC38A5,SSR1,SEMA6A,MICB,METTL2B,PKIB,DHRSX,SNRPC,SDC4,ADRB2,CSNK2B
3736,CEP41,ARHGAP18,POLR2J3,FTSJ1,RIOK1,DTWD2,DDX39B,RP11-212P7.2,SMPDL3A,ZBED1,UHRF1BP1,DNTTIP1,ABLIM3,LY6G5B
3737,COPG2,L3MBTL3,POLR2J2,PORCN,DSP,DMXL1,NFKBIL1,CALU,RNF217,CD99,TAF11,CTSA,AFAP1L1,LY6G5C
3738,AC016831.7,SAMD3,ARMC10,EBP,SNRNP48,TNFAIP8,TNF,ATP6V1F,HDDC2,ARSD,ZNF76,PCIF1,GRPEL2,ABHD16A
3739,MIR29A,EPB41L2,NAPEPLD,TBC1D25,TXNDC5,HSD17B4,LTB,IRF5,NCOA7,PRKX,DEF6,ZNF335,PCYOX1L,DDAH2
3740,RP11-138A9.1,AKAP7,PMPCB,AC115618.1,BLOC1S5,SRFBP1,LST1,TNPO3,HINT3,RP11-706O15.1,PPARD,CD40,CSNK1A1,CLIC1
3741,RP11-138A9.2,MED23,DNAJC2,RBM3,EEF1E1,SNX2,NCR3,TSPAN33,TRMT11,RP11-706O15.3,FANCE,TP53RK,ARHGEF37,VARS
3742,LINC-PINT,STX7,PSMC2,WDR13,SLC35B3,SNX24,AIF1,RP11-448A19.1,CENPW,HDHD1,RPL10A,ZMYND8,PPARGC1B,LSM2
3743,MKLN1,VNN1,ORC5,WAS,HULC,PPIC,PRRC2A,NRF1,RNF146,PNPLA4,FKBP5,NCOA3,SLC26A2,HSPA1A
3744,CHCHD3,VNN2,RP11-325F22.2,HDAC6,GCNT2,CEP120,BAG6,UBE2H,ECHDC1,TBL1X,SRPK1,PREX1,TIGD6,HSPA1B
3745,EXOC4,SLC18B1,KMT2E-AS1,TIMM17B,PAK1IP1,CSNK1G3,APOM,ZC3HC1,THEMIS,WWC3,MAPK14,STAU1,HMGXB3,C6orf48
3746,SLC35B4,RPS12,KMT2E,PQBP1,TMEM14C,ZNF608,C6orf47,KLHDC10,ARHGAP18,HCCS,MAPK13,DDX27,CSF1R,NEU1
3747,AKR1B1,TBPL1,CTB-152G17.6,SLC35A2,TMEM14B,GRAMD3,GPANK1,TMEM209,L3MBTL3,MSL3,BRPF3,ZNFX1,PDGFRB,EHMT2
3748,BPGM,SGK1,SRPK2,PIM2,SMIM13,ALDH7A1,CSNK2B,CEP41,SAMD3,PRPS2,ETV7,ZFAS1,TCOF1,C2
3749,CALD1,HBS1L,PUS7,OTUD5,NEDD9,PHAX,LY6G5C,COPG2,EPB41L2,TLR7,KCTD20,B4GALT5,CD74,CFB
3750,C7orf49,AHI1,RINT1,GRIPAP1,TMEM170B,LMNB1,ABHD16A,AC016831.7,AKAP7,TMSB4X,STK38,SPATA2,RPS14,NELFE
3751,TMEM140,MTFR2,ATXN7L1,TFE3,HIVEP1,MARCH3,DDAH2,MIR29A,MED23,TCEANC,SRSF3,RNF114,NDST1,SKIV2L
3752,CNOT4,BCLAF1,SYPL1,PRAF2,EDN1,C5orf63,CLIC1,RP11-138A9.1,ENPP1,RAB9A,CDKN1A,UBE2V1,SYNPO,DXO
3753,NUP205,MAP7,NAMPT,WDR45,PHACTR1,PRRC1,VARS,RP11-138A9.2,CTGF,TRAPPC2,CPNE5,TMEM189,RBM22,STK19
3754,C7orf73,RP3-325F22.5,PIK3CG,GPKOW,TBC1D7,CTC-228N24.3,LSM2,LINC-PINT,STX7,OFD1,PPIL1,CEBPB,DCTN4,TNXB
3755,MTPN,MAP3K5,HBP1,PLP2,GFOD1,SLC12A2,HSPA1L,MKLN1,VNN1,GPM6B,C6orf89,FAM65C,GPX3,ATF6B
3756,CREB3L2,PEX7,COG5,CCDC22,SIRT5,ISOC1,HSPA1A,CHCHD3,VNN2,GEMIN8,MTCH1,BCAS4,TNIP1,FKBPL
3757,TRIM24,IFNGR1,DUS4L,GSPT2,RP1-223E5.4,HINT1,HSPA1B,EXOC4,SLC18B1,MOSPD2,FGD2,NFATC2,ANXA6,PRRT1
3758,ZC3HAV1,RP11-356I2.4,BCAP29,MAGED1,NOL7,LYRM7,C6orf48,SLC35B4,RPS12,PIGA,COX6A1P2,PFDN4,CCDC69,PPT2
3759,UBN2,TNFAIP3,CBLL1,TSPYL2,RANBP9,CDC42SE2,NEU1,AKR1B1,TBPL1,CA5B,PIM1,AURKA,GM2A,AGPAT1
3760,C7orf55,PERP,DLD,KDM5C,MCUR1,RAPGEF6,EHMT2,BPGM,SGK1,ZRSR2,TBC1D22B,CASS4,SLC36A1,RNF5
3761,C7orf55-LUC7L2,HEBP2,LAMB1,SMC1A,CD83,FNIP1,C2,CALD1,HBS1L,AP1S2,RNF8,RBM38,SPARC,AGER
3762,HIPK2,RP11-390P2.4,PNPLA8,HSD17B10,JARID2,ACSL6,CFB,C7orf49,AHI1,SYAP1,CMTR1,PCK1,ATOX1,PBX2
3763,TBXAS1,CCDC28A,THAP5,HUWE1,DTNBP1,P4HA2,NELFE,TMEM140,BCLAF1,TXLNG,CCDC167,PMEPA1,G3BP1,GPSM3
3764,PARP12,REPS1,DNAJB9,PHF8,MYLIP,PDLIM4,SKIV2L,WDR91,MAP7,RBBP7,ZFAND3,RAB22A,FAM114A2,NOTCH4
3765,KDM7A,ABRACL,IMMP2L,TSR2,GMPR,SLC22A5,DXO,CNOT4,MAP3K5,SCML1,BTBD9,STX16,MFAP3,HLA-DRA
3766,JHDM1D-AS1,HECA,LRRN3,GNL3L,ATXN1,C5orf56,STK19,NUP205,PEX7,PHKA2,GLO1,GNAS,GALNT10,HLA-DRB5
3767,SLC37A3,CITED2,ZNF277,MAGED2,FAM8A1,AC116366.6,ATF6B,C7orf73,IFNGR1,PDHA1,SAYSD1,NELFCD,SAP30L,HLA-DRB1
3768,MKRN1,RP3-460G2.2,IFRD1,APEX2,NUP153,IRF1,FKBPL,MTPN,RP11-356I2.4,SH3KBP1,OARD1,ATP5E,LARP1,HLA-DQA1
3769,ADCK2,VTA1,TMEM168,FAM104B,RP11-500C11.3,RAD50,PPT2,CREB3L2,TNFAIP3,CXorf23,NFYA,SLMO2,FAXDC2,HLA-DQB1
3770,NDUFB2,HIVEP2,C7orf60,MAGEH1,KIF13A,KIF3A,AGPAT1,TRIM24,PERP,EIF1AX,TREM2,PSMA7,CNOT8,HLA-DQA2
3771,BRAF,AIG1,LINC00998,RRAGB,TPMT,SEPT8,RNF5,ZC3HAV1,HEBP2,RPS6KA3,TREM1,OSBPL2,GEMIN5,HLA-DOB
3772,MRPS33,ADAT2,MDFIC,UBQLN2,KDM1B,SHROOM1,AGER,UBN2,RP11-390P2.4,SMS,FOXP4,ADRM1,MRPL22,TAP2.1
3773,AGK,PEX3,TES,SPIN2B,DEK,UQCRQ,PBX2,C7orf55,CCDC28A,PRDX4,TFEB,RPS21,HAVCR2,PSMB8
3774,KIAA1147,FUCA2,CAV1,ARHGEF9,RNF144B,LEAP2,GPSM3,C7orf55-LUC7L2,REPS1,ACOT9,PRICKLE4,MRGBP,MED7,TAPSAR1
3775,SSBP1,PHACTR2,CAPZA2,LAS1L,MBOAT1,AFF4,NOTCH4,HIPK2,ABRACL,SAT1,MED20,GID8,ITK,PSMB9
3776,GSTK1,LTV1,NAA38,MSN,E2F3,ZCCHC10,HLA-DRA,TBXAS1,HECA,APOO,BYSL,SLC17A9,CYFIP2,TAP1
3777,CASP2,PLAGL1,ING3,VSIG4,CDKAL1,HSPA4,HLA-DRB5,PARP12,CITED2,KLHL15,CCND3,PPDPF,ADAM19,HLA-DMB
3778,AC093673.5,SF3B5,FAM3C,YIPF6,SOX4,C5orf15,HLA-DRB1,KDM7A,RP3-460G2.2,EIF2S3,TAF8,HELZ2,THG1L,HLA-DMA
3779,ZYX,STX11,NDUFA5,PJA1,CASC15,VDAC1,HLA-DQA1,JHDM1D-AS1,VTA1,ZFX,MRPS10,STMN3,LSM11,BRD2
3780,FAM115C,UTRN,WASL,IGBP1,MRS2,CTB-113I20.2,HLA-DQB1,MKRN1,GPR126,PDK3,TRERF1,ARFRP1,CLINT1,HLA-DOA
3781,FAM115A,FBXO30,POT1,PDZD11,ALDH5A1,TCF7,HLA-DQA2,ADCK2,HIVEP2,CXorf21,UBR2,DNAJC5,EBF1,HLA-DPA1
3782,TPK1,SHPRH,ZNF800,DLG3,TDP2,SKP1,HLA-DQB2,NDUFB2,AIG1,GK,TBCC,TCEA2,RNF145,HLA-DPB1
3783,CUL1,RAB32,GCC1,SNX12,ACOT13,PPP2CA,HLA-DOB,BRAF,ADAT2,TAB3,GLTSCR1L,RGS19,UBLCP1,RXRB
3784,EZH2,SASH1,ARF5,CXorf65,C6orf62,CDKL3,TAP2.1,MRPS33,PEX3,CYBB,RPL7L1,TPGS1,TTC1,SLC39A7
3785,PDIA4,TAB2,SND1,IL2RG,GMNN,UBE2B,PSMB8,AGK,FUCA2,DYNLT3,C6orf226,CDC34,PWWP2A,HSD17B8
3786,ZNF786,ZC3H12D,RBM28,MED12,FAM65B,RP11-215P8.3,TAPSAR1,KIAA1147,PHACTR2,RPGR,CNPY3,BSG,CCNJL,RING1
3787,ZNF212,PPIL4,IMPDH1,ZMYM3,RP11-367G6.3,CDKN2AIPNL,PSMB9,SSBP1,LTV1,MID1IP1,GNMT,RNF126,SLU7,VPS52
3788,ZNF746,GINM1,HILPDA,NONO,LRRC16A,JADE2,TAP1,CLEC5A,PLAGL1,BCOR,PPP2R5D,PRSS57,PTTG1,RPS18
3789,ATP6V0E2,KATNA1,METTL2B,TAF1,TRIM38,SAR1B,HLA-DMB,EPHB6,SF3B5,ATP6AP2,MEA1,PTBP1,CCNG1,B3GALT4
3790,LRRC61,LATS1,CALU,OGT,HIST1H1C,SEC24A,HLA-DMA,GSTK1,STX11,CXorf38,KLHDC3,R3HDM4,NUDCD2,WDR46
3791,RARRES2,NUP43,ATP6V1F,CXCR3,HFE,CAMLG,BRD2,CASP2,UTRN,MED14,RRP36,CNN2,HMMR,PFDN6
3792,REPIN1,PCMT1,IRF5,PIN4,HIST1H4C,DDX46,HLA-DOA,AC093673.5,FBXO30,MED14-AS1,CUL7,HMHA1,MAT2B,RGL2
3793,ZNF775,ULBP2,TNPO3,RPS4X,HIST1H2BC,C5orf24,HLA-DPA1,ZYX,SHPRH,USP9X,KLC4,POLR2E,RARS,TAPBP
3794,LINC00996,MTHFD1L,RP11-448A19.1,HDAC8,HIST1H2AC,TXNDC15,HLA-DPB1,FAM115A,RAB32,DDX3X,MRPL2,GPX4,PANK3,ZBTB22
3795,GIMAP8,AKAP12,NRF1,CHIC1,HIST1H1E,PCBD2,RXRB,TPK1,UST,GPR82,PTK7,STK11,SPDL1,DAXX
3796,GIMAP7,ZBTB2,UBE2H,XIST,HIST1H2BD,H2AFY,SLC39A7,RP5-1136G13.2,TAB2,FUNDC1,SRF,ATP5D,DOCK2,KIFC1
3797,GIMAP4,RMND1,ZC3HC1,JPX,HIST1H4E,LECT2,HSD17B8,CUL1,ZC3H12D,KDM6A,CUL9,MIDN,LCP2,PHF1
3798,GIMAP6,C6orf211,KLHDC10,FTX,HIST1H2AE,TGFBI,RING1,EZH2,PPIL4,RP6-99M1.2,DNPH1,CIRBP,KCNMB1,CUTA
3799,GIMAP2,CCDC170,TMEM209,RLIM,HIST1H1D,VTRNA2-1,VPS52,PDIA4,GINM1,KRBOX4,ABCC10,C19orf24,RANBP17,SYNGAP1
3800,GIMAP1,SYNE1,CEP41,ABCB7,HIST1H4H,SMAD5,RPS18,ZNF783,KATNA1,RP2,TJAP1,MUM1,NPM1,ZBTB9
3801,GIMAP5,FBXO5,COPG2,UPRT,BTN3A2,KLHL3,B3GALT4,ZNF467,LATS1,NDUFB11,POLR1C,NDUFS7,FBXW11,BAK1
3802,TMEM176B,MTRF1L,AC016831.7,PBDC1,BTN2A2,HNRNPA0,WDR46,ATP6V0E2,NUP43,RBM10,YIPF3,DAZAP1,STK10,ITPR3
3803,TMEM176A,IPCEF1,MIR29A,ATRX,BTN3A1,RP11-381K20.2,PFDN6,RARRES2,PCMT1,UBA1,XPO5,RPS15,UBTD2,UQCC2
