B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	Neurons	NK	NKT	Pericyte	Plasma
RPS17	RGS1	NKG7	IL7R	LIFR	CKB	LTBP4	PDK4	CPA3	NA	LGI4	CCL5	HLA-DRA	SPARC	HSP90AA1
RPS20	AC092580.4	IL32	FKBP1A	CD320	MT1E	PLAC9	LDHA	NA	NA	TIMP1	TMSB4X	HLA-DPB1	JUNB	CXCR4
RPS11	CD74	JUN	APOC1	IGHG4	C10orf99	SPARC	CTSD	NA	NA	PLP1	IFI27	HLA-DPA1	ADIRF	SPP1
IGHA2	HLA-A	ID2	NCF1	PCDH17	PLA2G2A	TNFRSF12A	CTSB	NA	NA	TPPP3	RPL7A	IGHG4	COL4A2	XBP1
RPS21	TMSB4X	HLA-B	CISH	B2M	FAM3D	TXNIP	APOC1	NA	NA	RPL12	EMP3	RPL3	MIR4435-2HG	CD48
RPL37A	DUSP4	KLRB1	TSC22D3	RAI14	BST2	RAB31	C1QA	NA	NA	NRXN1	IGHG4	KLRD1	TPM4	EEF1A1
HLA-DRB5	IGHG1	HLA-DPA1	NA	C4orf48	LEFTY1	GPX3	OLR1	NA	NA	RPS17	KRT8	RPS4Y1	PRSS23	SPARC
SELL	HLA-DRB1	FOSB	NA	HIF1A	IFI6	IGKC	FOLR2	NA	NA	CRYAB	GPR171	CD82	C2orf40	TNFRSF17
IFITM2	TNFRSF4	HLA-DRB1	NA	CLU	LY6E	ADAM12	IGHG4	NA	NA	RPL39	S100A6	RPS18	COL3A1	S100A6
RPL38	ITGB1	TNF	NA	COL15A1	GSTP1	RUNX1	RPS23	NA	NA	RPL37A	IGHA2	ITGB2	CHN1	LCN2
RPL7A	IGLC2	HLA-A	NA	CD36	PCK1	CXCL12	APOE	NA	NA	TMEM176B	PRMT2	CST3	IL32	BGN
GPR183	ITM2B	HLA-DRA	NA	CAV1	SELENBP1	COL1A2	BLVRB	NA	NA	RPS6	ACTG1	CSNK2B	TPT1	ACTA2
EEF1A1	CCL5	RPS26	NA	LAMA4	NXPE4	COL10A1	CFD	NA	NA	RPS12	MT-CO1	PCBD1	B2M	KRT19
RPSA	RBPJ	ITGB2	NA	NID1	VSIG2	PTN	FGL2	NA	NA	RPS20	NA	CD69	C1R	RPL15
AC090498.1	BATF	CST7	NA	FABP5	CA1	IGHG4	ALDOA	NA	NA	IGFBP7	NA	CXCL13	SERPINF1	FN1
RPS29	PMAIP1	AC092580.4	NA	MMP2	TIMP1	SULF1	CD44	NA	NA	RPL26	NA	SPI1	FSTL1	CCND2
PTP4A2	HSPA1A	ZFP36	NA	MIF	PLA2G16	CNN2	SLC11A1	NA	NA	MT-ND4	NA	CXCL8	IFITM3	HSPA1B
IFI44L	HSPA1B	JAML	NA	LY6E	MIF	TAGLN	RPS18	NA	NA	RPS19	NA	RPS6	MYH11	TSC22D3
TFF3	RPS26	JUNB	NA	GIMAP4	RPL28	POSTN	CALM2	NA	NA	RPL28	NA	PPP4C	RHOB	TFF3
DONSON	FOXP3	IGHG1	NA	LINC00152	PHGR1	COL5A2	CLEC5A	NA	NA	RPL37	NA	CD7	PHLDA1	JSRP1
SMDT1	RPS14	IGKC	NA	SH3BGRL3	ZG16	FCGRT	C1QB	NA	NA	RPL36	NA	SLC16A3	C4orf48	IFI6
RPS14	DONSON	HLA-DQB1	NA	VWA1	CHP2	TNXB	RPL5	NA	NA	ALDH1A1	NA	AC002331.1	UGCG	PRDX4
NEAT1	HBB	CH17-373J23.1	NA	TPT1	ID3	C4orf48	LITAF	NA	NA	IGKC	NA	TSPO	TMSB10	H3F3B
LAPTM5	RPL3	HLA-DQA1	NA	CALCRL	NANS	DPT	RPL19	NA	NA	RPL34	NA	KRT8	PCOLCE	TNFRSF18
CRIP1	TNFAIP3	SAMD3	NA	LINC01235	S100A4	JCHAIN	SERPINA1	NA	NA	RPS16	NA	CTSB	SMOC2	IFITM3
S100A6	XIST	RP11-160E2.6	NA	FKBP1A	TACSTD2	MFAP4	C1QC	NA	NA	PEBP1	NA	SF3B1	LAMA4	RPL3
RPS26	IFI27	HRASLS2	NA	EMP2	TM4SF1	PLPP3	S100A10	NA	NA	RPL18A	NA	NECAP2	LY6E	SPINK2
ANP32B	CD40LG	IGFBP7	NA	CAV2	IGHA2	SULF2	IGHG3	NA	NA	RPL14	NA	SNRPG	RERGL	PTP4A3
IFITM3	COL1A1	S100A4	NA	NAMPT	PDCD4	COL11A1	VSIG4	NA	NA	RPL31	NA	TAGLN	POSTN	IGFBP7
CD48	RPL21	HAVCR2	NA	PRCP	TM4SF4	COL5A1	FCGRT	NA	NA	RPS27	NA	LAP3	COL18A1	S100A11
RPL22	FABP1	IGHA2	NA	MIR4435-2HG	ANXA1	FXYD1	RPL23	NA	NA	MT-ATP6	NA	RBPJ	TYMP	HSPA1A
TCOF1	DNPH1	RBPJ	NA	IGHG3	LEMD1	S100A4	RPS27A	NA	NA	RPL32	NA	IGHA2	ETS1	KRT8
C8orf59	ID2	TMSB4X	NA	RAB13	HMGCS2	LMCD1	MIF	NA	NA	RPS3	NA	TMEM176A	CXCL8	TAGLN
AL928768.3	IGFBP7	KLF2	NA	SERPINH1	MT1M	SPHK1	RPS6	NA	NA	MIF	NA	ANAPC16	COL5A2	C10orf10
SNHG25	CD69	ETS1	NA	CASC15	PERP	PLPP4	LAPTM5	NA	NA	RPS2	NA	COL1A1	LOXL2	RPL6
RSRC2	TIGIT	OASL	NA	GADD45B	C4orf48	TGFBI	SLC16A3	NA	NA	RPL41	NA	IGFBP7	THBS1	GNG7
LSP1	LAIR2	SPINK2	NA	AQP1	UGT2A3	TPM4	GLUL	NA	NA	RPS24	NA	HLA-DRB1	RPL28	RPS14
ANKRD44	IL2RA	XCL1	NA	HLA-DRB1	COL1A1	TSC22D3	CD9	NA	NA	RPL8	NA	CLTA	UACA	MZB1
STK4	CD82	CMC1	NA	GAPDH	IFI27	ACTN1	RPL21	NA	NA	FN1	NA	FABP5	MT-ND3	RPL9
CD24	IFI6	RPS18	NA	PFN1	KLF4	CHPF	S100A8	NA	NA	RPS13	NA	S100P	ITGA1	RPL11
ETS1	RPL34	IGLC2	NA	RPLP1	MMP7	DCN	RPS14	NA	NA	RPLP2	NA	LGALS3	DSTN	LUM
VPREB3	LTB	HOPX	NA	CLDN5	RPL37	THBS2	MS4A6A	NA	NA	MT-CO3	NA	GPX2	FABP4	TNFRSF13B
ZFAS1	EPSTI1	RPL34	NA	SERPINE1	CDKN2A	SEPP1	TSC22D3	NA	NA	GAPDH	NA	NDUFS6	KRT18	IFI27
S100A10	HSP90AA1	IL2	NA	FAM107A	KLK6	PODNL1	IGHA2	NA	NA	RPLP0	NA	ANP32B	IGHG4	ATP5E
RHOA	SEPT1	SELL	NA	AC090498.1	LDHA	MARCKSL1	SPARC	NA	NA	RPS23	NA	ATP1A1	MT-ND4	RPS18
ARF6	RSRC2	CD160	NA	TMEM2	B3GNT7	SLC16A3	GYPC	NA	NA	RPS18	NA	HOPX	IGHG3	CFD
TTC19	RPLP1	PLP2	NA	JUN	IGHG3	SERPINH1	FABP5	NA	NA	TGFBI	NA	PRMT2	PRRX1	PABPC4
IGFBP7	JAML	RPS19	NA	ABL2	BMP4	UNC5B	PKM	NA	NA	LDHA	NA	ATP5EP2	C1S	RPL18
LY9	GLRX	KLRG1	NA	IFI27	TNNT1	TPM2	SLC16A10	NA	NA	BGN	NA	YWHAH	IGFBP7	CEACAM6
ITM2B	LAYN	RPL7A	NA	ETS1	SATB2	PLOD2	TREM1	NA	NA	IL32	NA	FXYD3	ADGRF5	RPL34
APOE	GPR183	DONSON	NA	FAM167B	SLC4A4	SOD3	VCAN	NA	NA	RPS4X	NA	DNAJA1	MIF	IGLV1-41
RNASE6	H3F3A	RPS29	NA	MARCKSL1	NQO1	PDLIM3	ADAM8	NA	NA	MT-ND1	NA	CSF1	PLXDC1	PECAM1
SEPT7	COL3A1	ITGB1	NA	H3F3B	KLK10	OGN	RPL23A	NA	NA	IGHG3	NA	ETS2	LDHA	LYZ
HLA-DQA2	ACTB	GZMA	NA	ATP1B3	ETHE1	ANTXR1	RPL6	NA	NA	RPS5	NA	ZNF706	RCN3	RPS6
ORAI2	ANXA1	ANKRD28	NA	TACC1	RPS15	MMP14	HIF1A	NA	NA	TMSB10	NA	NEAT1	COL5A1	CD69
NACA	FOSB	PTGER2	NA	XIST	CA12	PCOLCE2	FCGR3A	NA	NA	RPL22	NA	COX17	MT-ND2	RPS23
RGS1	PDCD4	CD40LG	NA	JUNB	CDX2	SEZ6L2	TREM2	NA	NA	MT-CYB	NA	ATPIF1	BTG2	RPL23A
NSA2	FAM129A	DUSP2	NA	AP2S1	MUC12	GAPDH	RPS13	NA	NA	PRNP	NA	C1orf162	TUSC3	GRN
ISG20	SAT1	GPR171	NA	P2RY6	SFTA2	SLC12A8	CTSL	NA	NA	H3F3B	NA	CMTM6	RUNX1	RNASE6
GMFG	IFNGR1	ARID5A	NA	C1orf54	IGHG4	IGFBP6	RPL26	NA	NA	RPL9	NA	CHMP5	FLNA	ZFP36L2
HSP90AA1	TSPO	PTP4A2	NA	COL18A1	SLC26A2	MDFI	CSTB	NA	NA	RPL6	NA	SELL	IFI27	RPL30
GLTSCR2	APOE	ARPC5L	NA	ATOX1	LGALS1	KRT8	F13A1	NA	NA	RPS9	NA	SPP1	SERPINH1	BTG1
ANXA6	AC002331.1	EOMES	NA	TIMP3	DENND2A	MYH9	RPL13A	NA	NA	MT-CO1	NA	RPL34	GGT5	RPL26
VPS28	RPLP0	ACTB	NA	MMP14	MT1H	LOXL2	ZG16	NA	NA	RPL35A	NA	CD84	TFPI	PIM2
SUMO1	RAC1	IER2	NA	SRGN	ISG15	FBLN1	STAB1	NA	NA	RPL29	NA	ADI1	PSMB8	CAV1
RBM3	ENTPD1	CFD	NA	IER2	MT2A	KRT19	FN1	NA	NA	TAGLN	NA	MRPS6	ARHGAP15	RPL13
HLA-DQA1	IFITM3	FKBP11	NA	IGFBP5	CEACAM6	KRT18	HERPUD1	NA	NA	RPS14	NA	DYNLRB1	IGFBP6	CD38
HOPX	TPT1	CBX3	NA	ANKRD28	COL3A1	EFEMP1	AQP9	NA	NA	LOX	NA	NDUFA3	GMFG	RPS25
PLAC8	ZBTB16	LIMD2	NA	TMEM255B	ANXA2	NOTCH3	P2RY14	NA	NA	RPL11	NA	SLTM	NDUFA4	TFF1
RAB7A	TBC1D4	RSRC2	NA	HLA-DRB5	ECM1	PDK4	COL3A1	NA	NA	GNB2L1	NA	GLUL	CYBA	RNASET2
S100A11	VOPP1	LYST	NA	ARL6IP1	PRKCDBP	GJB2	UPP1	NA	NA	RPS8	NA	SMS	HSPA2	NEAT1
DUT	AC133644.2	AC090498.1	NA	COTL1	MARCKS	CTSB	RPS4X	NA	NA	RPL13A	NA	CIRBP	CCDC102B	IGLV1-51
IFI27	SUMO2	AC020571.3	NA	MAP1B	TRIM29	MMP11	S100A9	NA	NA	RPL21	NA	GTF3C6	MARCKS	SMARCB1
GGA2	PLP2	CCL4	NA	BGN	HEPACAM2	MIF	MS4A4A	NA	NA	RPS27A	NA	MYEOV2	PPP1CB	RPL19
SRRM2	HSPB1	DKK3	NA	SEMA3F	PKM	PDLIM5	MAN1A1	NA	NA	RPL5	NA	FCGRT	THBS2	RPL8
DDX5	CD52	HSPA1B	NA	PLAT	LYZ	CPQ	COL1A1	NA	NA	RPS3A	NA	TFF3	PLN	RPL39
TMEM154	PTP4A2	RPL28	NA	WDR1	PADI2	SCARA5	SLC2A3	NA	NA	CTHRC1	NA	FYN	MMP11	ERLEC1
SELT	GLCCI1	SNHG25	NA	PNP	COL1A2	ABCA8	PLAUR	NA	NA	PDK4	NA	MT-CO1	PEBP1	IGLV6-57
SOD1	CD3D	LSM14A	NA	UPP1	KLK11	ITM2A	LGMN	NA	NA	MAL	NA	SH3GLB1	F2R	DNAJB1
HSPA1B	SNHG25	CCL4L2	NA	MARCKS	SPARC	FHL2	RPS20	NA	NA	MT-ND2	NA	COPZ1	SPON2	RPL4
STK17A	NDUFB1	PRKX	NA	PXDN	ATP5A1	ENC1	RPL34	NA	NA	MATN2	NA	MRPL43	HES4	RPL10A
CSTB	EVL	CTSA	NA	TBCD	AHNAK2	SRPX	RPL11	NA	NA	RPL18	NA	CD40LG	NID1	VIM
RPL22L1	TSHZ2	IFITM3	NA	INSR	CDA	TFPI	ANXA2	NA	NA	SCN7A	NA	NDUFA4	GADD45B	RPL5
CD44	ABRACL	RPL32	NA	TAX1BP3	PRDX1	RAI14	BCL2A1	NA	NA	MALAT1	NA	SUMO1	HAPLN3	LMAN1
IGLC2	KRT18	CCR7	NA	FAM213A	CLDN3	NREP	GPNMB	NA	NA	MT-ND3	NA	BHLHE40	MZT2B	RPS3
SMAGP	FKBP11	IFI27	NA	LAPTM4B	HSPB1	MFAP5	RPL13	NA	NA	CDH19	NA	PHF20	OLFML2B	RPL31
CD69	RPL37A	ITM2B	NA	ITM2B	COL6A1	PMP22	RPL15	NA	NA	RP11-400N13.3	NA	FUT8	CALU	SPCS3
TMEM156	TNF	HSPE1	NA	MGLL	CDKN2B-AS1	HIF1A	RPL30	NA	NA	RPL7A	NA	KRT18	PPA1	NACA
UBE2I	SMIM3	RORA	NA	TTYH3	LCN2	SOX4	RPL31	NA	NA	RPS28	NA	AURKAIP1	CDH11	RPL13A
MGEA5	PHLDA1	PSMB9	NA	CXCL8	TRABD2A	MMP7	KRT8	NA	NA	RPL23A	NA	IFI44L	GJC1	RPL7
HSPB1	HAPLN3	HLA-F	NA	PON2	NAP1L1	ACTA2	MAF	NA	NA	JCHAIN	NA	HCST	ECH1	RPS20
HLA-DRB1	IFI44L	DGKZ	NA	DYSF	NXPE1	SPP1	RPL27A	NA	NA	ITM2B	NA	REG4	IFITM2	TYROBP
RPL36A	OAS1	C8orf59	NA	TNFSF10	CLDN1	HOPX	RPS25	NA	NA	CA9	NA	SSBP1	ANGPT2	RPLP2
DRAM2	LIMD2	SYTL3	NA	ARPC5L	CAV2	GPNMB	RPS24	NA	NA	RPL10	NA	RNF130	ITGAV	SOCS3
RP11-347P5.1	RNF145	XCL2	NA	CLTC	MT1X	SMIM14	RPL7A	NA	NA	RPL15	NA	CTSH	SGIP1	RPL29
EIF4A2	NDUFS6	C12orf75	NA	SRSF7	RPS4Y1	KIAA1217	ATP6V1F	NA	NA	TPM2	NA	STOM	LMCD1	TPM2
EIF5A	TYMP	FNBP1	NA	PPP1R14A	ADTRP	SERPINE1	GCHFR	NA	NA	EEF1A1	NA	SEPT6	CFD	CIRBP
PPP1R15A	CFLAR	TSC22D3	NA	COLGALT1	ST6GALNAC6	MICAL2	LINC01094	NA	NA	UBA52	NA	NDUFA2	RCAN2	ITGB7
SNHG19	FOS	EIF5A	NA	TFF3	UQCRC1	RNH1	ACTN1	NA	NA	RPS15	NA	NINJ2	ENO1	RPS4X
RPL17	PHGR1	KRTCAP2	NA	CA4	RAMP1	PMEPA1	ENO1	NA	NA	TMEM176A	NA	MNDA	BGN	GLTSCR2
IER2	PPP2R5C	RNF213	NA	PICALM	SULT2B1	COL12A1	SLC40A1	NA	NA	S100A4	NA	FCGR1A	SORBS2	EIF4A2
EPSTI1	HCST	RPS11	NA	NUDT14	APOBR	TGFB1	FABP1	NA	NA	IGHG4	NA	LHFPL2	MARCKSL1	KRT18
CD82	PFDN5	XIST	NA	NREP	CTSB	IGHG1	LTC4S	NA	NA	SLC38A5	NA	PSMC3	TDO2	CCR10
ZRANB2	GADD45A	IL7R	NA	CD74	SLC2A1	LSP1	LHFPL2	NA	NA	CTSB	NA	PYCARD	LMO4	MYL6
