B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	Neurons	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	NEDD9	GMPPB	MYADM	LAMP1	NA	NA	NA	NA	NA	SCO2	NA
NA	NA	NA	NA	H2AFZ	AFG3L2	ERO1A	TRAPPC1	NA	NA	NA	NA	NA	EDNRB	NA
NA	NA	NA	NA	RAB31	TPD52	HIGD1A	NUMB	NA	NA	NA	NA	NA	NDUFA7	NA
NA	NA	NA	NA	PHGR1	TMEM123	PGAM1	TIMM9	NA	NA	NA	NA	NA	NFIA	NA
NA	NA	NA	NA	GADD45A	HSPG2	FABP1	FOSL2	NA	NA	NA	NA	NA	HMGN3	NA
NA	NA	NA	NA	PTP4A3	AK3	PPIB	RPL22L1	NA	NA	NA	NA	NA	LRRC32	NA
NA	NA	NA	NA	PITPNA	PTMA	RSPO3	CRTAP	NA	NA	NA	NA	NA	SRRM2	NA
NA	NA	NA	NA	SGK1	RTN3	ATP6AP2	EPHX1	NA	NA	NA	NA	NA	S1PR3	NA
NA	NA	NA	NA	FHL3	MYB	PERP	CAPZB	NA	NA	NA	NA	NA	EMILIN1	NA
NA	NA	NA	NA	FOS	RNF128	SGK1	SERPING1	NA	NA	NA	NA	NA	POLR2H	NA
NA	NA	NA	NA	TMEM100	CMAS	ZEB2	EIF3K	NA	NA	NA	NA	NA	C19orf24	NA
NA	NA	NA	NA	LRRFIP1	GPR160	SNRPB	CAPZA1	NA	NA	NA	NA	NA	SP100	NA
NA	NA	NA	NA	NRN1	PEBP1	RPL22L1	SRP9	NA	NA	NA	NA	NA	ETS2	NA
NA	NA	NA	NA	UGP2	RP11-1143G9.4	PHLDA3	MMP12	NA	NA	NA	NA	NA	TCF21	NA
NA	NA	NA	NA	EEF2	CLMN	ZFYVE21	SH3TC1	NA	NA	NA	NA	NA	RP11-803D5.4	NA
NA	NA	NA	NA	EIF2AK2	HMGN5	RNF13	MAPK6	NA	NA	NA	NA	NA	NOP10	NA
NA	NA	NA	NA	SPARCL1	RRAS	DNAJC19	ATP6V0D1	NA	NA	NA	NA	NA	SNHG9	NA
NA	NA	NA	NA	DUSP23	PNKD	RHOC	SCN1B	NA	NA	NA	NA	NA	ANKRD12	NA
NA	NA	NA	NA	EPB41L3	VIM	RPS17	FOXO3	NA	NA	NA	NA	NA	MYO1E	NA
NA	NA	NA	NA	SRSF3	HSPB11	GPBP1	LACC1	NA	NA	NA	NA	NA	AC097724.3	NA
NA	NA	NA	NA	MFAP2	HSPH1	SEMA3E	ANKRD12	NA	NA	NA	NA	NA	CORO1B	NA
NA	NA	NA	NA	CTSL	C10orf10	GATA6	PIGR	NA	NA	NA	NA	NA	ENPEP	NA
NA	NA	NA	NA	RBM7	RPL15	C7	HBB	NA	NA	NA	NA	NA	CNN1	NA
NA	NA	NA	NA	SH3PXD2A	FOXA3	A2M	RP11-670E13.6	NA	NA	NA	NA	NA	ECM1	NA
NA	NA	NA	NA	PPP1R9B	GNPTAB	COL15A1	SEC61B	NA	NA	NA	NA	NA	WDR26	NA
NA	NA	NA	NA	GABRD	CCDC64B	TRAPPC1	RAP2B	NA	NA	NA	NA	NA	NET1	NA
NA	NA	NA	NA	SIPA1L2	TMEM261	ANKRD28	GPCPD1	NA	NA	NA	NA	NA	DDIT3	NA
NA	NA	NA	NA	HEG1	CCL28	ENSA	COTL1	NA	NA	NA	NA	NA	CCNL1	NA
NA	NA	NA	NA	NMT1	RPL12	THBS1	NCF2	NA	NA	NA	NA	NA	CDS2	NA
NA	NA	NA	NA	PLK2	RBM47	TGFB3	OXA1L	NA	NA	NA	NA	NA	TMED9	NA
NA	NA	NA	NA	DDX18	CFD	HSPE1	SYNGR2	NA	NA	NA	NA	NA	TOMM20	NA
NA	NA	NA	NA	STXBP6	HMGA1	DPYSL2	WLS	NA	NA	NA	NA	NA	LIMS2	NA
NA	NA	NA	NA	NKX2-3	PHYH	GBP1	TCEB1	NA	NA	NA	NA	NA	GLS	NA
NA	NA	NA	NA	ABI3BP	SLC40A1	ARHGDIA	LRP1	NA	NA	NA	NA	NA	MIDN	NA
NA	NA	NA	NA	SLC4A7	TMEM171	ABI3BP	CTNNB1	NA	NA	NA	NA	NA	ITGA5	NA
NA	NA	NA	NA	EMCN	OAS3	SERP1	CD40	NA	NA	NA	NA	NA	CALM2	NA
NA	NA	NA	NA	TIMM17A	SERF2	FEZ1	ARF4	NA	NA	NA	NA	NA	PLPP1	NA
NA	NA	NA	NA	IER3	BCAP31	MAP1LC3B	AP3S1	NA	NA	NA	NA	NA	MORF4L2	NA
NA	NA	NA	NA	NTN4	ACTN4	EIF4A2	MAP3K11	NA	NA	NA	NA	NA	DNAJA1	NA
NA	NA	NA	NA	RPL18A	HSBP1	GNG5	ERP29	NA	NA	NA	NA	NA	CITED2	NA
NA	NA	NA	NA	NENF	ATP2C2	SLC2A1	ADGRE5	NA	NA	NA	NA	NA	TRIP6	NA
NA	NA	NA	NA	GBP1	SLC39A7	MT1X	DDAH2	NA	NA	NA	NA	NA	NEURL1B	NA
NA	NA	NA	NA	IDI1	LRRC75A	CALB2	PHC2	NA	NA	NA	NA	NA	PCBD1	NA
NA	NA	NA	NA	FABP4	PPA1	COLEC12	UQCR11	NA	NA	NA	NA	NA	TRIM38	NA
NA	NA	NA	NA	CPXM2	SUMO2	CAPZB	CTSZ	NA	NA	NA	NA	NA	MYO1C	NA
NA	NA	NA	NA	RPL37A	PFN1	C1S	FXYD6	NA	NA	NA	NA	NA	EIF3M	NA
NA	NA	NA	NA	GBP2	PLAC8	EPDR1	EPB41L4A-AS1	NA	NA	NA	NA	NA	CD59	NA
NA	NA	NA	NA	RBFOX2	SLC44A1	HNRNPDL	SERPINB9	NA	NA	NA	NA	NA	HSPA1B	NA
NA	NA	NA	NA	TAF7	HOXB6	CCDC71L	ITM2C	NA	NA	NA	NA	NA	TTC19	NA
NA	NA	NA	NA	RPS2	NIPSNAP3A	GNPTAB	MESDC2	NA	NA	NA	NA	NA	CAMK1	NA
NA	NA	NA	NA	CCNL1	NDUFV1	HSPA1A	EVL	NA	NA	NA	NA	NA	FHL5	NA
NA	NA	NA	NA	GUK1	TSPO	MT-ND2	TBC1D14	NA	NA	NA	NA	NA	NAA10	NA
NA	NA	NA	NA	SERPING1	ATP2A3	GGT5	ZNF385A	NA	NA	NA	NA	NA	CRIM1	NA
NA	NA	NA	NA	CLIC1	FBXO25	ARPC2	ATP1B1	NA	NA	NA	NA	NA	LDOC1	NA
NA	NA	NA	NA	ARRDC3	HSD3B7	ITIH5	RAC2	NA	NA	NA	NA	NA	NPY1R	NA
NA	NA	NA	NA	PSIP1	PKP3	RBM3	SPCS3	NA	NA	NA	NA	NA	PLSCR1	NA
NA	NA	NA	NA	ENAH	SNRPB	FUS	HSPD1	NA	NA	NA	NA	NA	ATF3	NA
NA	NA	NA	NA	BTG1	MEP1A	SNAI2	ACTB	NA	NA	NA	NA	NA	SDHD	NA
NA	NA	NA	NA	LGALS9	SCP2	SCN7A	ATP6V1G1	NA	NA	NA	NA	NA	SAT1	NA
NA	NA	NA	NA	OST4	C14orf2	NPC2	UBE2B	NA	NA	NA	NA	NA	GPX8	NA
NA	NA	NA	NA	CYBA	ISG20	CPNE3	ACSL4	NA	NA	NA	NA	NA	FKBP1A	NA
NA	NA	NA	NA	CAPG	IGFBP6	LAMC1	BNIP3	NA	NA	NA	NA	NA	RPL18A	NA
NA	NA	NA	NA	HLA-B	PQLC3	COL4A2	SERPINB1	NA	NA	NA	NA	NA	CRABP2	NA
NA	NA	NA	NA	NRGN	VDR	HLA-C	GUK1	NA	NA	NA	NA	NA	FHL1	NA
NA	NA	NA	NA	LIMS2	APOC1	HTRA1	PGLS	NA	NA	NA	NA	NA	MRPL3	NA
NA	NA	NA	NA	TCEB2	LINC00261	MGMT	GRB2	NA	NA	NA	NA	NA	COX7A1	NA
NA	NA	NA	NA	CSTB	GLG1	ANO1	KLF10	NA	NA	NA	NA	NA	PTP4A2	NA
NA	NA	NA	NA	FGL2	ACP1	PLPP1	TLE4	NA	NA	NA	NA	NA	DDIT4	NA
NA	NA	NA	NA	RRAS	SNRPB2	DNAJB1	HSPA5	NA	NA	NA	NA	NA	SLC25A3	NA
NA	NA	NA	NA	RPL12	IRF7	PDIA4	FXYD5	NA	NA	NA	NA	NA	HADH	NA
NA	NA	NA	NA	CRACR2B	LRRC26	BEX4	ACER3	NA	NA	NA	NA	NA	HSD17B12	NA
NA	NA	NA	NA	UQCR11	RPS26	ZFAND5	SATB1	NA	NA	NA	NA	NA	PDIA4	NA
NA	NA	NA	NA	RPL7A	ACAA1	SRSF7	CAT	NA	NA	NA	NA	NA	GSTA4	NA
NA	NA	NA	NA	FAM171A1	NDUFA10	AKR1C1	TRA2B	NA	NA	NA	NA	NA	RARRES3	NA
NA	NA	NA	NA	YIPF6	ELF3	BTG1	MGLL	NA	NA	NA	NA	NA	PDK4	NA
NA	NA	NA	NA	TMSB10	ENC1	WASF2	CTSC	NA	NA	NA	NA	NA	ANGPTL1	NA
NA	NA	NA	NA	STARD3	PFDN2	ARHGAP1	PER1	NA	NA	NA	NA	NA	SNRNP27	NA
NA	NA	NA	NA	GABARAPL1	PDXK	TRIOBP	CHMP1B	NA	NA	NA	NA	NA	ETHE1	NA
NA	NA	NA	NA	ZBTB16	CD24	RSRC2	CD4	NA	NA	NA	NA	NA	JAG1	NA
NA	NA	NA	NA	APOE	SNHG7	GPC6	UBE2D1	NA	NA	NA	NA	NA	SYTL2	NA
NA	NA	NA	NA	GUSB	GLS	RHOBTB3	EPS15	NA	NA	NA	NA	NA	VAMP3	NA
NA	NA	NA	NA	ARF3	NUDT16	CHD9	S100A12	NA	NA	NA	NA	NA	FMO3	NA
NA	NA	NA	NA	FHL1	GLUL	VAMP5	CITED2	NA	NA	NA	NA	NA	RPS19	NA
NA	NA	NA	NA	COL13A1	CAPN1	ABHD14A	HNRNPUL1	NA	NA	NA	NA	NA	SEPT11	NA
NA	NA	NA	NA	HEXIM1	PDLIM2	UXT	ABHD11	NA	NA	NA	NA	NA	YPEL2	NA
NA	NA	NA	NA	THY1	EIF2S2	CLMP	BCAP31	NA	NA	NA	NA	NA	SEC61B	NA
NA	NA	NA	NA	FGD6	MRPL36	LDHA	PTP4A1	NA	NA	NA	NA	NA	PDGFRB	NA
NA	NA	NA	NA	GBP4	XRCC4	LINC01133	CLIC2	NA	NA	NA	NA	NA	TMEM59	NA
NA	NA	NA	NA	SAT1	C9orf152	OST4	STXBP2	NA	NA	NA	NA	NA	RND3	NA
NA	NA	NA	NA	TUBA1A	DCBLD2	DNAJA1	AES	NA	NA	NA	NA	NA	TTC3	NA
NA	NA	NA	NA	HMOX2	TTC38	KCNN3	BLOC1S1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FXYD3	SERPINH1	NOP10	DOK2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS3	TMEM92	KLRD1	SUB1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EAPP	ITGB5	ECI2	HBA2	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IFI35	SNRPF	HSPB1	SDC3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CTSH	RHOC	KDELR2	EIF3H	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PCSK5	RPS17	PPP1CC	RPA3	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CHSY1	DYNLT3	HSPA8	LRRFIP1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C10orf54	KRTCAP2	PPL	PLEKHO1	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SLC39A10	IDH2	FXYD6	HLA-DMB	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ICAM2	SMPDL3A	ADAMTSL4	KCTD12	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM13C	SLC22A18AS	C19orf53	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DDIT4	CHMP1B	SYPL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TNFRSF4	KLF6	TGIF1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DYNLL1	RPL37A	NUPR1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TPD52	ATP5D	PHPT1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM49B	XBP1	CERCAM	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CLDN15	YWHAZ	KLF6	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ENPP2	FOXP1	PCBD1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ALDOA	NDUFV2	MAPKAP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EGR1	RPL27A	CBR1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ITGB1	CASP4	ACSL4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS11	TGFBR2	GNG11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ANKRD12	AGR2	VAT1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZFAND1	EIF3L	ATP1A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	YPEL2	SEP15	TMED4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FXYD6	HSD17B12	HSD17B11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UBE2L6	QTRT1	SEC61B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TFPI	FAM195A	CXCL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CBLB	ENTPD8	TAF7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TUBB4B	DSTN	SPTBN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARHGAP21	BTG1	SNHG9	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CXCR4	RPS11	NUCKS1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDKN1A	TUBA1C	CKLF	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PARP9	ATP5I	TGFBR2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EVA1C	LAPTM4A	PPT1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LYZ	POLR2L	RGS4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CYR61	ALDH1A1	CCNL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EEF1B2	ITGB1BP1	EAPP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SNHG15	ANPEP	CST2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UNC5B	ZYX	FOS	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ADRB2	ATP5O	RPL12	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HLA-DQB1	ATP6V0E1	AHR	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BAALC	NDFIP2	GADD45A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CPE	NDUFB8	CKB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ALDH2	RPL31	S100A11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LUM	PTPN12	CLEC11A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARPC3	DNTTIP1	PDLIM2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C5orf56	RPS25	SMIM19	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KIAA1671	NDRG1	NEGR1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ITGA1	UBE2H	RERG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NMT2	GLRX5	PSMA2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DNAJB4	SSB	NTM	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	S100A4	FIBCD1	RNF146	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RBP5	DSP	BHLHE41	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	INTS6	FAM83H	ZBTB20	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HIBCH	QARS	NCOR1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS9	CDHR5	DST	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SELE	NDUFA13	ARMCX1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDKN1C	TRAM1	KMT2E	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPL23	CYB5R3	BAG2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PODXL	DPY30	NDRG2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SERPINE2	TNNC2	CD151	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SELP	S100A16	TMEM176A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TAGLN2	RPL34	CNN3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EXOC6	CLDN4	RBBP7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FILIP1L	MRPL2	PHIP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NPC2	C19orf60	CARHSP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ATP8B1	NFAT5	SSPN	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NFKBIA	SLC16A3	DAAM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TNFAIP3	CUL4A	PPP1R10	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ADIPOR2	MT-CO3	PDGFRA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FXYD5	STK24	CELF2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS12	BDH1	SGCG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RBP7	P4HB	DHRS7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BBX	RPL39	ABLIM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MEG3	RPL22	FUCA2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EGFL7	CCT6A	FGL2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	OFD1	FERMT1	CALCOCO2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AC013461.1	AHCYL2	SLPI	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS16	SEPP1	AADACL2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TXN	CANX	RPLP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SRPX	ECI1	TLE4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CALR	EIF3K	PRELID1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VEGFC	GSN	MYDGF	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DCN	TSPAN3	ZFP36	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NT5E	MFSD10	PQLC3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	COL3A1	TOMM7	CILP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PDE2A	NUTF2	ZC3H12A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAOA	ACAA2	GUK1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ID3	PPP6R1	JAM2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PDLIM1	CACYBP	CAP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CYTL1	FHL2	IRF2BP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PGM5	TMC5	ARHGAP29	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS3A	KLF3	UQCRH	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TSPAN2	NUDT16L1	RCAN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYLIP	APLP2	COX7A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	S100A6	ACTN1	MALAT1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS4Y1	SGSM3	ACTR10	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IGLC3	ETFA	CHRDL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SOD2	IER3	GUSB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NR4A1	IDS	LRP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UBA52	F12	MXRA8	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VCL	DECR1	GULP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HSPA1B	NDUFS2	APOC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LMNA	ATF3	COPZ2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPL37	ANKRD9	COL4A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LINC01116	EAPP	ZNF106	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TM7SF3	PLEC	AGR2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MALAT1	CD47	ARPC5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ANKRD29	SNRPD1	PHGR1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SGCE	SLC6A8	FAM63B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	OAZ1	CEACAM1	AKR1C3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RAMP3	FAM120A	ACAT1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TCOF1	MRPL52	CRISPLD2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MEIS2	H3F3A	FAM43A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	APOC1	RPL21	CYP1B1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BTN3A2	SLC3A2	ANG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PERP	ADRM1	PCYOX1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HINT2	LINC01420	MORF4L2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IGFBP2	EIF1	PROS1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KLF6	IGLC2	RBP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FES	CALM2	HTRA3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPS4X	UCHL3	ECHDC2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PIK3IP1	ERBB3	EGR3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CETN3	FAM96A	JUNB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	COX7A2	CORO1A	CYP4B1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	METTL7A	SP100	TCEB2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ISYNA1	ACTB	THYN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SELENBP1	ASS1	GPC3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	F8	MRPL14	PNRC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TMEM140	CHCHD2	ITGA11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDC42EP4	STAT1	TNS2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AKR1C3	MSI2	EGFL6	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HSP90AA1	MALAT1	PIK3R1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CYBRD1	RPS27L	FAM129A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ODF3B	CDIPT	CRABP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VCAN	PVRL2	MAP7D3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HOXB4	SEMA3B	FN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C1QTNF9	KIAA1551	RND3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ACE	LAD1	AKR1C2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STK38L	RSL1D1	MBP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CXCL1	MRFAP1	RPL41	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CKB	C16orf13	CYP20A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HYAL1	RNF213	RABAC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TYROBP	IP6K2	CXCL2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FBXO21	MRPL41	RNF130	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CAT	BHLHE40	NPM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MX1	POLR2I	SEC62	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EBF1	RPS3A	LRRC32	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RBMS3	FAM3C	BDH2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SH3BGRL2	NCOR1	HIST1H4C	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CRELD1	EIF3B	CCNDBP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ELMSAN1	UAP1	SPG20	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IFIT1	MBOAT2	GPX8	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	OSBPL1A	ZG16B	C16orf45	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DLL1	NSMCE1	HCFC1R1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PDLIM3	HNRNPDL	PCM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RUNX1T1	REEP3	FOXO3	NA	NA	NA	NA	NA	NA	NA	NA
