B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT
EIF1	CXCL13	HLA.C	PDLIM1	RPS12	TIMP3	FBLN2	SVIL	HLA.B	SNHG25	GZMB	KIAA0101
PTGES3	BTG1	PTGES3	UBB	MTRNR2L12	S100P	VCAN	GPD1	UACA	TUBA1A	GZMA	PTTG1
FAM65B	IGHG1	RGS1	EGR1	PABPC1	RPS16	IGLC2	LY6E	UBB	FKBP5	IGLC2	DNPH1
PMAIP1	DNAJB4	SQSTM1	TPI1	HSPB1	GPX2	SRSF5	GLDN	SCGB1A1	C1QA	AREG	CD74
SESN1	LGALS1	EGR1	ABI3	HTRA1	RTKN2	PHC2	IGHG4	RPL35A	RPS2	UBB	CD247
CD83	ATP2B1	S1PR5	STK17B	TMEM204	RPS15A	TMEM55B	MGST3	DNAJA4	SRGN	CCL4	CST7
IGLC2	SCGB3A1	MT.CYB	JUN	IFNGR1	SLC39A8	TMSB10	CFD	IGHM	PKM	RGS1	PTMA
C1QB	CHORDC1	FGFBP2	GLTSCR2	RPS6	CD9	LAMB1	CPE	RPS27	RHOG	ZFAND2A	PKM
TCP1	CD99	PPP1R2	HLA.DRB1	UQCRQ	SCGB1A1	CFLAR	TXN	RAB27B	CFP	LDLRAD4	STMN1
PLPP5	SQSTM1	ANKRD37	LINC00969	ZNF385D	NCKAP5	HSPA1A	IGHG1	HLA.A	TMEM176B	DUSP1	FKBP4
NR4A1	YPEL5	CKS2	TAGLN2	BTNL9	RPL27A	FBLN1	GS1.600G8.5	METTL15	CRADD	CD83	MT.ND2
LINC00926	REL	EEF1A1	MT.ND1	RPL18A	TCEB2	C1R	IGLC3	CD69	PGLS	MYO1F	CHORDC1
FAM129C	TIGIT	STIP1	SERPINH1	RPL12	UQCC2	SDC2	INHBA	IGHG1	ARHGDIB	RPLP1	MT.ND1
SLBP	AHSA1	RPL5	CALR	GJA1	TXNDC17	HNRNPA3	TMEM176A	RPL31	ARID3A	LMNA	UBC
CD74	MT.ND2	TCP1	ACTG1	RAB13	FABP4	LGALS1	GYPC	MRPL18	FABP4	PFN1	SIRPG
HLA.DMB	TYROBP	MYL12A	CSF2RA	ACVRL1	RPL28	DAZAP2	PNPLA6	SPP1	ARPC1B	ANKRD37	RAN
CD37	RGS2	MT.ND3	GLA	RPS3	GPRC5A	ITM2C	MS4A6A	EEF1A1	PPDPF	ITM2C	KLRF1
YBX3	MARCO	MYO1F	S100B	MARCKSL1	RPS18	PDGFRB	SFTPC	B2M	EIF3H	MRPL18	SFTPC
APOC1	CCL4	NKG7	CA2	HSPE1	DAPK2	RGN	TAGLN2	ZSWIM4	UQCRB	PYHIN1	UBB
DUSP2	CD7	PRF1	HLA.C	NBEAL1	CEACAM5	PDHB	GPR183	S100A6	RPL6	NFKB1	MIF
GPBP1	STK17A	PPP1R15A	SRGAP2B	RPS23	CLDN18	SSRP1	AGRP	DUSP6	RPS21	EIF5	BATF
ELL2	CFD	RPL6	CLEC4F	S100A4	FABP5	RRBP1	GCHFR	TIMP1	VASP	CD44	RGS16
EIF5	SERPINA1	KLF2	CACYBP	MT1E	MT.ND1	RPL13	GLRX	GAPDH	RBM3	DEDD2	CD3D
JUND	PMAIP1	NEU1	TMEM160	VWF	VSIG1	MAGOH	MIR3945HG	RPL38	ARPC2	SERPINH1	NR4A1
PLAC8	FTL	AES	ANTXR2	NCOA7	MUC5AC	GNG11	TCF7L2	MGST3	CLEC4E	KRT81	MT.ND3
DUSP10	MT.CYB	MT.ND2	ANKRD37	EMCN	FAM105A	SSU72	RGS2	RPS27L	RPL22L1	AHSA1	HMGB2
SNX2	SCGB1A1	EMP3	HSPA6	INSR	MUC13	MXRA5	GRN	CIRBP	NDUFA2	CD247	CORO1B
PRDX1	XIST	DOK2	MRPL18	RHOB	RAB11FIP1	RNF139	SERPING1	RPL36	ARL6IP4	SFTPC	SMC2
MTHFD2	TGFB1	IGHM	FCGBP	RPS9	MT.CO2	PDK4	RP5.839B4.8	FKBP4	LINC00152	FKBP4	CHN1
H2AFZ	ZFAND2A	SAMSN1	C15ORF48	IFI27	CAT	MFAP2	RGS10	RPL37A	TFRC	ID3	MB21D1
TMSB10	ICA1	RPS3A	CXCL16	LAPTM4A	UQCRQ	MFAP5	MLPH	SERPINH1	RBPJ	BIRC3	RELB
TPD52	CCR7	ITGB2	IL22RA2	NDRG1	ARHGEF26	RPS2	LMNA	DOK2	PSMB8	FAM177A1	ID3
VAMP2	MYLIP	RPL11	P2RY13	RPS17	UQCRH	SPG7	FPR2	PEBP1	PDE4B	CHORDC1	MKI67
CASP8	CST3	PLEK	SLC39A10	RPL36	SERINC2	IGHG4	MYL6	SELK	NBEAL1	PIM3	RBPJ
LRIF1	LRRFIP1	CCT4	BTG2	NNMT	BACE2	RAB13	RBP4	APOE	HNRNPA1	IGHM	TUBB
PIM3	MT1X	RPL34	UTS2	CAV1	LMO7	SULF1	MARCKS	C8ORF59	CCNDBP1	JUNB	AHSA1
SMIM14	FAM177A1	MT.ND1	CYBA	MALL	NQO1	FABP4	AQP3	GLTSCR2	UBL5	PPP1R15A	CCDC167
HSPA6	FCER1G	HCST	METTL15	UTP11	OST4	INHBA	CXCL3	GLUL	USP15	SLC7A5	CTLA4
BCL2A1	GZMH	FAM65B	IER3	COL4A2	CAV2	CRIM1	LRRFIP1	CLNK	RPS26	RPS4Y1	CD37
EGR1	AHNAK	ATF3	MXD1	TSC22D3	LCN2	SYDE1	GAPDH	LXN	COX5B	PRSS23	SMC4
H3F3B	SRGN	RPS10	MT.CYB	RPL15	TTLL7	DDX5	OAZ1	RALGAPA1	ANXA5	GZMM	TNFRSF9
LMNA	ANKRD37	CST7	SRSF5	PNP	CXCL14	HECA	CXCL16	RPL22	RPL3	CD99	PCNA
IGHG3	CD83	BTG1	DNAJB4	PSMB9	PDIA4	RPS24	RAB11FIP1	JCHAIN	SNHG8	TNFSF14	MYO1F
SAMSN1	JUNB	PTMA	JUNB	SARAF	RPL22	ATP1B1	ANKRD28	ZFP36	BRK1	KLRC1	CD82
UBC	ZNF331	GZMM	BCAS2	SHFM1	DENND3	PDLIM1	STXBP2	RPL14	SLC7A7	DNAJB4	DNAJB4
ARHGDIB	TXN	FCGR3A	RPL22L1	C1QA	RPL36	PCOLCE	SCGB3A1	EMP3	H2AFZ	PLAC8	CCT6A
ATP1B3	STIP1	IGLC3	NFKBID	MTRNR2L8	MUC5B	GSN	RND3	MAOB	RNASET2	EGR1	NKG7
JUN	TNFRSF18	EIF4A3	IGHM	STAB1	GADD45B	MRPS35	DECR1	TUBA1B	RNH1	BIN2	TOP2A
SRGN	IL7R	GPBP1	POU2F2	HIF1A	RPS27	MAGED1	FBP1	RPL30	EIF3F	VAMP2	NOP58
MRPS6	ADGRE5	ZNF331	CD37	ACTN1	TFF1	WBP11	FCGR2B	SERPINB1	IGSF6	PPP1R2	NFKBIE
RGS2	MRPL18	BIN2	EEF2	CIRBP	RPL30	VAMP2	CD14	MS4A2	GLTSCR2	KRT86	CD27
MARCO	FOSB	SRSF7	CIRBP	CA4	GKN2	DPYSL2	ANXA5	MT.ND3	HSPA1A	SQSTM1	STAT1
HLA.DOB	MRPL1	SLC7A5	NR4A1	RPS15A	METTL7A	FAP	AOC3	DYNLL1	EIF1AX	ARL4C	MCM7
SCGB3A2	GK	HSPA4	PPM1N	PPIC	LGALS4	ADH5	ACP5	EIF3D	MYO1F	ACTB	H2AFZ
S100A4	SOD1	LYAR	NFKBIZ	AP2S1	SPOCK2	MAF1	PPIC	JUN	RGS18	FABP4	EGR1
LTB	AES	C12ORF75	EMP3	RPL39	IGFBP7	RPL39	CEBPD	IFITM2	ANXA11	MCL1	IGHM
UPF2	H3F3B	MB21D1	SCGB1A1	EMP1	PLLP	IL32	HDDC2	IGLC3	IFI30	ZNF331	SPP1
ATP1A1	DNAJB6	YPEL5	ZFP36	PRX	SCEL	OSTC	MIF	UQCRH	TCF25	DNAJB6	TPI1
RPL13	BAG3	RPS6	IL1R2	RPS4X	SEC61G	ARID5B	HP	RPL6	CBX3	BAG3	SLC5A3
IER5	PRMT9	RPS14	MYADM	RPL34	PDLIM2	PPP2R1A	ADAM17	ID2	CCNL1	SPINK2	CKS2
NCKAP1L	JUND	KLRD1	FILIP1L	VIPR1	GUK1	PBXIP1	SEPT11	NPM1	LEPROTL1	GZMK	TYMP
PTPN6	CCL18	PLAC8	FKBP4	RPL10A	BOLA2B	TOR1A	MS4A7	MT2A	SPN	S100A6	TRAC
EIF4A3	SCAND1	JUND	LRRFIP1	HERPUD1	HOXB7	SSFA2	UBB	AKAP12	CIRBP	C12ORF75	TK1
TXNIP	PPP1R2	MT.CO2	NFE2L2	ABL2	RAMP1	ZNF280D	ARL4A	UBC	CYBA	AES	GLTSCR2
KLF2	MT1E	SLC5A3	CAPZB	HMGN1	COL1A1	HBP1	FGL2	EEF2	JUN	PDE4B	UBE2C
CREM	ICOS	RPSA	AKAP13	FTL	MT.ATP6	WDR46	ADTRP	CPA3	LGALS9	RAC2	HSPA4
MB21D1	CREM	H2AFZ	CXCR4	WWTR1	PTMA	HIGD1B	LYAR	NFKB1	ARPC4	RGS16	ZEB2
GMFG	EIF5	TRA2B	FTH1	CD300LG	CKB	SCYL1	MMP19	DYNLT1	HN1	GEM	UBE2T
RPL8	CTLA4	RPL14	AIF1	POSTN	AQP4	HIKESHI	RNASE1	NDUFA4	SLC25A6	RBPJ	CALM3
RALGAPA1	BCAS2	ARL4C	ADGRE5	CFLAR	RPS23	FBN1	ALDH1A1	CKS2	PPP1CA	RELB	TPM4
YPEL5	GEM	HLA.E	CD55	IGLC3	RPLP1	HSD17B12	F13A1	AC090498.1	SNRPF	DYNLL1	PLAC8
HN1	POLR2J3	PRDX1	CELF2	EDN1	SSR4	CTSK	PLTP	BTG2	EIF1AY	CAPG	MT.CYB
DYNLL1	DUSP4	RPS8	RGS2	FKBP5	CA9	TRIM33	UBASH3B	RPS29	IRS2	SRGAP3	SPATS2L
GLA	SH3BGRL3	TANK	FCGR2A	SERP1	DUSP1	TIMP1	VIM	ALOX5	HSP90AA1	H3F3B	LYAR
HSPA4	TNFRSF9	RPL21	TNFSF14	FLOT1	RPL34	UQCRB	DEFB1	NDUFB1	KTN1	GNA15	RGS10
RNASE6	PCSK7	ZFP36L2	TMEM123	CSRNP1	RPL23A	PMEPA1	FAM26F	MID1IP1	CD53	KLRD1	BIN2
RPL18A	TAGLN2	TUBB4B	MAFF	ATP5J	GOLM1	HOXB4	RNASE6	TWISTNB	SNW1	ARPC2	ACTB
S100A6	LINC00969	FABP4	COTL1	AC090498.1	ALDOA	DTD1	TPI1	LYN	NOP10	KLHL6	BOLA3
KDM6B	MAGEH1	TNFSF14	P2RY14	RPL37A	GPM6A	CEBPD	ZNF331	SNHG8	ATP6V1A	NFKBIA	CDK1
GNL3	GRN	RPS27	FKBP1A	RPL31	SPINK5	AEBP1	SNX10	STIP1	PGAM1	YPEL5	MRPS6
BASP1	CHMP1B	RPS3	CIB1	RAMP2	DUOX1	LAMC1	S100A10	RPSA	CCNI	HLA.F	EZH2
NASP	CSTB	S100A6	SERTAD1	TOMM20	ADRB2	FERMT2	FYB	XXBAC.BPG13B8.10	FGR	SOD1	SIT1
GRK6	GLA	CLEC2B	CRIP1	RPS21	RPL26	UGP2	APIP	EIF5	RPL37	SLC5A3	DNMT1
BCAS2	HOPX	NUDC	HCST	HIF3A	IGHG4	ADK	C15ORF48	MITF	XIST	CKS2	MRPL51
TRAF3IP3	SIRPG	RBPJ	AAED1	LIMS1	CAMK2N1	PNISR	SPOCD1	RACK1	DNAJB1	ATF3	RPL3
