B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT
NA	NA	NA	NA	NA	MSMB	NA	GNPDA1	NA	NA	IFNG	COX6B1
NA	NA	NA	NA	NA	SLIRP	NA	GSN	NA	NA	VPS26B	MCM10
NA	NA	NA	NA	NA	MRPL52	NA	KPNA2	NA	NA	ABHD17A	WASF2
NA	NA	NA	NA	NA	CNTRL	NA	TAGAP	NA	NA	ENC1	GTF2H5
NA	NA	NA	NA	NA	RP11.1008C21.1	NA	OAZ2	NA	NA	CHCHD7	CD55
NA	NA	NA	NA	NA	UBE2H	NA	TWISTNB	NA	NA	SEC11C	LPIN2
NA	NA	NA	NA	NA	CYCS	NA	CST7	NA	NA	RPS26	CFL1
NA	NA	NA	NA	NA	MARCO	NA	FAM49A	NA	NA	ABT1	TRAF3IP3
NA	NA	NA	NA	NA	SDCBP2	NA	ARL5B	NA	NA	MED10	NDUFA4
NA	NA	NA	NA	NA	VMP1	NA	CREBL2	NA	NA	TSPYL2	ICAM2
NA	NA	NA	NA	NA	IFT22	NA	PAPSS2	NA	NA	MPG	GCC2
NA	NA	NA	NA	NA	NUDC	NA	PIK3R1	NA	NA	C17ORF62	SIGIRR
NA	NA	NA	NA	NA	RP11.467J12.4	NA	LRRC25	NA	NA	RTN4	PRKAG1
NA	NA	NA	NA	NA	MTCH1	NA	RHBDF2	NA	NA	TWISTNB	SLC20A1
NA	NA	NA	NA	NA	KIF21A	NA	RPS17	NA	NA	ADAM8	MRPL52
NA	NA	NA	NA	NA	CORO1C	NA	HSPH1	NA	NA	APRT	PIN1
NA	NA	NA	NA	NA	UBXN11	NA	CCL5	NA	NA	LEPROT	CTSH
NA	NA	NA	NA	NA	SRM	NA	HIST1H1C	NA	NA	RICTOR	BARD1
NA	NA	NA	NA	NA	ADM	NA	CARD19	NA	NA	RAB11A	BAG6
NA	NA	NA	NA	NA	KLF10	NA	CH25H	NA	NA	PRELID1	COX7A2
NA	NA	NA	NA	NA	MLF1	NA	RARRES1	NA	NA	GNAI2	RAB3GAP1
NA	NA	NA	NA	NA	FAM120A	NA	IL10	NA	NA	CD300A	NEAT1
NA	NA	NA	NA	NA	IRS2	NA	RGS16	NA	NA	TAF7	SEMA4A
NA	NA	NA	NA	NA	NEDD4L	NA	KIAA0101	NA	NA	ZNF22	CAMK1
NA	NA	NA	NA	NA	SGMS2	NA	BEX3	NA	NA	GAPDH	PNISR
NA	NA	NA	NA	NA	SSBP4	NA	ZFAND2A	NA	NA	PTPRA	ABCG1
NA	NA	NA	NA	NA	CD151	NA	RPS3A	NA	NA	FAM133B	CAPN2
NA	NA	NA	NA	NA	MAL2	NA	LGALS2	NA	NA	STMN1	IFI6
NA	NA	NA	NA	NA	PCM1	NA	RPL35A	NA	NA	PNN	TNIP1
NA	NA	NA	NA	NA	LDHA	NA	RPS26	NA	NA	UBE2E3	TIMP1
NA	NA	NA	NA	NA	ZC3H7A	NA	ARID5B	NA	NA	PSMC5	TMED10
NA	NA	NA	NA	NA	COMMD6	NA	CD36	NA	NA	RPL7L1	UQCRH
NA	NA	NA	NA	NA	H1F0	NA	LILRB2	NA	NA	C1ORF174	SLC25A39
NA	NA	NA	NA	NA	SUB1	NA	OSM	NA	NA	JTB	RDX
NA	NA	NA	NA	NA	CALR	NA	PTTG1	NA	NA	COX7A2L	CHCHD2
NA	NA	NA	NA	NA	C10ORF107	NA	SMC4	NA	NA	TRAPPC4	SATB1
NA	NA	NA	NA	NA	SLC25A36	NA	RPL26	NA	NA	EIF1AX	GPR89B
NA	NA	NA	NA	NA	IGFBP4	NA	HLA.DQB1	NA	NA	DCTN6	SEC11C
NA	NA	NA	NA	NA	SCAMP4	NA	RPS18	NA	NA	HSH2D	SH3BP5
NA	NA	NA	NA	NA	DTHD1	NA	RPS12	NA	NA	TANK	MATK
NA	NA	NA	NA	NA	IFT43	NA	HMGB3	NA	NA	APOL6	MYADM
NA	NA	NA	NA	NA	RHOBTB2	NA	RPS27	NA	NA	PYURF	RPL28
NA	NA	NA	NA	NA	RPL10	NA	GBP5	NA	NA	TSPAN14	GRSF1
NA	NA	NA	NA	NA	RIC3	NA	PRDX2	NA	NA	LINC00969	CEP152
NA	NA	NA	NA	NA	IQCA1	NA	DNAJB1	NA	NA	ACP1	UBALD2
NA	NA	NA	NA	NA	PPP1R42	NA	EREG	NA	NA	FYB	MXD3
NA	NA	NA	NA	NA	CEP126	NA	CDK1	NA	NA	UNC13D	BRCA2
NA	NA	NA	NA	NA	NUMB	NA	TYMS	NA	NA	ARID5A	FGR
NA	NA	NA	NA	NA	P4HTM	NA	HES1	NA	NA	EIF3L	CDK2
NA	NA	NA	NA	NA	NDUFA3	NA	SLC25A37	NA	NA	NA	NCAPG
NA	NA	NA	NA	NA	LSM2	NA	LTB	NA	NA	NA	TTC39C
NA	NA	NA	NA	NA	CCDC17	NA	CKS2	NA	NA	NA	IGFBP7
NA	NA	NA	NA	NA	PACRG	NA	RPS28	NA	NA	NA	CEP78
NA	NA	NA	NA	NA	SLC7A6	NA	SFTPB	NA	NA	NA	MT.ATP8
NA	NA	NA	NA	NA	STOM	NA	MYLIP	NA	NA	NA	HNRNPA2B1
NA	NA	NA	NA	NA	LDLRAD1	NA	DNAJA4	NA	NA	NA	IMPDH2
NA	NA	NA	NA	NA	C19ORF33	NA	HLA.DPA1	NA	NA	NA	SLC16A3
NA	NA	NA	NA	NA	EGR1	NA	TK1	NA	NA	NA	PARVG
NA	NA	NA	NA	NA	C11ORF16	NA	HLA.DPB1	NA	NA	NA	MT.CO3
NA	NA	NA	NA	NA	NEK10	NA	TPSB2	NA	NA	NA	HIST1H2BN
NA	NA	NA	NA	NA	ENAH	NA	VCAN	NA	NA	NA	IFI27L1
NA	NA	NA	NA	NA	NUDT9	NA	HSPA6	NA	NA	NA	ITGAL
NA	NA	NA	NA	NA	EPAS1	NA	ACTB	NA	NA	NA	MIDN
NA	NA	NA	NA	NA	TMEM87A	NA	PSAP	NA	NA	NA	TOB1
NA	NA	NA	NA	NA	MUC1	NA	KRT18	NA	NA	NA	KIF2C
NA	NA	NA	NA	NA	DRC1	NA	MT1X	NA	NA	NA	TMEM138
NA	NA	NA	NA	NA	AKAP14	NA	CD74	NA	NA	NA	FIS1
NA	NA	NA	NA	NA	MDH1B	NA	NA	NA	NA	NA	RAP1B
NA	NA	NA	NA	NA	FKBP2	NA	NA	NA	NA	NA	PSMB9
NA	NA	NA	NA	NA	FAM114A1	NA	NA	NA	NA	NA	TROAP
NA	NA	NA	NA	NA	FAM63B	NA	NA	NA	NA	NA	C4ORF48
NA	NA	NA	NA	NA	FARP1	NA	NA	NA	NA	NA	CELF1
NA	NA	NA	NA	NA	BOLA3	NA	NA	NA	NA	NA	SRSF8
NA	NA	NA	NA	NA	TAX1BP1	NA	NA	NA	NA	NA	SYTL1
NA	NA	NA	NA	NA	MARCKS	NA	NA	NA	NA	NA	MZB1
NA	NA	NA	NA	NA	OTUD1	NA	NA	NA	NA	NA	M6PR
NA	NA	NA	NA	NA	KIAA1324	NA	NA	NA	NA	NA	FMNL1
NA	NA	NA	NA	NA	MRPL51	NA	NA	NA	NA	NA	H1FX
NA	NA	NA	NA	NA	ACAA1	NA	NA	NA	NA	NA	STX11
NA	NA	NA	NA	NA	RANBP17	NA	NA	NA	NA	NA	HLA.DPB1
NA	NA	NA	NA	NA	STK17A	NA	NA	NA	NA	NA	SAP18
NA	NA	NA	NA	NA	TBC1D2	NA	NA	NA	NA	NA	GTF2B
NA	NA	NA	NA	NA	COPRS	NA	NA	NA	NA	NA	FYN
NA	NA	NA	NA	NA	MAP4K4	NA	NA	NA	NA	NA	NEU1
NA	NA	NA	NA	NA	PLAT	NA	NA	NA	NA	NA	TRIM26
NA	NA	NA	NA	NA	ADPRHL2	NA	NA	NA	NA	NA	USP34
NA	NA	NA	NA	NA	SPAG8	NA	NA	NA	NA	NA	THEMIS
NA	NA	NA	NA	NA	UXS1	NA	NA	NA	NA	NA	PPP2R5A
NA	NA	NA	NA	NA	MTRNR2L1	NA	NA	NA	NA	NA	LAG3
NA	NA	NA	NA	NA	NDN	NA	NA	NA	NA	NA	HIST1H1C
NA	NA	NA	NA	NA	B3GNT8	NA	NA	NA	NA	NA	FTL
NA	NA	NA	NA	NA	PDGFA	NA	NA	NA	NA	NA	DDX6
NA	NA	NA	NA	NA	CLPTM1L	NA	NA	NA	NA	NA	CORO1A
NA	NA	NA	NA	NA	EPHX1	NA	NA	NA	NA	NA	PCM1
NA	NA	NA	NA	NA	WDR38	NA	NA	NA	NA	NA	GZMH
NA	NA	NA	NA	NA	CALM2	NA	NA	NA	NA	NA	RASSF5
NA	NA	NA	NA	NA	CYP4X1	NA	NA	NA	NA	NA	OAZ1
NA	NA	NA	NA	NA	AQP1	NA	NA	NA	NA	NA	CPM
NA	NA	NA	NA	NA	OAS1	NA	NA	NA	NA	NA	RAB6A
NA	NA	NA	NA	NA	GRAMD1A	NA	NA	NA	NA	NA	OFD1
NA	NA	NA	NA	NA	HSPA5	NA	NA	NA	NA	NA	GLIPR2
NA	NA	NA	NA	NA	PDE4DIP	NA	NA	NA	NA	NA	ARHGAP30
NA	NA	NA	NA	NA	C6	NA	NA	NA	NA	NA	LGALS3
NA	NA	NA	NA	NA	CCDC65	NA	NA	NA	NA	NA	YPEL1
NA	NA	NA	NA	NA	CTSB	NA	NA	NA	NA	NA	TMSB10
NA	NA	NA	NA	NA	ARL13B	NA	NA	NA	NA	NA	CYTH1
NA	NA	NA	NA	NA	SLC2A1	NA	NA	NA	NA	NA	ADPGK
NA	NA	NA	NA	NA	RPLP0	NA	NA	NA	NA	NA	NINJ2
NA	NA	NA	NA	NA	CCNL1	NA	NA	NA	NA	NA	ZNF593
NA	NA	NA	NA	NA	NAP1L1	NA	NA	NA	NA	NA	PHF5A
NA	NA	NA	NA	NA	TAPBP	NA	NA	NA	NA	NA	S100A4
NA	NA	NA	NA	NA	UCP2	NA	NA	NA	NA	NA	CBLB
NA	NA	NA	NA	NA	DNAJC4	NA	NA	NA	NA	NA	ABHD17A
NA	NA	NA	NA	NA	PRELID1	NA	NA	NA	NA	NA	CH17.189H20.1
NA	NA	NA	NA	NA	PRR29	NA	NA	NA	NA	NA	PTPRE
NA	NA	NA	NA	NA	UBE2S	NA	NA	NA	NA	NA	C1QB
NA	NA	NA	NA	NA	MRPS16	NA	NA	NA	NA	NA	NR3C1
NA	NA	NA	NA	NA	C10ORF95	NA	NA	NA	NA	NA	SPSB3
NA	NA	NA	NA	NA	PDIA6	NA	NA	NA	NA	NA	CLEC2D
NA	NA	NA	NA	NA	METTL9	NA	NA	NA	NA	NA	DNAJB11
NA	NA	NA	NA	NA	POMP	NA	NA	NA	NA	NA	ZNF791
NA	NA	NA	NA	NA	TIMM8B	NA	NA	NA	NA	NA	PGK1
NA	NA	NA	NA	NA	POLR2J3	NA	NA	NA	NA	NA	RFC1
NA	NA	NA	NA	NA	CEP290	NA	NA	NA	NA	NA	AKAP9
NA	NA	NA	NA	NA	DPP7	NA	NA	NA	NA	NA	VCAM1
NA	NA	NA	NA	NA	COX4I1	NA	NA	NA	NA	NA	LYN
NA	NA	NA	NA	NA	ZC2HC1A	NA	NA	NA	NA	NA	CD160
NA	NA	NA	NA	NA	COL4A4	NA	NA	NA	NA	NA	LDHA
NA	NA	NA	NA	NA	TXNDC11	NA	NA	NA	NA	NA	ZNF331
NA	NA	NA	NA	NA	CRNDE	NA	NA	NA	NA	NA	GSAP
NA	NA	NA	NA	NA	CYBRD1	NA	NA	NA	NA	NA	SYNE1
NA	NA	NA	NA	NA	HNRNPC	NA	NA	NA	NA	NA	TSPAN32
NA	NA	NA	NA	NA	IGF2	NA	NA	NA	NA	NA	PDLIM2
NA	NA	NA	NA	NA	MT.CYB	NA	NA	NA	NA	NA	RPS4Y1
NA	NA	NA	NA	NA	GTF3A	NA	NA	NA	NA	NA	CDKN2A
NA	NA	NA	NA	NA	STOML3	NA	NA	NA	NA	NA	P2RY10
NA	NA	NA	NA	NA	BORCS7	NA	NA	NA	NA	NA	IL2RB
NA	NA	NA	NA	NA	FOXO3	NA	NA	NA	NA	NA	PTPN4
NA	NA	NA	NA	NA	CNKSR1	NA	NA	NA	NA	NA	SNHG8
NA	NA	NA	NA	NA	PYGB	NA	NA	NA	NA	NA	TTC38
NA	NA	NA	NA	NA	TMEM123	NA	NA	NA	NA	NA	IER3
NA	NA	NA	NA	NA	C4BPA	NA	NA	NA	NA	NA	PLK3
NA	NA	NA	NA	NA	SCAPER	NA	NA	NA	NA	NA	GIMAP7
NA	NA	NA	NA	NA	RPS25	NA	NA	NA	NA	NA	YPEL5
NA	NA	NA	NA	NA	ECI2	NA	NA	NA	NA	NA	PTPN2
NA	NA	NA	NA	NA	CES1	NA	NA	NA	NA	NA	APOBEC3C
NA	NA	NA	NA	NA	ANKRD11	NA	NA	NA	NA	NA	ARHGAP9
NA	NA	NA	NA	NA	WDR45B	NA	NA	NA	NA	NA	STK10
NA	NA	NA	NA	NA	TOMM20	NA	NA	NA	NA	NA	GNPTAB
NA	NA	NA	NA	NA	DEFB1	NA	NA	NA	NA	NA	C1ORF21
NA	NA	NA	NA	NA	NDUFB3	NA	NA	NA	NA	NA	TRGC1
NA	NA	NA	NA	NA	FAM179A	NA	NA	NA	NA	NA	BTG2
NA	NA	NA	NA	NA	DCTPP1	NA	NA	NA	NA	NA	HIST1H4C
NA	NA	NA	NA	NA	ELL2	NA	NA	NA	NA	NA	CD300A
NA	NA	NA	NA	NA	ARHGAP24	NA	NA	NA	NA	NA	DUSP1
NA	NA	NA	NA	NA	CHCHD6	NA	NA	NA	NA	NA	PPP1R15B
NA	NA	NA	NA	NA	CHKA	NA	NA	NA	NA	NA	PRKCB
NA	NA	NA	NA	NA	TP53I11	NA	NA	NA	NA	NA	CDKN2D
NA	NA	NA	NA	NA	RBCK1	NA	NA	NA	NA	NA	MCMBP
NA	NA	NA	NA	NA	C14ORF132	NA	NA	NA	NA	NA	GFOD1
NA	NA	NA	NA	NA	IFNGR1	NA	NA	NA	NA	NA	BSDC1
NA	NA	NA	NA	NA	JTB	NA	NA	NA	NA	NA	SUMO2
NA	NA	NA	NA	NA	ATP5G2	NA	NA	NA	NA	NA	CCR6
NA	NA	NA	NA	NA	SLC1A5	NA	NA	NA	NA	NA	TTC3
NA	NA	NA	NA	NA	PRR15L	NA	NA	NA	NA	NA	VPS36
NA	NA	NA	NA	NA	DDIT4	NA	NA	NA	NA	NA	TTC19
NA	NA	NA	NA	NA	ZNF44	NA	NA	NA	NA	NA	PPT1
NA	NA	NA	NA	NA	SYNE1	NA	NA	NA	NA	NA	FAM83D
NA	NA	NA	NA	NA	HACD1	NA	NA	NA	NA	NA	TXNIP
NA	NA	NA	NA	NA	YWHAH	NA	NA	NA	NA	NA	PPDPF
NA	NA	NA	NA	NA	OSBPL6	NA	NA	NA	NA	NA	NBL1
NA	NA	NA	NA	NA	C22ORF15	NA	NA	NA	NA	NA	GLG1
NA	NA	NA	NA	NA	ZNF83	NA	NA	NA	NA	NA	TLE4
NA	NA	NA	NA	NA	PLA2G10	NA	NA	NA	NA	NA	VPS37B
NA	NA	NA	NA	NA	PAPSS2	NA	NA	NA	NA	NA	TEX30
NA	NA	NA	NA	NA	CHI3L2	NA	NA	NA	NA	NA	VIM
NA	NA	NA	NA	NA	RAB13	NA	NA	NA	NA	NA	CCDC69
NA	NA	NA	NA	NA	DYNC2H1	NA	NA	NA	NA	NA	HERPUD1
NA	NA	NA	NA	NA	PHACTR1	NA	NA	NA	NA	NA	ZNF276
NA	NA	NA	NA	NA	GALE	NA	NA	NA	NA	NA	SOX4
NA	NA	NA	NA	NA	TMEM9B	NA	NA	NA	NA	NA	SPN
NA	NA	NA	NA	NA	GPATCH8	NA	NA	NA	NA	NA	IFNGR1
NA	NA	NA	NA	NA	IYD	NA	NA	NA	NA	NA	PFDN4
NA	NA	NA	NA	NA	STMND1	NA	NA	NA	NA	NA	CXCR6
NA	NA	NA	NA	NA	TGM2	NA	NA	NA	NA	NA	SH3BGRL3
NA	NA	NA	NA	NA	EBPL	NA	NA	NA	NA	NA	PLA2G16
NA	NA	NA	NA	NA	TM4SF1	NA	NA	NA	NA	NA	NLRC5
NA	NA	NA	NA	NA	TOM1L2	NA	NA	NA	NA	NA	ST3GAL1
NA	NA	NA	NA	NA	ATP1A1	NA	NA	NA	NA	NA	FOXN3
NA	NA	NA	NA	NA	TSTA3	NA	NA	NA	NA	NA	VAV3
NA	NA	NA	NA	NA	CIT	NA	NA	NA	NA	NA	TBX21
NA	NA	NA	NA	NA	CDS1	NA	NA	NA	NA	NA	CEBPB
NA	NA	NA	NA	NA	CAMK1D	NA	NA	NA	NA	NA	MT.ND5
NA	NA	NA	NA	NA	EFCAB10	NA	NA	NA	NA	NA	GPR65
NA	NA	NA	NA	NA	VEPH1	NA	NA	NA	NA	NA	FOSL2
NA	NA	NA	NA	NA	RGS22	NA	NA	NA	NA	NA	ADRB2
NA	NA	NA	NA	NA	DHRS1	NA	NA	NA	NA	NA	SMS
NA	NA	NA	NA	NA	PIN1	NA	NA	NA	NA	NA	HSH2D
NA	NA	NA	NA	NA	PAPSS1	NA	NA	NA	NA	NA	SIRT2
NA	NA	NA	NA	NA	CDH1	NA	NA	NA	NA	NA	TNRC6B
NA	NA	NA	NA	NA	TMEM231	NA	NA	NA	NA	NA	RICTOR
NA	NA	NA	NA	NA	RPL18	NA	NA	NA	NA	NA	TRGC2
NA	NA	NA	NA	NA	PPIL6	NA	NA	NA	NA	NA	MIR24.2
NA	NA	NA	NA	NA	NDUFB1	NA	NA	NA	NA	NA	RAB29
NA	NA	NA	NA	NA	SLC16A3	NA	NA	NA	NA	NA	C1ORF162
NA	NA	NA	NA	NA	SRP9	NA	NA	NA	NA	NA	SLC25A3
NA	NA	NA	NA	NA	NR4A1	NA	NA	NA	NA	NA	IKZF1
NA	NA	NA	NA	NA	UBE2L6	NA	NA	NA	NA	NA	CCL4L2
NA	NA	NA	NA	NA	TTC25	NA	NA	NA	NA	NA	IL7R
NA	NA	NA	NA	NA	RHOB	NA	NA	NA	NA	NA	FAM215B
NA	NA	NA	NA	NA	SAXO2	NA	NA	NA	NA	NA	SAMD3
NA	NA	NA	NA	NA	RRBP1	NA	NA	NA	NA	NA	SERPINB6
NA	NA	NA	NA	NA	PIM3	NA	NA	NA	NA	NA	SAR1A
NA	NA	NA	NA	NA	RAB32	NA	NA	NA	NA	NA	RORA
NA	NA	NA	NA	NA	HDGF	NA	NA	NA	NA	NA	PHF1
NA	NA	NA	NA	NA	NEMF	NA	NA	NA	NA	NA	AC002331.1
NA	NA	NA	NA	NA	HIF1A	NA	NA	NA	NA	NA	RNF125
NA	NA	NA	NA	NA	NME5	NA	NA	NA	NA	NA	SNRK
NA	NA	NA	NA	NA	C11ORF70	NA	NA	NA	NA	NA	CLIC3
NA	NA	NA	NA	NA	TCTEX1D1	NA	NA	NA	NA	NA	NAAA
NA	NA	NA	NA	NA	PSMB9	NA	NA	NA	NA	NA	CTDSP1
NA	NA	NA	NA	NA	ATP2C2	NA	NA	NA	NA	NA	FOXP1
NA	NA	NA	NA	NA	ATP1B3	NA	NA	NA	NA	NA	INPP5D
NA	NA	NA	NA	NA	CFAP45	NA	NA	NA	NA	NA	TNFSF10
NA	NA	NA	NA	NA	OSCP1	NA	NA	NA	NA	NA	MDM4
NA	NA	NA	NA	NA	NDUFS6	NA	NA	NA	NA	NA	MYC
NA	NA	NA	NA	NA	SPAG17	NA	NA	NA	NA	NA	PDE4B
NA	NA	NA	NA	NA	EDN1	NA	NA	NA	NA	NA	ATG2A
NA	NA	NA	NA	NA	NBEAL2	NA	NA	NA	NA	NA	MYL6
NA	NA	NA	NA	NA	TNFRSF1A	NA	NA	NA	NA	NA	UBE2H
NA	NA	NA	NA	NA	PPDPF	NA	NA	NA	NA	NA	CHMP3
NA	NA	NA	NA	NA	PSCA	NA	NA	NA	NA	NA	ABHD14A
NA	NA	NA	NA	NA	MSRB2	NA	NA	NA	NA	NA	NUB1
NA	NA	NA	NA	NA	PIAS1	NA	NA	NA	NA	NA	PNRC1
NA	NA	NA	NA	NA	BAIAP2	NA	NA	NA	NA	NA	PILRB
NA	NA	NA	NA	NA	TMEM232	NA	NA	NA	NA	NA	GZMB
NA	NA	NA	NA	NA	STRA13	NA	NA	NA	NA	NA	LINC00869
NA	NA	NA	NA	NA	SPEF2	NA	NA	NA	NA	NA	ADD1
NA	NA	NA	NA	NA	NKTR	NA	NA	NA	NA	NA	CLEC2B
NA	NA	NA	NA	NA	ANKRD13A	NA	NA	NA	NA	NA	UQCRHL
NA	NA	NA	NA	NA	TRIM2	NA	NA	NA	NA	NA	ANKRD44
NA	NA	NA	NA	NA	LGSN	NA	NA	NA	NA	NA	CPNE7
NA	NA	NA	NA	NA	ENKUR	NA	NA	NA	NA	NA	RGCC
NA	NA	NA	NA	NA	P3H2	NA	NA	NA	NA	NA	TFDP2
NA	NA	NA	NA	NA	DLC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLAUR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MOK	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM107	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAH6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GGT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SMIM15	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSPA1A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF3H	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC186	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OAT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NT5DC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DALRD3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MSLN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CHCHD10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RORA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LBH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LLPH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRPF4B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACAT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LAGE3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITGB1BP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASSF8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DPYSL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GRAMD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CMAS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BAX	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZNF593	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ST6GALNAC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCTEX1D4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IRX3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARMC3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DUSP6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TALDO1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRDX4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RHOBTB3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LYPLA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAH5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD47	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYB5R3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SEPP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZSCAN18	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAP1LC3A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LIMD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FCER1G	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SSR1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSD17B6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UBTD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C12ORF49	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CSF3R	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FOXA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MICA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAXDC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C14ORF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VSIG2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SET	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AKR1C1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DCXR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PNPLA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTRF	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC181	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	QKI	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPINT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CKS1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLTB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RARRES2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CHMP3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COMMD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC35A3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM173	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IQCG	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGEF2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SMAD7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FHL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CADM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NACA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SRSF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RUVBL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CASP4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COBL	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFAP36	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PEF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD164L2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CH17.340M24.3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MS4A15	NA	NA	NA	NA	NA	NA
