"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"15528";"KUL30.N";3;"Colon";3259;1239;5,79932494630255;"N";"Myeloids";"Macrophage"
"15529";"KUL30.N";3;"Colon";4153;1541;5,1047435588731;"N";"Myeloids";"DC"
"15530";"KUL30.N";3;"Colon";1094;591;10,5118829981718;"N";"Myeloids";"Macrophage"
"15531";"KUL30.N";3;"Colon";5547;1524;4,52496845141518;"N";"Myeloids";"DC"
"15532";"KUL30.N";3;"Colon";3176;1354;5,35264483627204;"N";"Myeloids";"DC"
"15533";"KUL30.N";3;"Colon";2211;866;7,28177295341474;"N";"Myeloids";"DC"
"15534";"KUL30.N";3;"Colon";1167;661;15,509854327335;"N";"Myeloids";"Macrophage"
"15535";"KUL30.N";3;"Colon";1812;896;11,4790286975717;"N";"Myeloids";"Macrophage"
"15536";"KUL30.N";3;"Colon";2379;987;14,8381672971837;"N";"Myeloids";"Macrophage"
"15537";"KUL30.N";3;"Colon";2842;1141;5,45390570021112;"N";"Myeloids";"Macrophage"
"15538";"KUL30.N";3;"Colon";1107;563;19,0605239385727;"N";"Myeloids";"Macrophage"
"15539";"KUL30.N";3;"Colon";4055;1342;7,57090012330456;"N";"Myeloids";"Macrophage"
"15540";"KUL30.N";3;"Colon";1219;633;13,2895816242822;"N";"Myeloids";"Macrophage"
"15541";"KUL30.N";3;"Colon";1399;743;10,7219442458899;"N";"Myeloids";"Macrophage"
"15542";"KUL30.N";3;"Colon";2646;1072;7,48299319727891;"N";"Myeloids";"Monocyte"
"15543";"KUL30.N";3;"Colon";5909;1882;6,38009815535624;"N";"Myeloids";"DC"
"15544";"KUL30.N";3;"Colon";3114;1266;7,61078998073218;"N";"Myeloids";"Macrophage"
"15545";"KUL30.N";3;"Colon";1941;900;12,107161257084;"N";"Myeloids";"Macrophage"
"15546";"KUL30.N";3;"Colon";4073;1394;6,60446845077339;"N";"Myeloids";"DC"
"15547";"KUL30.N";3;"Colon";6781;1934;5,7808582804896;"N";"Myeloids";"DC"
"15548";"KUL30.N";3;"Colon";4447;1398;4,27254328760962;"N";"Myeloids";"DC"
"15549";"KUL30.N";3;"Colon";3037;1125;8,39644385907145;"N";"Myeloids";"Macrophage"
"15550";"KUL30.N";3;"Colon";4979;1251;9,60032134966861;"N";"Myeloids";"DC"
"15551";"KUL30.N";5;"Colon";1151;533;8,77497827975673;"N";"Lymphocytes";"CD4T"
"15552";"KUL30.N";2;"Colon";2181;673;13,4342044933517;"N";"Lymphocytes";"CD8T"
"15553";"KUL30.N";2;"Colon";1090;451;14,4954128440367;"N";"Lymphocytes";"CD8T"
"15554";"KUL30.N";2;"Colon";1442;629;8,25242718446602;"N";"Lymphocytes";"CD8T"
"15555";"KUL30.N";5;"Colon";2509;964;6,3770426464727;"N";"Lymphocytes";"CD8T"
"15556";"KUL30.N";5;"Colon";1322;555;10,1361573373676;"N";"Lymphocytes";"NK"
"15557";"KUL30.N";5;"Colon";1775;778;5,97183098591549;"N";"Lymphocytes";"CD8T"
"15558";"KUL30.N";2;"Colon";1161;522;13,6950904392765;"N";"Lymphocytes";"CD4T"
"15559";"KUL30.N";5;"Colon";2293;799;6,58525948539032;"N";"Lymphocytes";"CD8T"
"15560";"KUL30.N";5;"Colon";1371;541;8,02334062727936;"N";"Lymphocytes";"CD8T"
"15561";"KUL30.N";2;"Colon";2709;921;7,16131413805832;"N";"Lymphocytes";"CD4T"
"15562";"KUL30.N";5;"Colon";1150;558;8,8695652173913;"N";"Lymphocytes";"CD8T"
"15563";"KUL30.N";5;"Colon";1525;705;8,26229508196721;"N";"Lymphocytes";"CD8T"
"15564";"KUL30.N";5;"Colon";2557;1023;10,8330074305827;"N";"Lymphocytes";"CD4T"
"15565";"KUL30.N";5;"Colon";2203;681;19,2464820699047;"N";"Lymphocytes";"CD8T"
"15566";"KUL30.N";5;"Colon";1116;465;14,6057347670251;"N";"Lymphocytes";"CD8T"
"15567";"KUL30.N";5;"Colon";1900;753;7,84210526315789;"N";"Lymphocytes";"CD8T"
"15568";"KUL30.N";2;"Colon";1101;436;14,2597638510445;"N";"Lymphocytes";"CD8T"
"15569";"KUL30.N";2;"Colon";1975;709;9,87341772151899;"N";"Lymphocytes";"CD4T"
"15570";"KUL30.N";0;"Colon";3423;1356;6,42711072158925;"N";"Epithelial";"Epithelial"
"15571";"KUL30.N";2;"Colon";1938;675;9,70072239422085;"N";"Lymphocytes";"CD8T"
"15572";"KUL30.N";2;"Colon";1056;404;18,3712121212121;"N";"Lymphocytes";"CD8T"
"15573";"KUL30.N";5;"Colon";1171;589;12,8949615713066;"N";"Lymphocytes";"CD4T"
"15574";"KUL30.N";5;"Colon";2717;801;7,36105999263894;"N";"Lymphocytes";"CD8T"
"15575";"KUL30.N";5;"Colon";1879;688;7,55721128259713;"N";"Lymphocytes";"CD8T"
"15576";"KUL30.N";5;"Colon";1679;754;7,6235854675402;"N";"Lymphocytes";"CD8T"
"15577";"KUL30.N";5;"Colon";1227;567;8,23145884270579;"N";"Lymphocytes";"CD8T"
"15578";"KUL30.N";5;"Colon";1050;437;15,9047619047619;"N";"Lymphocytes";"CD8T"
"15579";"KUL30.N";4;"Colon";15347;1390;2,339219391412;"N";"Lymphocytes";"Plasma"
"15580";"KUL30.N";4;"Colon";7665;1138;3,235485975212;"N";"Lymphocytes";"Plasma"
"15581";"KUL30.N";4;"Colon";7938;947;2,50692869740489;"N";"Lymphocytes";"Plasma"
"15582";"KUL30.N";4;"Colon";7665;1111;3,56164383561644;"N";"Lymphocytes";"Plasma"
"15583";"KUL30.N";4;"Colon";10041;1070;2,91803605218604;"N";"Lymphocytes";"Plasma"
"15584";"KUL30.N";4;"Colon";6930;908;3,05916305916306;"N";"Lymphocytes";"Plasma"
"15585";"KUL30.N";4;"Colon";4113;679;6,71043034281546;"N";"Lymphocytes";"Plasma"
