,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
9800,SSSCA1,NA,RP1.34B20.21,WWOX,NA,PTMA,KBTBD11,C11ORF96,ZBTB48,NA,NA,NA,NA
9801,AGR3,NA,DDX3Y,CCDC84,NA,HSPA14,B3GNT5,COL4A1,MZT1,NA,NA,NA,NA
9802,SMARCC1,NA,SLC8A3,BCL9L,NA,SIRT7,LMNB2,GJA4,UQCC3,NA,NA,NA,NA
9803,ZNF417,NA,MAG,POLR1D,NA,TLR5,RMDN1,PTMA,FBXO48,NA,NA,NA,NA
9804,PTPRM,NA,CDK15,ZNRF1,NA,USP7,MEX3C,HSPA14,C12ORF73,NA,NA,NA,NA
9805,FKBP2,NA,DUOXA2,FFAR4,NA,PLEKHN1,RNF152,SIRT7,TRIM13,NA,NA,NA,NA
9806,VEGFB,NA,ACKR2,SAPCD2,NA,ZNF385C,MYO1D,IFT140,SLFN12L,NA,NA,NA,NA
9807,PEAK1,NA,DRD2,MARC1,NA,MAGEH1,CCDC121,USP7,SLC35B4,NA,NA,NA,NA
9808,TNFRSF10D,NA,SLC30A2,BLOC1S4,NA,TET3,ACSF3,PLEKHN1,SYCE1L,NA,NA,NA,NA
9809,MST1,NA,AQP2,MKL2,NA,ISG15,BOK,MAGEH1,SDHAF1,NA,NA,NA,NA
9810,TNFRSF10C,NA,ELSPBP1,ZNF17,NA,EXD3,C8ORF59,TET3,PSENEN,NA,NA,NA,NA
9811,GMPPB,NA,MAB21L1,TOR3A,NA,ZKSCAN4,CDK5R1,ISG15,ZBTB10,NA,NA,NA,NA
9812,MOB1B,NA,MYL4,PPP1CC,NA,RGPD1,NCKAP5,EXD3,C4ORF46,NA,NA,NA,NA
9813,ZNF622,NA,RD3,ZNF555,NA,DHRS4L2,RUFY1,C17ORF97,PSMB10,NA,NA,NA,NA
9814,SNX33,NA,C6ORF25,PRELID2,NA,VMAC,BASP1,DHRS4L2,E2F4,NA,NA,NA,NA
9815,NABP1,NA,ZFP57,BACE1,NA,ERC2,LRRC37A3,VMAC,PDE7A,NA,NA,NA,NA
9816,CHD2,NA,IGLV3.21,RXRA,NA,B3GLCT,VSIG10,B3GLCT,TMEM170B,NA,NA,NA,NA
9817,CCDC106,NA,IGHV4.39,ANKRD37,NA,TRPV2,METRNL,SPRY4,MUC12,NA,NA,NA,NA
9818,CEP83,NA,MIR3681HG,NUDT17,NA,TMEM203,FAM91A1,TRPV2,SNX2,NA,NA,NA,NA
9819,SULT1B1,NA,IGKV1.16,ZNF75D,NA,TCEA1,WSB2,TMEM203,SAP25,NA,NA,NA,NA
9820,NUDT4,NA,IGKV1.39,KRT10,NA,FANCA,SOX11,THSD4,SARNP,NA,NA,NA,NA
9821,PC,NA,CCDC169,CD300E,NA,SECISBP2,TYMS,GABRD,ADGRG1,NA,NA,NA,NA
9822,SCAI,NA,RP11.403B2.6,CCDC30,NA,SEMA4D,PXMP2,TCEA1,IPO7,NA,NA,NA,NA
9823,NMNAT1,NA,RPS4Y1,NKRF,NA,DNAH17,TCEANC,FANCA,PRR13,NA,NA,NA,NA
9824,LRFN4,NA,EIF1AY,GLDN,NA,MCRS1,PNMA1,SECISBP2,TECPR1,NA,NA,NA,NA
9825,SLC19A1,NA,NA,KPNA4,NA,FANCM,C8ORF4,SEMA4D,SAMD9,NA,NA,NA,NA
9826,RCE1,NA,NA,ZNF197,NA,CARD9,MAMSTR,MCRS1,CNEP1R1,NA,NA,NA,NA
9827,UQCRH,NA,NA,SPATA12,NA,SOWAHD,ANKLE2,FANCM,KRT81,NA,NA,NA,NA
9828,EIF1AX,NA,NA,RPS23,NA,ZFP69,GCNT4,PEAR1,NAP1L4,NA,NA,NA,NA
9829,CXORF23,NA,NA,GNG2,NA,TMEM220,THAP4,TMEM220,TMSB4X,NA,NA,NA,NA
9830,PSMD1,NA,NA,BTN3A2,NA,HIST1H1C,NFATC2IP,HIST1H1C,TMEM256,NA,NA,NA,NA
9831,HEG1,NA,NA,INSIG1,NA,EIF4EBP1,FIBIN,EIF4EBP1,SMN2,NA,NA,NA,NA
9832,C11ORF80,NA,NA,TMEM222,NA,CCDC157,FAM89B,CCDC157,HMGN1,NA,NA,NA,NA
9833,TOMM20,NA,NA,ARHGAP30,NA,FAM122A,SHMT1,FAM122A,DENND6B,NA,NA,NA,NA
9834,AGFG1,NA,NA,SEPT10,NA,DMBT1,DPP7,DMBT1,EIF3CL,NA,NA,NA,NA
9835,STAT5B,NA,NA,SMYD4,NA,ARHGAP11B,SEC24C,ARHGAP11B,LCMT1,NA,NA,NA,NA
9836,CD7,NA,NA,GPATCH8,NA,CYHR1,SMCR8,CYHR1,CDPF1,NA,NA,NA,NA
9837,CNP,NA,NA,CEACAM19,NA,RINL,MTHFR,KLHL17,LIN52,NA,NA,NA,NA
9838,JUP,NA,NA,NF2,NA,C17ORF99,DEAF1,RINL,RP11.706O15.1,NA,NA,NA,NA
9839,HAP1,NA,NA,C6ORF1,NA,MORN2,MTX3,MORN2,LYRM5,NA,NA,NA,NA
9840,EIF1,NA,NA,UBE2H,NA,S100A3,TMEM80,S100A3,ITSN1,NA,NA,NA,NA
9841,ENDOV,NA,NA,MIR22HG,NA,UBQLN2,SIX5,UBQLN2,ITPRIPL2,NA,NA,NA,NA
9842,RNF213,NA,NA,KATNA1,NA,RILPL1,FBXO46,RILPL1,DENND1C,NA,NA,NA,NA
9843,MARCH10,NA,NA,ARAP1,NA,ZNF490,ZDHHC13,ARL4C,CRYZL1,NA,NA,NA,NA
9844,PLK3,NA,NA,PDE2A,NA,ARL4C,SLC38A9,C11ORF95,C5ORF51,NA,NA,NA,NA
9845,NET1,NA,NA,PRR5,NA,RAB42,WDR73,GPR89B,PLPP6,NA,NA,NA,NA
9846,DPY19L1,NA,NA,ZFP91,NA,GPR89B,POLE,MAPK12,ZNF316,NA,NA,NA,NA
