B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
NA	CCL4	PPAP2A	NUDT1	PPP1R14A	MAGOH	RRAS	DUSP6	NA	NA	NA	NA	SCP2
NA	LTB	PRRG4	FGR	SUMO2	MAL2	CCZ1	PPDPF	NA	NA	NA	NA	CNPY2
NA	CCL20	PSMD12	PPT1	SMG6	MALAT1	IRF2BP2	ADAR	NA	NA	NA	NA	MALAT1
NA	CD38	WARS	USMG5	PINK1	MALL	EIF4EBP1	CASP1	NA	NA	NA	NA	MRPS33
NA	CD3D	WIPF1	NAP1L1	SAT1	MANBAL	PYURF	POU2F2	NA	NA	NA	NA	CMC1
NA	FCGR3A	ARHGAP15	BEX4	CLK1	MAOB	RBM23	CD48	NA	NA	NA	NA	ABI1
NA	AOAH	LAT	LY6E	DNTTIP2	MAP2K1	PNISR	HLA-DPA1	NA	NA	NA	NA	LCK
NA	RPS12	SNHG12	RGS1	CDC42EP1	MAP7D1	CERS2	C11orf96	NA	NA	NA	NA	CDC123
NA	DNAJB1	LAPTM5	MORF4L1	SYPL1	MAPRE1	DDIT3	GCH1	NA	NA	NA	NA	TMCO1
NA	S100A4	COMMD6	BRK1	DDIT3	MARCH6	TMEM140	DST	NA	NA	NA	NA	CYB5R3
NA	GZMH	ANAPC5	S100A8	TLN1	MARCKS	COX6A1P2	CD14	NA	NA	NA	NA	ATP1B3
NA	MT1E	NSA2	SPIB	HERPUD1	MAT1A	WARS	ADORA3	NA	NA	NA	NA	B4GALT3
NA	PFN1	SEC22C	FGL2	MAP1LC3B	MATK	RP11-108M9.4	CKS2	NA	NA	NA	NA	GOLGB1
NA	NA	CLK1	RAB32	ZEB1	MBOAT2	TIMM10	RNF141	NA	NA	NA	NA	DHRS3
NA	NA	MRPL51	CTSC	HSPG2	MBOAT7	STAT3	ALDH1A1	NA	NA	NA	NA	MXD1
NA	NA	E2F4	ARPC2	GNAI2	MCFD2	C1orf21	IFIT3	NA	NA	NA	NA	DUSP6
NA	NA	ZC3H8	TXN	LAMC1	MCM5	MIR4435-1HG	AGPAT9	NA	NA	NA	NA	ATP6AP1
NA	NA	CD96	CTSH	TMEM204	MCM7	ERP44	ADM	NA	NA	NA	NA	SEPT7
NA	NA	GRINA	BATF3	PSMB5	MDH1	SH3PXD2A	TNFAIP2	NA	NA	NA	NA	CASP4
NA	NA	BCL2	IL2RG	EGR3	MDH2	PTPN12	PLEKHA2	NA	NA	NA	NA	ATP5E
NA	NA	ARHGDIB	MT1G	RP11-108M9.4	MDK	TM2D3	MYD88	NA	NA	NA	NA	ASNA1
NA	NA	GNG2	MPEG1	SERINC1	MEAF6	NT5DC2	PSMB9	NA	NA	NA	NA	UBXN1
NA	NA	CCR1	CSNK2B	SNX8	MED4	IGFBP3	SAA1	NA	NA	NA	NA	COBLL1
NA	NA	DENR	S100B	DDX3X	MEIS2	PDLIM2	BAG3	NA	NA	NA	NA	NDUFAB1
NA	NA	MT-ATP6	BCL2A1	HTRA1	MET	MTRF1L	GZMA	NA	NA	NA	NA	TCN2
NA	NA	ZC3H11A	GDI2	HIPK2	METTL23	GLT8D2	RABGAP1L	NA	NA	NA	NA	NDRG1
NA	NA	VPS37B	FTH1	SLC12A2	METTL5	BMPER	MAPK6	NA	NA	NA	NA	PRDM1
NA	NA	HDGF	HMGB2	IRF2BP2	MFSD10	PTPRA	SNAPC1	NA	NA	NA	NA	UAP1
NA	NA	ICAM3	IFNG	SLCO2A1	MGMT	IVNS1ABP	RHOB	NA	NA	NA	NA	ENG
NA	NA	PDCD2	SEC61B	TACC1	MGST1	GNAI2	ARF6	NA	NA	NA	NA	LRPAP1
NA	NA	ACP1	AURKA	TPBG	MGST3	SKAP2	MMP19	NA	NA	NA	NA	TAF9
NA	NA	TRAF1	NFKBIZ	CISD1	MICALL2	TMEM167A	CDK11A	NA	NA	NA	NA	HSPA8
NA	NA	TRMT112	U2AF1	AEBP1	MIR205HG	TMEM43	CALCOCO2	NA	NA	NA	NA	TAF10
NA	NA	EIF3J	MYADM	GTF3A	MISP	HEXA	CLK1	NA	NA	NA	NA	FBXO7
NA	NA	STARD4	NOP58	EIF1B	MKNK2	FHL1	C2	NA	NA	NA	NA	GRB2
NA	NA	RORA	POU2F2	PIK3C2A	MLEC	STARD3NL	FPR1	NA	NA	NA	NA	GSTK1
NA	NA	HAX1	AIF1	CHMP5	MLF1	COLEC11	PTGER4	NA	NA	NA	NA	DNPH1
NA	NA	SEPT2	RILPL2	COX6A1P2	MMAB	DCXR	XAF1	NA	NA	NA	NA	XRCC5
NA	NA	PNN	KPNA2	JUP	MMADHC	SEMA3C	LGALS3BP	NA	NA	NA	NA	TPD52
NA	NA	OTUD6B	SUMO2	TCF25	MMP14	DDX3X	FBP1	NA	NA	NA	NA	POLR2G
NA	NA	NAMPT	MT1E	TP53	MOCS2	HNRNPA3	NFKBIZ	NA	NA	NA	NA	UBE2V2
NA	NA	CBR3	LITAF	RP11-304L19.5	MPC1	C1D	HSD17B11	NA	NA	NA	NA	RPS23
NA	NA	TRMT6	LMBRD1	TSC22D3	MPZL1	NPM3	TNFAIP6	NA	NA	NA	NA	ANKRD12
NA	NA	WAS	GLIPR2	TMEM140	MPZL2	C10orf32	PSMA4	NA	NA	NA	NA	GLIPR1
NA	NA	CDV3	LIPA	PPP2CA	MRP63	LEPROT	DDIT3	NA	NA	NA	NA	TFRC
NA	NA	C5orf56	TNFSF10	RBM39	MRPL10	NOTCH4	LINC00936	NA	NA	NA	NA	FABP1
NA	NA	CKS2	IRF1	IFI44L	MRPL16	CAPG	HIST1H4C	NA	NA	NA	NA	ARPC1A
NA	NA	DBNL	ZFP36L2	HDLBP	MRPL18	VDAC3	PRDM1	NA	NA	NA	NA	CCNH
NA	NA	ZNF428	PDCL3	KIAA1147	MRPL22	SERPINB6	C3	NA	NA	NA	NA	HLA-B
NA	NA	ILF3	HLA-DQB1	TMEM37	MRPL34	ZDHHC6	HBEGF	NA	NA	NA	NA	HIST1H2BG
NA	NA	ZBED2	CXorf21	ACTG1	MRPL46	PTTG1IP	TGM2	NA	NA	NA	NA	HIBCH
NA	NA	CITED2	BTG2	HLA-DRB1	MRPL54	LARS	PFKFB3	NA	NA	NA	NA	BUB3
NA	NA	TACC1	ACN9	ROBO4	MRPS18B	KDM6B	LYVE1	NA	NA	NA	NA	KLF2
NA	NA	DNAJA4	C10orf54	CREG1	MRPS18C	RAMP2	HLA-DRB1	NA	NA	NA	NA	CXCR3
NA	NA	FUBP1	PRRC2C	C1QA	MRPS6	RAB7A	FAM107B	NA	NA	NA	NA	HNRNPH2
NA	NA	PPIA	GZMH	SAT2	MRPS7	TCN2	BTG2	NA	NA	NA	NA	ANXA5
NA	NA	SMC4	PPP1R14A	MEF2C	MSN	ARFGAP1	MRPL18	NA	NA	NA	NA	PSMD5-AS1
NA	NA	MAP3K8	NR4A2	FOS	MSRA	DCTN6	PRDX1	NA	NA	NA	NA	NPM1
NA	NA	MRPL18	IFITM2	WARS	MT-ATP6	RPL10A	IL7R	NA	NA	NA	NA	SH3GLB1
NA	NA	BAG1	CCNH	LRRFIP2	MT-CO1	PPIB	HSPD1	NA	NA	NA	NA	RPS3
NA	NA	LBR	FAM105A	MIR22HG	MT-CO2	SDF2	CTSC	NA	NA	NA	NA	CD52
NA	NA	HNRNPA0	CALM1	PRKAA1	MT-CO3	HEXB	IL6	NA	NA	NA	NA	RAP1B
NA	NA	HDAC1	HMGN2	SOS1	MT-CYB	JMJD1C	BIRC3	NA	NA	NA	NA	RELT
NA	NA	IL2RG	LDLRAD4	EMILIN1	MT-ND1	NTN4	HSPE1	NA	NA	NA	NA	SCO2
NA	NA	STXBP2	NDUFA4	ERC1	MT-ND2	FABP1	S100A12	NA	NA	NA	NA	UBE2G1
NA	NA	PSMB9	CCND1	RPL14	MT-ND3	ZCCHC10	ZFAND2A	NA	NA	NA	NA	IER3IP1.1
NA	NA	SYT11	BTLA	CD276	MT-ND4	BCAP29	PTGS2	NA	NA	NA	NA	SNHG8
NA	NA	PAF1	HERPUD1	AKAP13	MT-ND4L	SNHG8	GADD45G	NA	NA	NA	NA	CALD1
NA	NA	AKIRIN1	IFI44L	MAST4	MT-ND5	WSB1	SNORD3A	NA	NA	NA	NA	KPNA2
NA	NA	THRAP3	HSPD1	RPL7A	MT-ND6	HSPB2	HSP90AB1	NA	NA	NA	NA	PSMD11
NA	NA	SQRDL	ANXA5	CTNNB1	MT1F	RPL35	SDS	NA	NA	NA	NA	ANKRD28
NA	NA	KDM2A	NFKBIA	CYB5R3	MT1G	CIRBP	MT1F	NA	NA	NA	NA	RAP2B
NA	NA	POLE4	GPR183	BSDC1	MT1M	NBPF15	PLTP	NA	NA	NA	NA	CLEC2B
NA	NA	TMEM134	UBC	INPP1	MTCH1	ARPP19	NA	NA	NA	NA	NA	RAB22A
NA	NA	RPL10	WARS	MALL	MTCH2	MICAL2	NA	NA	NA	NA	NA	PRR7
NA	NA	BCL2L11	ICOSLG	ADI1	MTDH	SRRM2	NA	NA	NA	NA	NA	TNIP2
NA	NA	MIAT	AGPAT9	CASKIN2	MTHFD1	YAF2	NA	NA	NA	NA	NA	HMGB2
NA	NA	FAM104A	FKBP1A	ACADM	MTHFS	CHD4	NA	NA	NA	NA	NA	RPS5
NA	NA	MX2	ACTB	BASP1	MTIF3	NPY1R	NA	NA	NA	NA	NA	TINF2
NA	NA	PYCARD	LRRFIP1	FAM84A	MUC1	PDIA6	NA	NA	NA	NA	NA	PLD3
NA	NA	ZYX	DBI	HMBOX1	MUC4	TXNL1	NA	NA	NA	NA	NA	TIPRL
NA	NA	DDX6	HSP90AA1	B3GNT5	MYC	CAST	NA	NA	NA	NA	NA	RPS19
NA	NA	COX20	C6orf48	F11R	MYEOV	RECQL	NA	NA	NA	NA	NA	MAT2A
NA	NA	ABHD14B	APOA2	AMD1	MYL12A	KCNE4	NA	NA	NA	NA	NA	SRI
NA	NA	NR4A1	SIGLEC10	SELE	MYO1F	EGFL6	NA	NA	NA	NA	NA	SPCS1
NA	NA	BBX	PLK3	C2	MYO1G	MOXD1	NA	NA	NA	NA	NA	PYURF
NA	NA	RDH11	CD3D	UACA	MYOF	ANXA4	NA	NA	NA	NA	NA	SAT2
NA	NA	BST2	MAP3K8	PTPRM	NAPA	RNASE1	NA	NA	NA	NA	NA	SNHG15
NA	NA	PTPN2	HLA-DQB2	DDX52	NAPRT1	NXT1	NA	NA	NA	NA	NA	ERN1
NA	NA	COX4I1	MT-CYB	RENBP	NBL1	LIMCH1	NA	NA	NA	NA	NA	RP11-768B22.2
NA	NA	COX8A	TOP1	MT-ND3	NBPF10	TRA2A	NA	NA	NA	NA	NA	SARS
NA	NA	MRPL36	CD1E	RPS15A	NCKAP1	JAG1	NA	NA	NA	NA	NA	PDE4B
NA	NA	AMD1	PDIA3	RPL30	NCOA7	GABARAPL1	NA	NA	NA	NA	NA	NCOR1
NA	NA	LTV1	WDFY4	CCDC104	NCOR1	PDXK	NA	NA	NA	NA	NA	SEL1L3
NA	NA	DDX54	STMN1	COX7A1	NDRG1	BHLHE40	NA	NA	NA	NA	NA	FOS
NA	NA	SCAF4	HLA-DRB5	SPHK1	NDRG2	RNH1	NA	NA	NA	NA	NA	C5orf56
NA	NA	EIF5AL1	TMEM14A	PAFAH1B3	NDUFA10	SURF4	NA	NA	NA	NA	NA	SDHC
NA	NA	EIF2S3	MARCKSL1	GJA1	NDUFA12	TMEM173	NA	NA	NA	NA	NA	ANXA4
NA	NA	ERP29	ANXA2	MAP1LC3A	NDUFA5	NAP1L1	NA	NA	NA	NA	NA	LY6E
NA	NA	TMEM106C	FAM26F	PIM1	NDUFA6	SIVA1	NA	NA	NA	NA	NA	ADAM8
NA	NA	DUSP1	APOC3	SLC2A3	NDUFA9	RPL7A	NA	NA	NA	NA	NA	MAN1A2
NA	NA	PQLC3	PLAUR	NAV1	NDUFAF3	LRG1	NA	NA	NA	NA	NA	ISG15
NA	NA	CMTM7	JUN	NDFIP1	NDUFB1	RHOBTB3	NA	NA	NA	NA	NA	SLC17A9
NA	NA	FYN	ENHO	NPM1	NDUFB11	SLC25A37	NA	NA	NA	NA	NA	RALY
NA	NA	ARID5B	CPVL	RPL36	NDUFB2	REXO2	NA	NA	NA	NA	NA	B4GALT1
NA	NA	EMD	ZC3HAV1	PSME2	NDUFB6	DNTTIP2	NA	NA	NA	NA	NA	PSMB6
NA	NA	STOM	LCK	APEX1	NDUFB8.1	NR4A1	NA	NA	NA	NA	NA	P2RY8
NA	NA	GIMAP7	GAPDH	TNFAIP1	NDUFS2	PRDX3	NA	NA	NA	NA	NA	ARID5B
NA	NA	ST13	APOA1	TPM2	NDUFS3	CCDC34	NA	NA	NA	NA	NA	EVL
NA	NA	GUK1	PLA2G7	ATP13A3	NDUFV1	TRIB1	NA	NA	NA	NA	NA	DGUOK
NA	NA	IER2	C5AR1	KLF2	NDUFV2	RBBP6	NA	NA	NA	NA	NA	UBXN4
NA	NA	CHD1	MNDA	GNB2L1	NEAT1	HES4	NA	NA	NA	NA	NA	RBBP6
NA	NA	GPR65	GBP4	EEA1	NENF	ANAPC16	NA	NA	NA	NA	NA	HSH2D
NA	NA	PSMB10	NA	PTPN11	NET1	FSTL3	NA	NA	NA	NA	NA	CHMP4A
NA	NA	USMG5	NA	HIBCH	NFE2L1	GPC1	NA	NA	NA	NA	NA	GZMK
NA	NA	CARHSP1	NA	TOP1	NFIC	CPQ	NA	NA	NA	NA	NA	PTPN1
NA	NA	MT1X	NA	LAMP2	NFKBIZ	GLO1	NA	NA	NA	NA	NA	CD2BP2
NA	NA	ZNF331	NA	MYCBP2	NGFRAP1	OGN	NA	NA	NA	NA	NA	PQLC3
NA	NA	EIF3D	NA	GOLGB1	NIPSNAP1	EEF1B2	NA	NA	NA	NA	NA	CIRBP
NA	NA	TMEM57	NA	ORM1	NIT2	EDF1	NA	NA	NA	NA	NA	WHSC1L1
NA	NA	SET	NA	RNF13	NKG7	ADAM19	NA	NA	NA	NA	NA	BCKDK
NA	NA	RASSF5	NA	C4orf32	NMB	RAP1A	NA	NA	NA	NA	NA	RPL7
NA	NA	IVNS1ABP	NA	KANK3	NME1	ECM1	NA	NA	NA	NA	NA	APP
NA	NA	GHITM	NA	C12orf57	NME3	CYR61	NA	NA	NA	NA	NA	GSTT1
NA	NA	NFKBIA	NA	LAMB2	NME4	IFI16	NA	NA	NA	NA	NA	PTGDS
NA	NA	ERO1LB	NA	RELN	NOL3	NRP1	NA	NA	NA	NA	NA	PPP4C
NA	NA	PPP4R2	NA	MTRF1L	NOSIP	SHFM1	NA	NA	NA	NA	NA	RPL36A
NA	NA	DNTTIP2	NA	MGP	NPC2	C1QTNF6	NA	NA	NA	NA	NA	ISOC2
NA	NA	SNX14	NA	KNOP1	NPEPPS	RSRC2	NA	NA	NA	NA	NA	SLC25A33
NA	NA	TSPAN17	NA	GJA5	NPM3	TBC1D15	NA	NA	NA	NA	NA	IRF4
NA	NA	GTF3C6	NA	SRSF7	NQO1	EGLN2	NA	NA	NA	NA	NA	CD38
NA	NA	RRBP1	NA	TM2D2	NR4A2	S100A10	NA	NA	NA	NA	NA	GOLT1B
NA	NA	FAM110A	NA	SERPINE1	NRBF2	PUF60	NA	NA	NA	NA	NA	RPA2
NA	NA	DDRGK1	NA	LITAF	NRBP1	RPS12	NA	NA	NA	NA	NA	CHMP4B
NA	NA	LSP1	NA	LYZ	NRP2	PDE4DIP	NA	NA	NA	NA	NA	PSMG2
NA	NA	RPS14	NA	CDH13	NSA2	PSD3	NA	NA	NA	NA	NA	ACAT1
NA	NA	TNFSF10	NA	NR4A2	NTHL1	GPM6A	NA	NA	NA	NA	NA	PIK3CG
NA	NA	C17orf89	NA	RAB1A	NUDC	PLAC9	NA	NA	NA	NA	NA	GNB2L1
NA	NA	EIF3L	NA	CAST	NUDCD2	PDCD4	NA	NA	NA	NA	NA	GPR65
NA	NA	RPS21	NA	SMAD1	NUDT1	CTSK	NA	NA	NA	NA	NA	GABARAPL2
NA	NA	HLA-DMA	NA	PHLDB1	NUDT3	VAPA	NA	NA	NA	NA	NA	RSRC2
NA	NA	SUPT3H	NA	SLC25A3	NUFIP2	ARPC5L	NA	NA	NA	NA	NA	SMAP2
NA	NA	WBP2	NA	SDHC	OAZ2	NEDD9	NA	NA	NA	NA	NA	BLNK
NA	NA	MB21D1	NA	TAF15	ORM1	HSPH1	NA	NA	NA	NA	NA	COX6B1
NA	NA	PIK3IP1	NA	LDHB	OSTF1	SERPINB1	NA	NA	NA	NA	NA	RPL38
NA	NA	IPCEF1	NA	GAS6	PABPC1	CYB5A	NA	NA	NA	NA	NA	PGRMC2
NA	NA	RP11-468E2.4	NA	SNX9	PAFAH1B2	RABL6	NA	NA	NA	NA	NA	JKAMP
NA	NA	KATNA1	NA	CYB5A	PAFAH1B3	RNF114	NA	NA	NA	NA	NA	OASL
NA	NA	BRD9	NA	EHD1	PAH	RPL12	NA	NA	NA	NA	NA	IRF2BP2
NA	NA	EZR	NA	GOLPH3	PAIP2	SSR3	NA	NA	NA	NA	NA	AL928768.3
NA	NA	KIAA0947	NA	UBALD2	PALLD	EIF5	NA	NA	NA	NA	NA	PPP1R12A
NA	NA	SP3	NA	ITPR2	PARD6B	ANKRD12	NA	NA	NA	NA	NA	ARFGAP3
NA	NA	SAR1B	NA	DHCR24	PARK7	UBXN4	NA	NA	NA	NA	NA	NKG7
NA	NA	CD37	NA	TNFRSF1A	PARP1	SSR4	NA	NA	NA	NA	NA	COMMD1
NA	NA	MAFF	NA	ATP6AP2	PAWR	IFT43	NA	NA	NA	NA	NA	GOLGA4
NA	NA	ELF1	NA	HMGA1	PCBP2	TSPYL1	NA	NA	NA	NA	NA	ACTB
NA	NA	PSMC5	NA	LPCAT2	PCDH7	BLOC1S6	NA	NA	NA	NA	NA	NARF
NA	NA	PFDN5	NA	CMAS	PCK1	ATP5J2	NA	NA	NA	NA	NA	HMGN2
NA	NA	MAT2B	NA	MAGI1	PCMT1	GSTO1	NA	NA	NA	NA	NA	TTR
NA	NA	CD70	NA	MAN1C1	PCMTD1	EIF4G1	NA	NA	NA	NA	NA	IFI35
NA	NA	TRAP1	NA	CIRBP	PCNA	CCND2	NA	NA	NA	NA	NA	ZP3
NA	NA	UCP2	NA	HPD	PDAP1	CAV2	NA	NA	NA	NA	NA	RPL22L1
NA	NA	TXN	NA	CR1L	PDGFA	LINC00152	NA	NA	NA	NA	NA	RPL5
NA	NA	DNAJB9	NA	SLC4A7	PDHA1	DNAJA2	NA	NA	NA	NA	NA	NDUFS2
NA	NA	TXNDC11	NA	RCC2	PDHB	SDC4	NA	NA	NA	NA	NA	VDAC3
NA	NA	RUNX3	NA	RORA	PDLIM1	ALDH18A1	NA	NA	NA	NA	NA	MEAF6
NA	NA	EMB	NA	MRPL17	PDLIM5	LMCD1	NA	NA	NA	NA	NA	MKNK2
NA	NA	TAGLN2	NA	CIR1	PDXK	HTRA3	NA	NA	NA	NA	NA	RAB9A
NA	NA	ETS2	NA	MECOM	PEBP1	MAP1A	NA	NA	NA	NA	NA	LSM1
NA	NA	DYNLL1	NA	SOX17	PEPD	DNAJA1	NA	NA	NA	NA	NA	TNFAIP3
NA	NA	HIF1A	NA	LTBP3	PERP	GPC6	NA	NA	NA	NA	NA	CCDC124
NA	NA	SLC25A32	NA	CFH	PFN1	ITGA2	NA	NA	NA	NA	NA	SPAG7
NA	NA	LBH	NA	PRDX1	PFN2	MRPL41	NA	NA	NA	NA	NA	ARF4
NA	NA	AKAP13	NA	SEMA3F	PGAM1	FIBIN	NA	NA	NA	NA	NA	FAM162A
NA	NA	IGFBP7	NA	NFE2L2	PGK1	EVL	NA	NA	NA	NA	NA	RAB8A
NA	NA	PPP1R14B	NA	SPATS2L	PGM1	TPM4	NA	NA	NA	NA	NA	IRF1
NA	NA	DHFR	NA	SMARCA1	PHF14	CKS2	NA	NA	NA	NA	NA	PPIE
NA	NA	ARL2BP	NA	TRA2A	PHGDH	RAB5A	NA	NA	NA	NA	NA	TRAM1
NA	NA	NAP1L1	NA	RAB20	PHLDA2	PSMB9	NA	NA	NA	NA	NA	HNRNPC
NA	NA	FKBP1A	NA	APOH	PHLDA3	HSPA1B	NA	NA	NA	NA	NA	RP11-81H14.2
NA	NA	EXOSC5	NA	LIMA1	PHPT1	FKBP11	NA	NA	NA	NA	NA	RPL23A
NA	NA	TUBA4A	NA	HIGD1A	PHYH	C19orf43	NA	NA	NA	NA	NA	RSBN1L
NA	NA	SLC25A5	NA	RPS6KA2	PI3	COPZ2	NA	NA	NA	NA	NA	ZFAND6
NA	NA	PHF23	NA	HSPA5	PIM3	COMMD6	NA	NA	NA	NA	NA	ACAP1
NA	NA	TIMM13	NA	MAPRE2	PIN1	WDR33	NA	NA	NA	NA	NA	A1BG
NA	NA	CDC42SE2	NA	F8	PITX1	KIF19	NA	NA	NA	NA	NA	TNFRSF13B
NA	NA	ELF3	NA	REXO2	PKM	TMEM37	NA	NA	NA	NA	NA	RBBP8
NA	NA	EEF1D	NA	EMCN	PKN2	REL	NA	NA	NA	NA	NA	WDR1
NA	NA	IRF4	NA	C1QBP	PKP3	RGS10	NA	NA	NA	NA	NA	MYL12A
NA	NA	CORO1B	NA	APLP2	PLAT	PCBP1	NA	NA	NA	NA	NA	CTD-2369P2.2
NA	NA	LACTB	NA	THBS1	PLAU	ZC3HAV1	NA	NA	NA	NA	NA	PLSCR1
NA	NA	STIM2	NA	GSTA1	PLBD1	MYO10	NA	NA	NA	NA	NA	CD164
NA	NA	LPGAT1	NA	FGA	PLEC	GADD45B	NA	NA	NA	NA	NA	HLA-C
NA	NA	MT-ND5	NA	FAM107B	PLEK	TP53I11	NA	NA	NA	NA	NA	SYF2
NA	NA	PRDX2	NA	GIMAP7	PLEK2	AMBP	NA	NA	NA	NA	NA	BIN2
NA	NA	NDUFS6	NA	RPL18	PLGRKT	CCDC59	NA	NA	NA	NA	NA	POGZ
NA	NA	NASP	NA	BEX4	PLIN2	LAPTM4B	NA	NA	NA	NA	NA	HAX1
NA	NA	LAMP1	NA	ABI3BP	PLIN3	EWSR1	NA	NA	NA	NA	NA	RAP1A
NA	NA	FOS	NA	HS3ST3A1	PLK2	ARL6IP1	NA	NA	NA	NA	NA	KMT2E
NA	NA	LYZ	NA	BMP2	PLK3	TPBG	NA	NA	NA	NA	NA	TAPBP
NA	NA	GLRX3	NA	NUCKS1	PLP2	TGFBR3	NA	NA	NA	NA	NA	KRTCAP2
NA	NA	UBL3	NA	ADM5	PLS3	DYRK4	NA	NA	NA	NA	NA	RFXANK
NA	NA	AC017002.1	NA	HS3ST1	PLSCR1	HNRNPA2B1	NA	NA	NA	NA	NA	NPIPB11
NA	NA	ID2	NA	ACAT1	PLXNB2	KRR1	NA	NA	NA	NA	NA	SETDB2
NA	NA	BARD1	NA	CYSTM1	PMEPA1	VKORC1	NA	NA	NA	NA	NA	DEF6
NA	NA	DNAJB4	NA	EPHX1	PMF1	RERE	NA	NA	NA	NA	NA	COX4I1
NA	NA	EIF5A	NA	CHST12	PMPCB	DYNC1LI2	NA	NA	NA	NA	NA	CAMTA1
NA	NA	CLEC2B	NA	BTG1	PNKD	TRAPPC4	NA	NA	NA	NA	NA	CD96
NA	NA	ARL3	NA	ZBTB16	POLDIP2	RAB18	NA	NA	NA	NA	NA	DNAJB1
NA	NA	NR4A2	NA	SULF1	POLR2C	MSC	NA	NA	NA	NA	NA	USE1
NA	NA	MARCH7	NA	FAM60A	POLR2G	RNF24	NA	NA	NA	NA	NA	DPEP1
NA	NA	RNF187	NA	NACA	POLR2I	FRMD6	NA	NA	NA	NA	NA	RORA
NA	NA	PPP1R18	NA	SCPEP1	POLR3GL	PELO	NA	NA	NA	NA	NA	SEL1L
NA	NA	SH3BGRL	NA	RASIP1	POMP	DDX18	NA	NA	NA	NA	NA	POLR2L
NA	NA	DNAJB1	NA	SNAPC1	PON2	SRSF11	NA	NA	NA	NA	NA	SRP68
NA	NA	CCT5	NA	SLC25A37	PPA2	HNRNPA0	NA	NA	NA	NA	NA	ERGIC2
NA	NA	SIPA1	NA	SPTSSA	PPAP2C	RPS4Y1	NA	NA	NA	NA	NA	GNAI3
NA	NA	RIN3	NA	NDRG2	PPFIBP1	HERPUD1	NA	NA	NA	NA	NA	IFNG
NA	NA	CASP4	NA	MAP3K13	PPIB	CSNK1D	NA	NA	NA	NA	NA	NDUFA10
NA	NA	STAT4	NA	CEACAM1	PPIC	MLLT11	NA	NA	NA	NA	NA	BLOC1S6
NA	NA	EVL	NA	LIPA	PPIE	RPS2	NA	NA	NA	NA	NA	SP140
NA	NA	KPNB1	NA	TM2D1	PPIG	FAM213A	NA	NA	NA	NA	NA	GPX7
NA	NA	ZC3H7A	NA	SDHA	PPL	ARL4A	NA	NA	NA	NA	NA	GAPDH
NA	NA	RAN	NA	GIMAP6	PPP1CA	ADAM9	NA	NA	NA	NA	NA	AIP
NA	NA	RP11-347P5.1	NA	RPS19	PPP1CC	LDHB	NA	NA	NA	NA	NA	CCDC12
NA	NA	PIK3R1	NA	PDIA5	PPP1R11	PCNP	NA	NA	NA	NA	NA	THRAP3
NA	NA	C12orf57	NA	PLAUR	PPP1R12A	GALNT2	NA	NA	NA	NA	NA	TOR3A
NA	NA	IFI44	NA	EPOR	PPP1R13L	BLVRB	NA	NA	NA	NA	NA	ATRAID
NA	NA	TTC3	NA	SEMA6A	PPP1R14B	PRSS23	NA	NA	NA	NA	NA	TXN2
NA	NA	ZFP36L2	NA	C1QB	PPP1R18	LAMC1	NA	NA	NA	NA	NA	ANAPC13
NA	NA	STK4	NA	PELO	PPP1R35	TANK	NA	NA	NA	NA	NA	PRPF40A
NA	NA	LRIF1	NA	MT1X	PPP1R7	NRP2	NA	NA	NA	NA	NA	C12orf57
NA	NA	SEPT6	NA	ALDOB	PPP2CA	GTF3A	NA	NA	NA	NA	NA	ICOSLG
NA	NA	RBM4	NA	EIF4G3	PPP2R5C	MPG	NA	NA	NA	NA	NA	CNDP2
NA	NA	PA2G4	NA	TGFBR3	PPP4C	GABARAPL2	NA	NA	NA	NA	NA	DAZAP2
NA	NA	PDLIM7	NA	TNFSF10	PRDX2	TPM3	NA	NA	NA	NA	NA	ELF1
NA	NA	ATPAF1	NA	TSN	PRDX3	ACTN1	NA	NA	NA	NA	NA	RPL27A
NA	NA	GPR18	NA	FNTA	PRDX4	ANO1	NA	NA	NA	NA	NA	FKBP8
NA	NA	ERI1	NA	ZNF800	PRF1	IKBIP	NA	NA	NA	NA	NA	ACAA2
NA	NA	KIAA1109	NA	PDIA3	PRKCDBP	SREK1	NA	NA	NA	NA	NA	TAF12
NA	NA	SNRPB	NA	PGRMC1	PRKCH	LRRFIP2	NA	NA	NA	NA	NA	RPS15A
NA	NA	MIR142	NA	DCXR	PROM2	SRPX2	NA	NA	NA	NA	NA	DNAJC4
NA	NA	CXCL2	NA	UGCG	PRPF38A	OSBPL8	NA	NA	NA	NA	NA	AC104024.1
NA	NA	LMNA	NA	ZFP36L2	PRR13	PLXNB2	NA	NA	NA	NA	NA	SMIM15
NA	NA	MAP2K3	NA	MRPL18	PRSS22	TNFAIP1	NA	NA	NA	NA	NA	COMMD10
NA	NA	RPS18	NA	PTPRB	PRSS23	TBC1D1	NA	NA	NA	NA	NA	CDC26
NA	NA	IFNGR1	NA	SEP15	PSAP	RENBP	NA	NA	NA	NA	NA	HMGB1
NA	NA	VAMP5	NA	MCAM	PSCA	NREP	NA	NA	NA	NA	NA	TBC1D10C
NA	NA	C1QA	NA	C19orf66	PSENEN	ARF6	NA	NA	NA	NA	NA	COPS3
