B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
NA	ATP6V1G1	WNK1	KRT7	TACSTD2	AHNAK	MMP14	CCL4	KRT10	TRAF4	NA	VMP1	PIM3
NA	VAMP2	RTN4	HLA-A	FCGR2B	AHNAK2	PRCP	RPS4Y1	SYT8	PLEKHB2	NA	RPS26	S100A9
NA	TNFRSF12A	MPC2	SYT8	C4orf48	AHR	LGMN	TACSTD2	GPRC5A	C12orf75	NA	MRPL11	ID1
NA	CAPG	RGCC	RPL39	CD14	AHSG	MS4A6A	CEBPB	SFN	SF3B2	NA	DAD1	TNFRSF12A
NA	CHCHD10	SYNCRIP	TSC22D1	ASAH1	AIG1	SDPR	HLA-E	KRT7	TMEM123	NA	PMEPA1	COL4A1
NA	DNAJA1	GLUD1	MT-ND1	LGALS1	AIP	NOTCH3	FN1	LCN2	SLC7A5	NA	MDH2	BGN
NA	TIMP1	TARS	FOS	SYT8	AK1	CHPF	TPP1	NA	CD9	NA	C1R	G0S2
NA	EIF4B	CST7	SLC7A5	HLA-A	AK3	KRT19	KRT18	NA	KRT7	NA	NOTCH3	S100A10
NA	CDC42SE2	KMT2A	AKAP13	CXCL16	AKAP7	PRKCDBP	AGR2	NA	CDKN1A	NA	LGALS3	CCL2
NA	MINOS1	NAP1L4	EIF3E	CD4	AKR1A1	CDH11	TXN	NA	CD59	NA	NSA2	CHST2
NA	SUMO1	CLTB	FN1	RPS4Y1	AKR1B10	TNFAIP6	MYL6	NA	ACYP2	NA	MRPS36	EMP1
NA	PIM3	NUDT5	TMEM165	UBB	AKR1C3	CD36	MS4A7	NA	RPN1	NA	PLS3	MARCKS
NA	SPCS2	TYMP	COL3A1	TIMP2	AKR1C4	LOX	CCL3	NA	ERO1LB	NA	TECR	DCN
NA	MT-ND4L	WTAP	PMP22	F2R	AKR7A2	MRC2	CD163	NA	FOS	NA	TMEM109	B2M
NA	SPCS1	SERPINH1	PTMS	KRT8	AKR7A3	SOCS3	FCN3	NA	CAPG	NA	DDX3X	COL6A1
NA	PSME2	LRRN3	AGR2	AGR2	AKT1S1	SPON2	BTG1	NA	DCTN3	NA	RWDD1	SOD2
NA	EIF3M	CHST11	NR4A3	TINAGL1	ALB	CTSD	SPP1	NA	TMEM165	NA	HOPX	COL4A2
NA	IFITM3	BRK1	MAFF	ATP1A1	ALDH1L1	CALD1	FGL2	NA	TNIP2	NA	SDHC	LYZ
NA	TM4SF1	TUBB4B	CALM2	CD9	ALDH2	EGFL7	TREM2	NA	PSMC5	NA	CALR	S100A8
NA	SNRPE	GGA2	TNFRSF12A	MS4A6A	ALDH3A1	INHBA	STOM	NA	BBX	NA	RARRES2	CXCL3
NA	BRK1	S100A11	CLTB	PMEPA1	ALDH3A2	PLAT	ALOX5AP	NA	ESCO1	NA	S100A4	TPM2
NA	WIPF1	BATF	SKIL	ENTPD1	ALDH6A1	COL4A2	EREG	NA	SSBP1	NA	RBBP7	LMNA
NA	UBXN1	TAF1D	EZR	TMSB10	ALDH7A1	PCOLCE	SLC11A1	NA	PPP4C	NA	UBA2	CD69
NA	MIR205HG	YWHAH	TM4SF1	GAPDH	ALDH9A1	PDGFRB	HLA-B	NA	BANF1	NA	TM4SF1	MT1X
NA	TNIP2	CYLD	FXYD3	FTL	ALDOB	RPLP0	ITLN1	NA	SEP15	NA	ALDOB	TSC22D1
NA	CCND2	HNRNPAB	COL1A2	MAP1B	ALKBH7	COL6A2	FDCSP	NA	TAF1D	NA	APOC1	RRAD
NA	ERP29	H2AFX	MT-ND4L	HSPA1A	ALOX5AP	CXCL16	TMEM123	NA	ATRAID	NA	RSL24D1	GPRC5A
NA	C4orf3	GNAI2	RPS8	FXYD6	AMBP	IFI27	RNASET2	NA	GSPT1	NA	EPHX1	FBLN1
NA	SEC61G	SLBP	ALOX5AP	RPS4X	ANAPC5	COL6A1	CFL1	NA	ACAA2	NA	A2M	CCND2
NA	GNB2	HSPE1	CHCHD10	CLDN4	ANG	XIST	XIST	NA	TM4SF1	NA	LINC00152	PSMB9
NA	TMEM59	SP140	KRT18	SOX4	ANGPTL3	PLOD2	PRCP	NA	VAMP2	NA	PRDX2	ATP5D
NA	PSMB1	SRSF9	ATP1B3	ADAMTS9	ANKLE2	NNMT	TMEM176B	NA	EIF3J	NA	EZR	LCN2
NA	GABARAPL1	DNAJC2	VEGFA	FLNA	ANKRD10	CETP	TIMD4	NA	MRPL9	NA	JUND	NEAT1
NA	PSMA4	PRDM2	RPL36A	FXYD3	ANKRD36C	HLA-DRB1	CCL3L1	NA	COL1A1	NA	GHITM	RPL10
NA	CBX3	FKBP8	LCN2	SOCS3	ANP32A	RUNX1	PPIB	NA	RGCC	NA	TNIP1	RGCC
NA	GOLGB1	DDX52	PLAT	SPINT2	ANP32B	MXRA8	WFDC2	NA	RTN4	NA	WBP2	NGFRAP1
NA	SELT	GLG1	CDH17	ITM2B	ANP32E	CD74	CTD-2337J16.1	NA	ZFAND6	NA	TMCO1	C1QB
NA	ECH1	GOLGB1	CTSD	CFP	ANXA2	TSPAN7	EPB41L2	NA	CHST11	NA	MRFAP1	TACSTD2
NA	CLDN4	NDFIP2	EVI2A	FBLIM1	ANXA4	S100A6	LILRB5	NA	IARS2	NA	EFHD1	MT2A
NA	ARL4A	KRT18	MT-CO2	NUPR1	ANXA6	SYT8	S100A4	NA	CYB5R3	NA	SNRPC	ZFP36L2
NA	MDH2	CD63	SRSF9	LYVE1	APLP2	MIR205HG	TM4SF1	NA	FN1	NA	SRP9	WFDC2
NA	VASP	CUTA	CREG1	TNFRSF12A	APMAP	KRT17	MARCO	NA	ETHE1	NA	ADH1B	CTSD
NA	PRR13	MAT2A	ZFAND5	SLC40A1	APOA1	AEBP1	ELF3	NA	CCND2	NA	NQO2	RPS18
NA	RNF139	CDK2AP2	KDM6B	FBN1	APOA2	C4orf48	HLA-DQA1	NA	RALGAPA1	NA	MIR4435-1HG	RPL13
NA	PSIP1	MRPS18C	PPIF	ANXA1	APOBEC3G	LYVE1	CFD	NA	CTSA	NA	ACAT1	RPL34
NA	GHITM	COPRS	GPCPD1	SH3BGRL3	APOC1	TPM1	ATP1B3	NA	BAG6	NA	NFKBIZ	ELF3
NA	KRT7	NEU1	SAMSN1	ABL2	APOC2	CCDC80	ENO1	NA	SERPINB6	NA	ANAPC16	CDKN1A
NA	N4BP2L2	CCDC93	BTG1	MRO	APOC3	IL6ST	SMPDL3A	NA	GABARAPL2	NA	FRZB	CREM
NA	TMED2	C10orf118	GNAS	SNHG9	APOE	RDX	CCL4L2	NA	APEX1	NA	PTGES3	MUC5AC
NA	C19orf24	STIP1	EBPL	SYNPO	APOH	APOA2	C19orf33	NA	TIMP1	NA	CCDC85B	MMP2
NA	CAPZB	CCT3	ELF3	CLEC3B	APP	FKBP10	PLAT	NA	GLUD1	NA	PLP2	PLAU
NA	MT-CO2	HSPA1B	RPL34	FN1	ARF4	RARRES1	CREG1	NA	MPST	NA	SEPT7	IGFBP6
NA	SLC38A2	FAM173A	FBXO34	ADAM15	ARF5	STOM	PHLDA2	NA	EBPL	NA	CNBP	FAM173A
NA	FAM50A	STUB1	IL8	RPS3	ARG1	MYL9	ITM2B	NA	PDE4D	NA	NEAT1	RBP1
NA	MT-ND1	VAMP2	MXD1	ANXA2	ARHGAP15	TAGLN	KLF6	NA	TSTA3	NA	MSN	OLR1
NA	SPINT2	RNF145	SERPINB9	PVALB	ARHGAP29	NME1	ATP5D	NA	C19orf24	NA	BBX	DNAJC1
NA	COPE	AKR1A1	BAG1	CLTA	ARHGAP30	RCN3	F13A1	NA	SRSF9	NA	IL8	HIST1H2BC
NA	EVI2A	IDH2	IER3	HES1	ARHGAP5	THBS2	RALA	NA	GPI	NA	DCXR	KRT5
NA	DNAJC1	COPS3	SPARC	PKM	ARHGDIA	PKM	TMEM176A	NA	DAZAP1	NA	TMEM258	APOC1
NA	RSL24D1	OAZ2	EIF4G2	CLEC2B	ARHGDIB	TMSB10	CALM1	NA	SF3A3	NA	NRIP2	NENF
NA	LAT	AGO2	PMEPA1	HSP90AA1	ARHGEF1	CKAP4	CDH5	NA	SLC1A5	NA	MIR24-2	NCLN
NA	TECR	HPRT1	RNASET2	S100A11	ARHGEF12	GNG11	COL3A1	NA	EXOC1	NA	GRN	SDC1
NA	EVL	PFDN6	OLR1	IL13RA2	ARL2	CREB3L1	PDK4	NA	SNX17	NA	SNRNP70	RAC1
NA	RAC1	RAC1	C19orf24	LAMB1	ARL4A	JUN	TTR	NA	AGR2	NA	TFPI	C1QC
NA	UQCR10	ATP2A2	IGLL5	RPS3A	ARL5A	GMFG	PLAUR	NA	CDK17	NA	MYEOV2	KLF4
NA	PHLDA2	DNPH1	PI3	DAB2	ARL6IP1	COL4A1	CCL4L1	NA	PLP2	NA	ZEB2	ACTA2
NA	GPSM3	SNORA76	EEF1G	IGFBP4	ARL6IP4	MAP1B	SFN	NA	DDX46	NA	SEPP1	SPINT2
NA	C19orf33	DNAJC1	RANBP2	SNX5	ARL6IP5	VAMP5	GAL3ST4	NA	MED29	NA	C2orf40	SLC7A5
NA	C19orf60	FAM118A	TYMP	IL6ST	ARMC10	POSTN	DNASE1L3	NA	KHDRBS1	NA	COL14A1	S100P
NA	ARL6IP4	SPP1	MGP	GYPC	ARPC1A	COL18A1	LDHA	NA	SEC14L1	NA	ACADVL	AIF1
NA	SEPT6	FDX1	HEBP2	GABARAP	ARPC2	CERCAM	SERF2	NA	SFPQ	NA	VAMP2	C15orf48
NA	SEPW1	GOLIM4	PDCD2	PALMD	ARPC3	PHLDA2	C1orf54	NA	UQCR10	NA	FKBP10	MIR4435-1HG
NA	TERF2IP	RMND5A	SNX9	MAF	ARPC4	SULF1	CRHBP	NA	MGP	NA	SDHD	EIF4A3
NA	KRT10	TKT	MIR142	SNX2	ARPC5	TGFBI	NDST3	NA	RTCB	NA	SIK1	EGR1
NA	SKAP1	GAPDH	GNB2	TSHZ2	ARRB2	SLPI	PLAC8	NA	PPP4R2	NA	ATP6V1G1	SUB1
NA	PLK3	LUZP1	MLEC	EMP1	ASH1L	APOA1	THBS1	NA	MAP2K3	NA	RGS5	RPS14
NA	C1QBP	POLR2H	TRAF4	RPL27	ASL	CLEC2B	LGALS3	NA	YWHAG	NA	BRK1	SDC4
NA	GUK1	ID3	SNX3	JUN	ASNA1	MDK	LCN2	NA	YY1	NA	GABARAP	S100A6
NA	KRT18	LASP1	TMEM176A	HSPA1B	ASPH	FSTL1	GPRC5A	NA	NSA2	NA	ENSA	TUBB4B
NA	IDH2	RPL22L1	THBS1	ST6GAL1	ASS1	LOXL1	AMBP	NA	TMEM248	NA	KRT17	TRIB1
NA	CD37	SYF2	EIF3M	NTN4	ATF3	LGALS3	THBD	NA	LSM6	NA	TPM4	LAMP1
NA	CAST	CCT4	CD302	AQP1	ATF4	PRR24	TMEM26	NA	VAPA	NA	EIF5AL1	THBS1
NA	STK4	RALGAPA1	RPS14	TGFBR2	ATF5	UACA	ALDOA	NA	FXYD3	NA	PRDX3	MMP14
NA	OSTC	GRSF1	RPS15	RPS8	ATOX1	LRP1	TPM4	NA	TOMM40	NA	PCNP	C1QA
NA	DHRS7	TSTA3	BCL3	PSAP	ATP1A1	EFEMP1	PERP	NA	ARRDC2	NA	GLUL	CTSB
NA	GPBP1	SNRPD3	SLC1A4	PLAC8	ATP1B1	GIMAP4	LY96	NA	PRDX6	NA	COL5A2	RPL18A
NA	SAA1	GNB2	HNRNPAB	TTR	ATP2A2	APP	TNFRSF12A	NA	UBN1	NA	C18orf32	CEBPB
NA	EML4	AK2	REL	RPS18	ATP5A1	LAMB1	SDC3	NA	MCUR1	NA	MPG	HIST2H2AA3
NA	GYPC	HSPA8	SNHG15	SDCBP	ATP5B	SERPINF1	COL1A2	NA	RTF1	NA	MRPL22	PMEPA1
NA	CAPN2	IFITM3	CD1A	LGALS3	ATP5D	FBLIM1	CCL3L3	NA	DDX3X	NA	PFDN2	YBX3
NA	PSMB10	NENF	CDKN1A	NPL	ATP5F1	MGP	RPLP1	NA	ATP6V1G1	NA	MRPL32	CXCL1
NA	CTSD	TM4SF1	PSMA4	PHLDA2	ATP5J	PPIC	NBEAL1	NA	NAA38	NA	TMED2	EFEMP1
NA	RNF145	UBAP2	ETS2	KRT7	ATP5O	PTK7	RNASE2	NA	GNAS	NA	CYSTM1	HSPG2
NA	TMEM165	RPL34	TMEM176B	RPS21	ATXN10	C1S	AXL	NA	COL3A1	NA	NDRG2	FXYD5
NA	WSB1	CDKN2A	RALA	RAB13	AZIN1	RPL37A	S100P	NA	KRT17	NA	CPE	CTSL
NA	TRAPPC1	GNAS	MT1X	ACP5	B2M	CLDN5	CSTB	NA	SYT8	NA	CARHSP1	PPP1R10
NA	CSTB	C1QBP	UPP1	RPL10A	B3GNT5	VAMP2	TSPAN4	NA	PPIG	NA	C11orf96	ODC1
NA	CD7	QDPR	SAA2	DNAJB1	BABAM1	ENG	RGL1	NA	SLC10A3	NA	CYB5A	ITGA3
NA	LGALS3	UBE2R2	C1QC	KRT5	BAG3	ARHGAP29	CLEC1B	NA	ID3	NA	ZFHX3	C19orf24
NA	LAMP1	WHSC1	MT-ND4	MDFI	BAIAP2	GIMAP5	FCGR2A	NA	RAP1B	NA	GYPC	ZFAND5
NA	CCT8	TNIP2	ANKRD11	STAB1	BAIAP2L1	DAZAP2	PFN1	NA	ANXA2	NA	PPIG	TAGLN
NA	SRSF9	LDLRAD4	CAPG	RPS23	BAX	JUND	EVI2B	NA	MAGOH	NA	EIF2AK2	SFPQ
NA	ABRACL	TBC1D4	LSP1	ANKRD28	BBC3	ELTD1	OLFML3	NA	BAZ1B	NA	EIF3D	CLTB
NA	PSMB9	DEFB1	FAM173A	NPC2	BBX	HDLBP	DBI	NA	USP22	NA	ISCU	SKIL
NA	TUBA1A	RAB7A	MT-ND2	FABP1	BCAP31	PYCR1	SLC16A3	NA	DCN	NA	C9orf16	LAMC2
NA	CTSA	FKBP4	ARID5A	RDX	BCAS2	AKAP12	FOS	NA	IRF1	NA	SNRPB2	CD9
